g567_instance_uid,g567_evaluation_uid,map,map_family,width,height,free_cells,solver_seed,scenario_sha256,physical_map_sha256,assignment_sha256,pair_count,agent_count,start_goal_regime,nominal_budget_ms,base_time_limit_sec,solver_internal_time_limit_sec,process_hard_timeout_sec,budget_role,budget_contract,ltm_max_iterations,agent_density,scenario_bank_source,map_source_type,benchmark_source_path,benchmark_source_sha256,context_generation_stage,feature_materialization_stage,raw_map_path,raw_scenario_path,path_found_rate,path_found_rate_source,component_size,reachability_mode,distance_mode,start_goal_overlap_count,own_start_goal_match_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,split,blind_locked,scenario_source_type,official_scenario_consumed,g567_dataset_row_id,replay_scenario_path,replay_scenario_sha256
9b62ddb9cbf5c5de5294196d129b1b0f188f747bb2feccd522b1eb6268bd68ae,e3d9c18b8697e4b8633a150cf2b0b90b8e3c606b49341db2a65d5e08b2244af5,g567-chambers-48x32-a-v0,chambers,48,32,1180,3567001780,836678e74c99461b6099ff915bd533197906223728d883aa1b433623289b84e8,ffbc74a0dbf945b3cdb01c58ab6b838f0115a0f29108048a0b7c82e2f7b287c6,dd86f6a3d409d32d8ea1e3f5ebcf2ddc415565959caf1ba6dbc7120e23aad3ce,32,32,uniform_random,30000,30.0,30.0,60.0,uniform_30s_all_agent_tiers_primary_exact,uniform_all_agent_tiers_primary_30s_hard_timeout_60s,12,0.02711864406779661,g567_component_aware_mixed_public_benchmark_and_synthetic,synthetic_stress_map,,,stage_a_component_validity_only,stage_b_deferred_c0_f0_traffic_prior,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_scenario_bank/maps/g567-chambers-48x32-a-v0.map,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_scenario_bank/scenarios/g567-chambers-48x32-a-v0-random-3567001780.scen,1.0,same_connected_component_no_path_materialization,1176,component_connected_no_path_materialization,manhattan_lower_bound_no_path_materialization,0,0,False,False,False,False,False,GATE3A_PREFLIGHT,False,czr004_synthetic_derived_scenario,False,g567_gate3a_a5_00000,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_replay_scenarios/g567-chambers-48x32-a-v0-random-3567001780.scen,836678e74c99461b6099ff915bd533197906223728d883aa1b433623289b84e8
b398a1424e916a41ad1dae576b1ae43a2b319f79a650067620d0a55e661ce0ab,18caf73ee7cf181d1f45980cca3c0da80d2fa2ec463cb51ac4a84a2cd9683d3d,g567-chambers-48x32-a-v1,chambers,48,32,1211,3567000133,c92542db4e8c50b67a89721766ebffe81a8a3fc74627b8c4ca90046f75fe5149,da8f735e3c5130371f1416c3aa9804ab28eb8d323c2d6cedfb6e18db6e729ec0,57189a27f3fe9a040ddff1ec0a8b980a69ee930daa3263dd9b5a95cfdba11aab,32,32,clustered_starts_to_dispersed_goals,30000,30.0,30.0,60.0,uniform_30s_all_agent_tiers_primary_exact,uniform_all_agent_tiers_primary_30s_hard_timeout_60s,12,0.026424442609413706,g567_component_aware_mixed_public_benchmark_and_synthetic,synthetic_stress_map,,,stage_a_component_validity_only,stage_b_deferred_c0_f0_traffic_prior,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_scenario_bank/maps/g567-chambers-48x32-a-v1.map,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_scenario_bank/scenarios/g567-chambers-48x32-a-v1-random-3567000133.scen,1.0,same_connected_component_no_path_materialization,1207,component_connected_no_path_materialization,manhattan_lower_bound_no_path_materialization,1,0,False,False,False,False,False,GATE3A_PREFLIGHT,False,czr004_synthetic_derived_scenario,False,g567_gate3a_a5_00001,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_replay_scenarios/g567-chambers-48x32-a-v1-random-3567000133.scen,c92542db4e8c50b67a89721766ebffe81a8a3fc74627b8c4ca90046f75fe5149
dace3b0acafe97b67d391deeef1ba4bbb91ddbefc5d99cf971b9879f8bf27128,309c789ee0d3bae9f2b86b7ed126c7f7eb373523a1fc3292e003803be3ea7e8e,g567-chambers-48x32-a-v1,chambers,48,32,1211,3567002089,5e84d615bfd87a810a59eef92090d1e9472bcc12f9a588e3bfeb21db0cfdbf27,da8f735e3c5130371f1416c3aa9804ab28eb8d323c2d6cedfb6e18db6e729ec0,4b2634c836bffb00172b2e3c0fbe5f9db1099fd2110a240df89e57b42b4c865e,32,32,clustered_starts_to_dispersed_goals,30000,30.0,30.0,60.0,uniform_30s_all_agent_tiers_primary_exact,uniform_all_agent_tiers_primary_30s_hard_timeout_60s,12,0.026424442609413706,g567_component_aware_mixed_public_benchmark_and_synthetic,synthetic_stress_map,,,stage_a_component_validity_only,stage_b_deferred_c0_f0_traffic_prior,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_scenario_bank/maps/g567-chambers-48x32-a-v1.map,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_scenario_bank/scenarios/g567-chambers-48x32-a-v1-random-3567002089.scen,1.0,same_connected_component_no_path_materialization,1207,component_connected_no_path_materialization,manhattan_lower_bound_no_path_materialization,2,0,False,False,False,False,False,GATE3A_PREFLIGHT,False,czr004_synthetic_derived_scenario,False,g567_gate3a_a5_00002,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_replay_scenarios/g567-chambers-48x32-a-v1-random-3567002089.scen,5e84d615bfd87a810a59eef92090d1e9472bcc12f9a588e3bfeb21db0cfdbf27
5132f61b3290fad1ffd67b3071f5202546dede26572a5e7d2bb87fd7bff790a6,c74ddc7780b499d18d3f143055f9b4e994402dd9b5590aa3f5f02c6c8add2cbe,g567-chambers-64x48-a-v0,chambers,64,48,2431,3567000940,c87aa82d4a653b2516029e397b6132ade72643f24c248946df38f6bc92ae9008,807850211c5d58a461b06655517af89591240d0f3f08932a8692f0335d31ca2a,c60b23ef6bc5a0063883e588b656ee47f079f71f5017f8ba1db177af8bd7070e,32,32,clustered_starts_to_dispersed_goals,30000,30.0,30.0,60.0,uniform_30s_all_agent_tiers_primary_exact,uniform_all_agent_tiers_primary_30s_hard_timeout_60s,12,0.01316330728095434,g567_component_aware_mixed_public_benchmark_and_synthetic,synthetic_stress_map,,,stage_a_component_validity_only,stage_b_deferred_c0_f0_traffic_prior,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_scenario_bank/maps/g567-chambers-64x48-a-v0.map,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_scenario_bank/scenarios/g567-chambers-64x48-a-v0-random-3567000940.scen,1.0,same_connected_component_no_path_materialization,2422,component_connected_no_path_materialization,manhattan_lower_bound_no_path_materialization,0,0,False,False,False,False,False,GATE3A_PREFLIGHT,False,czr004_synthetic_derived_scenario,False,g567_gate3a_a5_00003,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_replay_scenarios/g567-chambers-64x48-a-v0-random-3567000940.scen,c87aa82d4a653b2516029e397b6132ade72643f24c248946df38f6bc92ae9008
6fae9aea4b89f468aef3795387f441d0081c3d61d06252d2a656fb607d191b85,8331506f9d97af59d166416e99b9c6ea298cfaa40414c9ce98c0807491993714,g567-chambers-64x48-a-v1,chambers,64,48,2386,3567001249,5c5e0f2ff191656a2060a637cec0988a54684caf413b0e65cc03462f372d1ac3,028973ac017eeea5a295e4a8d08a1a01eeac1f7348123bc2eea62253b11d9e6e,7134c992a485536c8c81437b43a0a9998d2370e23b3609283c18caab527b867e,32,32,central_choke_point,30000,30.0,30.0,60.0,uniform_30s_all_agent_tiers_primary_exact,uniform_all_agent_tiers_primary_30s_hard_timeout_60s,12,0.013411567476948869,g567_component_aware_mixed_public_benchmark_and_synthetic,synthetic_stress_map,,,stage_a_component_validity_only,stage_b_deferred_c0_f0_traffic_prior,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_scenario_bank/maps/g567-chambers-64x48-a-v1.map,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_scenario_bank/scenarios/g567-chambers-64x48-a-v1-random-3567001249.scen,1.0,same_connected_component_no_path_materialization,2372,component_connected_no_path_materialization,manhattan_lower_bound_no_path_materialization,0,0,False,False,False,False,False,GATE3A_PREFLIGHT,False,czr004_synthetic_derived_scenario,False,g567_gate3a_a5_00004,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_replay_scenarios/g567-chambers-64x48-a-v1-random-3567001249.scen,5c5e0f2ff191656a2060a637cec0988a54684caf413b0e65cc03462f372d1ac3
5f15c3622da869eae4faf2463e1b84f990643fa86ec938a6be633b62c892cd67,5d118322e96ec89884f0fb223022720e13fbc1617f9713451a01a0a0f972a2a6,boston_0_256,city,256,256,47768,3567001882,fbe055d6a99aa4acf37a73315d3f7e89c81964d07c6d667171c77e0303449e33,bc9c572a3d1c5b0273e17ca9af2faa3c685eff669dfbd2561b007c0340ae0e04,3f14cd630dc2797cc5cf7e51bfeca64123991571dd94a1d3c36a6832b817e399,32,32,many_to_many_bottleneck_flow,30000,30.0,30.0,60.0,uniform_30s_all_agent_tiers_primary_exact,uniform_all_agent_tiers_primary_30s_hard_timeout_60s,12,0.000669904538603249,g567_component_aware_mixed_public_benchmark_and_synthetic,canonical_public_benchmark_map,external/benchmarks/movingai_mapf/extracted/mapf-map/Boston_0_256.map,bc9c572a3d1c5b0273e17ca9af2faa3c685eff669dfbd2561b007c0340ae0e04,stage_a_component_validity_only,stage_b_deferred_c0_f0_traffic_prior,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_scenario_bank/maps/boston_0_256.map,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_scenario_bank/scenarios/boston_0_256-random-3567001882.scen,1.0,same_connected_component_no_path_materialization,47651,component_connected_no_path_materialization,manhattan_lower_bound_no_path_materialization,0,0,False,False,False,False,False,GATE3A_PREFLIGHT,False,czr004_derived_on_public_parent_map,False,g567_gate3a_a5_00005,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_replay_scenarios/boston_0_256-random-3567001882.scen,fbe055d6a99aa4acf37a73315d3f7e89c81964d07c6d667171c77e0303449e33
728e91e14a9638e21eb6aefae3fc0d8e2adbe3eb316f12c70a54d8ed2e60a44d,6fdf335d33b3bd7e919336ba458136ff89bafdfb25389ced3d12a0c05661d11c,boston_0_256,city,256,256,47768,3567001480,28797707deb9c61d1442a285c48800b3311d1f3dfde5fc42864066457f02e49a,bc9c572a3d1c5b0273e17ca9af2faa3c685eff669dfbd2561b007c0340ae0e04,0d3cad0d31ea26fee76a25ab80f2c717d3912f01c74e6cce3f51f477195ac89b,32,32,room_to_room_door_bottleneck,30000,30.0,30.0,60.0,uniform_30s_all_agent_tiers_primary_exact,uniform_all_agent_tiers_primary_30s_hard_timeout_60s,12,0.000669904538603249,g567_component_aware_mixed_public_benchmark_and_synthetic,canonical_public_benchmark_map,external/benchmarks/movingai_mapf/extracted/mapf-map/Boston_0_256.map,bc9c572a3d1c5b0273e17ca9af2faa3c685eff669dfbd2561b007c0340ae0e04,stage_a_component_validity_only,stage_b_deferred_c0_f0_traffic_prior,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_scenario_bank/maps/boston_0_256.map,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_scenario_bank/scenarios/boston_0_256-random-3567001480.scen,1.0,same_connected_component_no_path_materialization,47651,component_connected_no_path_materialization,manhattan_lower_bound_no_path_materialization,0,0,False,False,False,False,False,GATE3A_PREFLIGHT,False,czr004_derived_on_public_parent_map,False,g567_gate3a_a5_00006,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_replay_scenarios/boston_0_256-random-3567001480.scen,28797707deb9c61d1442a285c48800b3311d1f3dfde5fc42864066457f02e49a
c1b7c2ab75b7aace37b257c5bfe91cb0bf7aa8f22904d937616b80e0d3190895,e419d64c713a729fd782484a0e9f28c7e39d244842f8f5bfc5dddc0d1d2772a7,boston_0_256,city,256,256,47768,3567001310,0265b29233a62966fdf78e4a7b330627581105a0e8b2f91fe0b0b487ddd00011,bc9c572a3d1c5b0273e17ca9af2faa3c685eff669dfbd2561b007c0340ae0e04,70b52f6b047aaf16a20e059e200c7d255d7c69e2255b94f9c0d78b7640420de2,32,32,room_to_room_door_bottleneck,30000,30.0,30.0,60.0,uniform_30s_all_agent_tiers_primary_exact,uniform_all_agent_tiers_primary_30s_hard_timeout_60s,12,0.000669904538603249,g567_component_aware_mixed_public_benchmark_and_synthetic,canonical_public_benchmark_map,external/benchmarks/movingai_mapf/extracted/mapf-map/Boston_0_256.map,bc9c572a3d1c5b0273e17ca9af2faa3c685eff669dfbd2561b007c0340ae0e04,stage_a_component_validity_only,stage_b_deferred_c0_f0_traffic_prior,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_scenario_bank/maps/boston_0_256.map,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_scenario_bank/scenarios/boston_0_256-random-3567001310.scen,1.0,same_connected_component_no_path_materialization,47651,component_connected_no_path_materialization,manhattan_lower_bound_no_path_materialization,0,0,False,False,False,False,False,GATE3A_PREFLIGHT,False,czr004_derived_on_public_parent_map,False,g567_gate3a_a5_00007,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_replay_scenarios/boston_0_256-random-3567001310.scen,0265b29233a62966fdf78e4a7b330627581105a0e8b2f91fe0b0b487ddd00011
1cd782b0770494deb0b257700910fcb9cc4ffd34e96a99c08e567a3071009872,e560610b991ebbcc0f9ba8293e6ea0110e505848bdb5d0e75c9889e68e42c37a,empty_48_48,empty,48,48,2304,3567000298,b4b0f21cc1fc1a01be6070caff619cd21d712c628f5171e867caaf9b7a12ee4f,9d13ddc8f39d3e64f2cabea9a81c8d298d0f4a955b104589aea71b07b2606d4f,0068e65ed14b8f9e8de693cdaac37d1433a7611f6ca70ff176a4f89eebef53ab,256,256,room_to_room_door_bottleneck,30000,30.0,30.0,60.0,uniform_30s_all_agent_tiers_primary_exact,uniform_all_agent_tiers_primary_30s_hard_timeout_60s,12,0.1111111111111111,g567_component_aware_mixed_public_benchmark_and_synthetic,canonical_public_benchmark_map,external/benchmarks/movingai_mapf/extracted/mapf-map/empty-48-48.map,9d13ddc8f39d3e64f2cabea9a81c8d298d0f4a955b104589aea71b07b2606d4f,stage_a_component_validity_only,stage_b_deferred_c0_f0_traffic_prior,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_scenario_bank/maps/empty_48_48.map,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_scenario_bank/scenarios/empty_48_48-random-3567000298.scen,1.0,same_connected_component_no_path_materialization,2304,component_connected_no_path_materialization,manhattan_lower_bound_no_path_materialization,0,0,False,False,False,False,False,GATE3A_PREFLIGHT,False,czr004_derived_on_public_parent_map,False,g567_gate3a_a5_00008,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_replay_scenarios/empty_48_48-random-3567000298.scen,b4b0f21cc1fc1a01be6070caff619cd21d712c628f5171e867caaf9b7a12ee4f
2babb686bb8af916fed6a7806d72b59764591d43a75f30a48eaccd1ff1576671,ae16b1dbde33cf801f0b4b666028880726c603bc3b2032bfcb48e7fe79d2199d,empty_48_48,empty,48,48,2304,3567001276,f162d2bffc97072881f3b948d062b4a5b4d4819f668e76780b4e693e78c944dc,9d13ddc8f39d3e64f2cabea9a81c8d298d0f4a955b104589aea71b07b2606d4f,7cfb651998097b364fb2798ba5de642dce878060c7ac1b2bd484b602db909a99,256,256,room_to_room_door_bottleneck,30000,30.0,30.0,60.0,uniform_30s_all_agent_tiers_primary_exact,uniform_all_agent_tiers_primary_30s_hard_timeout_60s,12,0.1111111111111111,g567_component_aware_mixed_public_benchmark_and_synthetic,canonical_public_benchmark_map,external/benchmarks/movingai_mapf/extracted/mapf-map/empty-48-48.map,9d13ddc8f39d3e64f2cabea9a81c8d298d0f4a955b104589aea71b07b2606d4f,stage_a_component_validity_only,stage_b_deferred_c0_f0_traffic_prior,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_scenario_bank/maps/empty_48_48.map,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_scenario_bank/scenarios/empty_48_48-random-3567001276.scen,1.0,same_connected_component_no_path_materialization,2304,component_connected_no_path_materialization,manhattan_lower_bound_no_path_materialization,0,0,False,False,False,False,False,GATE3A_PREFLIGHT,False,czr004_derived_on_public_parent_map,False,g567_gate3a_a5_00009,/root/shared-nvme/g567_gate3a_ea2cb71b_public_outputs/tmp/phase5p5_repair5g567_gate3a_true_a5_checkpoint_smoke_replay_scenarios/empty_48_48-random-3567001276.scen,f162d2bffc97072881f3b948d062b4a5b4d4819f668e76780b4e693e78c944dc
