candidate_id,materialized_method,tier,canonical_report_id,solver_alias,registry_alias,underlying_method,role,required_force_additive,required_enable_dual_channel,expected_updateparams_fingerprint,source,source_sha256,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,generated_theta_uid,registry_role,replay_phase,method,variant_id,actor_training_seed
repair5g59_additive_fallback,repair5g59_additive_fallback,A,paper_additive_ltm,repair5g59_additive_fallback,paper_faithful_additive_ltm,additive_ltm_force_additive,tierA_additive_ltm,1,0,force_additive=1|enable_dual_channel=0,G5.59 additive fallback alias and G5.66 plan section 5.1,523454688b8cdc73907329f98d3ba781717999f79cfe2edb70b72f926f33ce76,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,
repair5g59_static_flow_shield,repair5g59_static_flow_shield,B,static_flow_shield_hand,repair5g59_static_flow_shield,repair5g2_best_frozen_static_candidate,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,tierB_static_flow_shield,0,1,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.95|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.0|alpha_flow_wait_progress=1.0|rho_cong_decay=0.95|rho_flow_decay=1.0|lambda_cong=1.0|lambda_flow=1.0|min_edge_cost=1.0|max_edge_cost=11.0|goal_projection_mode=flow_shield|flow_shield_beta=0.35|max_flow_shield=0.75,scripts/repair5g545_common.py::static_flow_theta and historical repair5g59_static_flow_shield alias,6a1a4578b1aeaabcfec1c9cd3a79ce9112b77ab8fdbb404c669da710619eaab4,False,False,False,False,False,1.25,1.25,1.25,0.75,0.75,1.0,1.0,0.95,1.0,1.0,1.0,0.35,0.75,1.0,11.0,1,0,0,,,,,,
g556_c063174,g556_c063174,C,g556_c063174,g556_c063174,g556_c063174,g556_c063174,tierC_g556_fixed_global,0,1,alpha_commit=1.1580041646957397|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.9799358248710632|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.1580041646957397|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.040339708328247|alpha_flow_wait_progress=0.6932658553123474|rho_cong_decay=0.9799358248710632|rho_flow_decay=1.0|lambda_cong=0.6841553449630737|lambda_flow=0.6499999761581421|min_edge_cost=1.0|max_edge_cost=10.79326343536377|goal_projection_mode=flow_shield|flow_shield_beta=0.3355112671852112|max_flow_shield=0.8590060472488403,src/gcst/theta_schema.py BASELINE_G556,923f9452dff70e28a21de5194cad8fca9089bfcc141552b9a82d74bda746b6e7,False,False,False,False,False,1.25,1.1580041646957397,1.25,0.75,0.75,1.040339708328247,0.6932658553123474,0.9799358248710632,1.0,0.6841553449630737,0.6499999761581421,0.3355112671852112,0.8590060472488403,1.0,10.79326343536377,1,0,0,,,,,,
g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_3972e97e1525,,,,,,,,,,,,,False,False,False,False,False,1.253172516822815,1.1730668544769287,1.2546253204345703,0.7283992767333984,0.7655630707740784,1.023882269859314,0.7082098722457886,0.9810206294059753,1.0,0.6790587306022644,0.6428956389427185,0.3404163718223572,0.907459020614624,1.0,10.833842277526855,1,0,0,d8ece7ba935173df41ea1c77949df0c941b7d0f5ba2a88600e77939206550721,g567_actor_generated_theta,stage2a_diagnostic_a5_label_train,g567_response_SELECTED_ACTOR_PRIMARY_30S_EXACT,SELECTED_ACTOR_PRIMARY_30S_EXACT,566
g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_bee6599d927c,,,,,,,,,,,,,False,False,False,False,False,1.2519232034683228,1.1710216999053955,1.2555326223373413,0.7223278284072876,0.7648190855979919,1.0280190706253052,0.7066594958305359,0.9811839461326599,1.0,0.6757804155349731,0.6411271095275879,0.3458881676197052,0.9339765310287476,1.0,10.847293853759766,1,0,0,6f50bfa74645d292213f963d4a82086f5c54a450612534360c037e8f5e140a7b,g567_actor_generated_theta,stage2a_diagnostic_a5_label_train,g567_response_SELECTED_ACTOR_PRIMARY_30S_EXACT,SELECTED_ACTOR_PRIMARY_30S_EXACT,566
g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_31e60d7943de,,,,,,,,,,,,,False,False,False,False,False,1.2436840534210205,1.174680233001709,1.2998414039611816,0.7145227789878845,0.7587712407112122,1.0385379791259766,0.7048884034156799,0.9818926453590393,1.0,0.6702909469604492,0.6401047706604004,0.3580344617366791,0.9466677904129028,1.0,10.849364280700684,1,0,0,7afded205316fcfc0dd93ebbe3877968adf893336a40ed4d56f6197ab1192873,g567_actor_generated_theta,stage2a_diagnostic_a5_label_train,g567_response_SELECTED_ACTOR_PRIMARY_30S_EXACT,SELECTED_ACTOR_PRIMARY_30S_EXACT,566
g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_7cddf954ca2b,,,,,,,,,,,,,False,False,False,False,False,1.2521305084228516,1.1705231666564941,1.2558135986328125,0.7212674617767334,0.7642815709114075,1.0287885665893555,0.7066567540168762,0.9811912178993225,1.0,0.6750252842903137,0.6400892734527588,0.3467680513858795,0.9367368817329407,1.0,10.849921226501465,1,0,0,0b26aeb54598ba757cb07d7a6b657c26ed3866018b1e0772adf9b24452fbca08,g567_actor_generated_theta,stage2a_diagnostic_a5_label_train,g567_response_SELECTED_ACTOR_PRIMARY_30S_EXACT,SELECTED_ACTOR_PRIMARY_30S_EXACT,566
g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_61dbd66a5c12,,,,,,,,,,,,,False,False,False,False,False,1.2503608465194702,1.1710381507873535,1.2661128044128418,0.7223048210144043,0.7622019052505493,1.0367610454559326,0.7038309574127197,0.9813389778137207,1.0,0.6743120551109314,0.6436492204666138,0.34903207421302795,0.9333346486091614,1.0,10.840889930725098,1,0,0,8852ae759f8e49a43e74ce2b921b494ca35911404085f2590ef7023f7d280f16,g567_actor_generated_theta,stage2a_diagnostic_a5_label_train,g567_response_SELECTED_ACTOR_PRIMARY_30S_EXACT,SELECTED_ACTOR_PRIMARY_30S_EXACT,566
g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_f028a21db717,,,,,,,,,,,,,False,False,False,False,False,1.2540030479431152,1.1704366207122803,1.2475051879882812,0.7235089540481567,0.767864465713501,1.0205481052398682,0.7089566588401794,0.9810192584991455,1.0,0.6750675439834595,0.6371726393699646,0.3422417938709259,0.927940309047699,1.0,10.84445571899414,1,0,0,5159f4cc5c8ff4f1604f8e9909e9b6d1bb049343c614f77b8b8abe5497cbe409,g567_actor_generated_theta,stage2a_diagnostic_a5_label_train,g567_response_SELECTED_ACTOR_PRIMARY_30S_EXACT,SELECTED_ACTOR_PRIMARY_30S_EXACT,566
g567_stage2a_diagnostic_a5_label_train_selected_actor_primary_30s_exact_s566_818631de0bee,,,,,,,,,,,,,False,False,False,False,False,1.2537685632705688,1.172725796699524,1.243241548538208,0.72647625207901,0.7714975476264954,1.014111042022705,0.7109907269477844,0.9809810519218445,1.0,0.6776859164237976,0.6397188901901245,0.33916398882865906,0.9188905954360962,1.0,10.835162162780762,1,0,0,55bffc4220f079b2ac1cfcd3ea9c96539a88a7c387bfe7b059ef4a7ea4e22372,g567_actor_generated_theta,stage2a_diagnostic_a5_label_train,g567_response_SELECTED_ACTOR_PRIMARY_30S_EXACT,SELECTED_ACTOR_PRIMARY_30S_EXACT,566
