g567_evaluation_uid,g567_dataset_row_id,split,map,map_family,agents,budget_ms,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
ef704ff8903e37196b0b3c5236ce020a7032b5eb58f729d6608b98f3efd3e575,g567_stage2a_label_train_00048,LABEL_TRAIN,den312d,game,256,30000,False,False,False,False,False
a7977c157ccb751fcb324bb36a021c1c75b25769412dcb9e267caa1bd50b05ce,g567_stage2a_label_train_00049,LABEL_TRAIN,den312d,game,256,30000,False,False,False,False,False
beec0eeb607c02b5b7e9eb8307841ff6a3f08e239a2ce1e33e6dc5ed673c1a6d,g567_stage2a_label_train_00036,LABEL_TRAIN,g567-chambers-48x32-a-v0,chambers,128,30000,False,False,False,False,False
89115c26cf5c16fd4b09bbdccb5542f3cfa1418e0bb47ae305feb6d810e0f5ba,g567_stage2a_label_train_00045,LABEL_TRAIN,g567-chambers-64x48-a-v2,chambers,128,30000,False,False,False,False,False
d1c507e8e42e816804c368b9b7e7f554fe18fce14238771c97c93daceef18581,g567_stage2a_label_train_00029,LABEL_TRAIN,g567-city-32x32-a-v2,city,64,30000,False,False,False,False,False
077fdb3e8708eb8dc736ff63e9bcb213c8986ac10c8806f885984f645ae5123b,g567_stage2a_label_train_00063,LABEL_TRAIN,g567-city-64x48-a-v1,city,256,30000,False,False,False,False,False
51b68bd7a772529027cbcf1612c11149ee4848176ffe985039423372e5be65e9,g567_stage2a_label_train_00000,LABEL_TRAIN,g567-connector-24x24-a-v3,connector,32,30000,False,False,False,False,False
a99d50f6f4b445bff080ef27bfe106e037377dceb82fe0422f24869334ca1b51,g567_stage2a_label_train_00054,LABEL_TRAIN,g567-connector-48x48-a-v3,connector,256,30000,False,False,False,False,False
3a62d40d175cb16cb25cbffdb8261d99931b6ad23386998274480d8597a0bd75,g567_stage2a_label_train_00028,LABEL_TRAIN,g567-cross-32x32-a-v2,cross,64,30000,False,False,False,False,False
484d280d6f39b47146bcc54b4b29c5fda8ebf05b81361d5ed30e3049d016485f,g567_stage2a_label_train_00055,LABEL_TRAIN,g567-cross-32x32-a-v3,cross,256,30000,False,False,False,False,False
8c3ada1cad82b47492072760dec180d31edc29ec733d17ad5edc4cad88cb4fee,g567_stage2a_label_train_00001,LABEL_TRAIN,g567-empty-16x16-v0,empty,32,30000,False,False,False,False,False
fbc23fa84c327a005eb18710a56ddc3af839eeb21bea708ba7845c999aaee6f8,g567_stage2a_label_train_00002,LABEL_TRAIN,g567-empty-16x16-v0,empty,32,30000,False,False,False,False,False
1402d518e5b8d58a901a58cd2211e84cf92e9fce745d0645a736705e65527570,g567_stage2a_label_train_00003,LABEL_TRAIN,g567-empty-16x16-v1,empty,32,30000,False,False,False,False,False
7976101006b1ff9d0ce9ca06a55c451a556ea9dff0ac1a2efff7e68e2aa67713,g567_stage2a_label_train_00004,LABEL_TRAIN,g567-empty-16x16-v2,empty,32,30000,False,False,False,False,False
c8f55fdd6541ce519c2e4e5471eb93269e31e76110b57ec24386bc741c53ffb4,g567_stage2a_label_train_00044,LABEL_TRAIN,g567-islands-48x48-a-v0,islands,128,30000,False,False,False,False,False
c04ecc0bc8f855598d9a877a985e4311015f38c02656b8e56f56c926909bdf61,g567_stage2a_label_train_00043,LABEL_TRAIN,g567-islands-48x48-a-v2,islands,128,30000,False,False,False,False,False
814408151ee80f8a9230bf9178ba2b8d581ad4c44cd6fa6aead2353bbc4aa1ea,g567_stage2a_label_train_00034,LABEL_TRAIN,g567-lanes-48x32-a-v1,lanes,128,30000,False,False,False,False,False
7cf2d2d079380bd56f6ddb34019f22ea7f99e8fe8d4bfaff95eecdd2dcd52a1f,g567_stage2a_label_train_00035,LABEL_TRAIN,g567-lanes-48x32-a-v1,lanes,128,30000,False,False,False,False,False
83ec017e6d02e7d6536cc3298e96eaf70b7caf1bf851445b9458cc08dc3c8dfa,g567_stage2a_label_train_00033,LABEL_TRAIN,g567-lanes-48x32-a-v1,lanes,128,30000,False,False,False,False,False
e1dc2f4c164e3d8befff28a36c28383ed2188f4e4d6dc37b0a0d869c96b568d9,g567_stage2a_label_train_00032,LABEL_TRAIN,g567-lanes-48x32-a-v3,lanes,128,30000,False,False,False,False,False
b89d98f5052e722c038830e9de69050994384273ce38d5b6ad0ddb19deb8b18a,g567_stage2a_label_train_00047,LABEL_TRAIN,g567-lanes-64x48-a-v1,lanes,128,30000,False,False,False,False,False
0a755baafdea9f905410436e2c21a120ce3c72af6cbd9f0dbb5fffa52e50827a,g567_stage2a_label_train_00046,LABEL_TRAIN,g567-lanes-64x48-a-v2,lanes,128,30000,False,False,False,False,False
c3dacd152db2726341342f2b35d911550bbde3c793eb78534a104aa925625750,g567_stage2a_label_train_00052,LABEL_TRAIN,g567-large-empty-96x96-a-v1,large_empty,256,30000,False,False,False,False,False
7b91057a734984139b63c01ec6ee4ccf175dab4202a4b4816d91894a7e5f29b4,g567_stage2a_label_train_00050,LABEL_TRAIN,g567-large-warehouse-128x96-a-v0,large_warehouse,256,30000,False,False,False,False,False
3c975b89a8391b815ec8bee3dd050b9766377d6937e63c7f6af57c7d002a1fdf,g567_stage2a_label_train_00051,LABEL_TRAIN,g567-large-warehouse-128x96-a-v2,large_warehouse,256,30000,False,False,False,False,False
d63326e395d747312e7971a2b085e35493050ca4d7169f5bb69673b1ae744d36,g567_stage2a_label_train_00020,LABEL_TRAIN,g567-loop-32x32-a-v0,loop,64,30000,False,False,False,False,False
43704f7b1fe7bae209f8237df9a369bafa5e24c68db7c7988ab451e332c4a032,g567_stage2a_label_train_00021,LABEL_TRAIN,g567-loop-32x32-a-v1,loop,64,30000,False,False,False,False,False
1848f14ac12c7d0c0cf68ccff87610ccf3d75137cb6694f08d4b52a444f2889d,g567_stage2a_label_train_00026,LABEL_TRAIN,g567-loop-56x56-a-v0,loop,64,30000,False,False,False,False,False
23642d7f5c250a0651744f4e4ba8368e70aa2d94e05ab5ba4553f1c2066f82e1,g567_stage2a_label_train_00015,LABEL_TRAIN,g567-maze-24x24-a-v0,maze,32,30000,False,False,False,False,False
bfca5377e23751fc6ae1e5358bcf4d88746f864118448c9d61e4a57cb6dc8616,g567_stage2a_label_train_00053,LABEL_TRAIN,g567-maze-24x24-a-v1,maze,256,30000,False,False,False,False,False
6a03a0d27fe90d6c7328f60aca1e2b5bcc8e29383505643fc4c7560ee19ff4b0,g567_stage2a_label_train_00057,LABEL_TRAIN,g567-maze-48x32-a-v0,maze,256,30000,False,False,False,False,False
2f4b978fa6a162b8c570fdb09747d6f43663984d6d1f10b55d80f7db7ed26364,g567_stage2a_label_train_00056,LABEL_TRAIN,g567-maze-48x32-a-v0,maze,256,30000,False,False,False,False,False
fb53e83aa1b9260f418609e82d845eb2419390700d9ba5e4dd17d2dd3231efea,g567_stage2a_label_train_00059,LABEL_TRAIN,g567-maze-48x32-a-v1,maze,256,30000,False,False,False,False,False
3ce61ef99ffd976a36c4054bf476bd525e30cc699bcc2849cbf728e8eb077ec6,g567_stage2a_label_train_00058,LABEL_TRAIN,g567-maze-48x32-a-v1,maze,256,30000,False,False,False,False,False
8e26f33fb7e6bf25c45e109025699c91e0858f1ffe481aba99c49c1a3ba3e714,g567_stage2a_label_train_00060,LABEL_TRAIN,g567-maze-48x32-a-v3,maze,256,30000,False,False,False,False,False
eb5617f37a5a3d64ee769b1d55a40bd7821686621aab4f84a3ad4d7fab2f526a,g567_stage2a_label_train_00061,LABEL_TRAIN,g567-maze-64x32-b-v2,maze,256,30000,False,False,False,False,False
1ef961cf43bee069cb52253a99f169d2068f21c0138a7238d13f7e6cc5f2acc4,g567_stage2a_label_train_00062,LABEL_TRAIN,g567-maze-64x32-b-v2,maze,256,30000,False,False,False,False,False
7336a7aca562f750b4434aabf8ac10b4b42da52f5cf640d31321907fc83c59df,g567_stage2a_label_train_00040,LABEL_TRAIN,g567-plaza-40x40-a-v0,plaza,128,30000,False,False,False,False,False
aa43ac69dc2ad81931b0b6d6f8a5b2e42d513c51204199741c974efb372281f4,g567_stage2a_label_train_00038,LABEL_TRAIN,g567-plaza-40x40-a-v1,plaza,128,30000,False,False,False,False,False
4fcb64613bfe2d38159f1e891ee2a6476fd0c774c40ba00cb173ccd6e64c01fc,g567_stage2a_label_train_00011,LABEL_TRAIN,g567-random-24x24-a-v0,random,32,30000,False,False,False,False,False
8bd64d50f1f796cfa8dfa0acbd8432cbc790614866e5bc1e66ccc4ba0256bfa7,g567_stage2a_label_train_00012,LABEL_TRAIN,g567-random-24x24-a-v3,random,32,30000,False,False,False,False,False
2ccd4cf7620e7ed141915d64d838d9937bfcc99193a1eb49ddc417f093d06b54,g567_stage2a_label_train_00013,LABEL_TRAIN,g567-random-24x24-a-v3,random,32,30000,False,False,False,False,False
c8dc4c3829cb9a0ab52c7db9e6c1c3701585b9e05a51dfb1a5e9c24d6461a56f,g567_stage2a_label_train_00014,LABEL_TRAIN,g567-random-24x24-a-v3,random,32,30000,False,False,False,False,False
7827f209f15a77745fb1db2adf19ac75088678aa12c91bd002aedaf24073c680,g567_stage2a_label_train_00023,LABEL_TRAIN,g567-room-24x24-a-v2,room,64,30000,False,False,False,False,False
890b5e35055227617682b9ce9c03d82f54d05448263a48ceed6af82c1e97db3c,g567_stage2a_label_train_00039,LABEL_TRAIN,g567-spiral-40x40-a-v0,spiral,128,30000,False,False,False,False,False
