agents,contexts,candidates,safe_candidates,primary_safe_AB_candidates,pareto_safe_AB_candidates,joint_positive_AB_candidates,joint_positive_ABC_candidates,harmful_candidates,both_fail_uninformative_candidates,single_run_boundary_uncertain_candidates,mean_primary_training_candidates_per_context,median_primary_training_candidates_per_context,contexts_with_zero_primary_training_candidates,contexts_with_only_anchor_like_target
1000,152,3192,3192,3192,139,348,139,989,0,0,0.9144736842105263,1.0,18,84
12,136,2856,2856,2856,1122,14,0,0,63,0,8.25,4.0,0,24
128,46,966,966,966,84,22,7,221,42,0,1.826086956521739,1.0,4,21
1500,93,1953,1953,1953,390,376,159,676,126,0,4.193548387096774,1.0,8,35
16,142,2982,2982,2982,700,32,3,80,105,0,4.929577464788732,2.0,0,50
192,110,2310,2310,2310,165,9,3,409,63,0,1.5,1.0,7,62
2000,123,2583,2583,2583,672,209,42,823,315,0,5.463414634146342,1.0,12,62
24,137,2877,2877,2877,486,14,6,20,0,0,3.5474452554744524,1.0,0,58
2500,225,4725,4725,4725,1096,1185,47,582,357,0,4.871111111111111,1.0,1,125
256,190,3990,3990,3990,1067,267,112,879,924,0,5.61578947368421,1.0,12,78
3000,251,5271,5271,5271,1098,503,171,1918,441,0,4.374501992031872,1.0,25,129
32,161,3381,3381,3381,308,7,0,9,21,0,1.9130434782608696,1.0,0,82
384,156,3276,3276,3276,853,302,129,677,714,0,5.467948717948718,1.0,6,76
48,147,3087,3087,3087,200,9,2,85,0,0,1.3605442176870748,1.0,1,81
512,82,1722,1722,1722,63,48,36,882,0,0,0.7682926829268293,1.0,20,47
64,148,3108,3108,3108,229,3,0,153,0,0,1.5472972972972974,1.0,3,78
768,18,378,378,378,217,61,34,114,210,0,12.055555555555555,21.0,1,4
8,44,927,927,927,638,0,0,1,0,0,14.5,16.0,0,1
80,139,2919,2919,2919,152,38,10,388,0,0,1.0935251798561152,1.0,10,71
