g567_evaluation_uid,g567_dataset_row_id,split,map,map_family,agents,budget_ms,contexts,candidates,safe_candidates,primary_safe_AB_candidates,pareto_safe_AB_candidates,joint_positive_AB_candidates,joint_positive_ABC_candidates,harmful_candidates,both_fail_uninformative_candidates,single_run_boundary_uncertain_candidates,primary_training_candidates,contexts_with_zero_primary_training_candidates,contexts_with_only_anchor_like_target,mean_primary_training_candidates_per_context,median_primary_training_candidates_per_context
000488448d989f12bfe9c8df1fd177475bfc04dc9ae257bcddc4c604366a3382,g567_gate3b_label_train_01074,LABEL_TRAIN,g567-room-48x48-a-v1,room,8,30000,1,21,21,21,21,0,0,0,0,0,21,0,0,21,21
000ef82bbad5999647c5a3f8335e2f7ad7a6e411e640f3b06df7695ccb61c847,g567_gate3b_label_train_00802,LABEL_TRAIN,g567-large-empty-128x128-a-v3,large_empty,64,30000,1,21,21,21,1,0,0,0,0,0,1,0,0,1,1
0059c3068107eef726df8c2a82662b8a2d420bf8f2f8ccb002da38dc00b6d314,g567_gate3b_label_train_01232,LABEL_TRAIN,room_64_64_16,room,24,30000,1,21,21,21,1,0,0,0,0,0,1,0,0,1,1
007d7646c646288edd714e58367d765ddadd21ffc14443c944c34dbb52f220fc,g567_gate3b_label_train_00807,LABEL_TRAIN,g567-large-empty-128x128-a-v2,large_empty,64,30000,1,21,21,21,21,0,0,0,0,0,21,0,0,21,21
008b4c123bdd0847ca3ea5daa29ee82e97e89628486ff33855d21121ab017cc9,g567_gate3b_label_train_01613,LABEL_TRAIN,sortation_medium,public_other,3000,60000,1,21,21,21,1,0,0,5,0,0,1,0,1,1,1
00a1991fa36a95b682135d11e06b02944e1b92aa1cf87bc76163368fb106c036,g567_gate3b_calibration_00389,CALIBRATION,g567-large-lanes-192x128-a-v3,large_lanes,2500,40000,1,21,21,21,2,19,0,1,0,0,2,0,0,2,2
00d338a424ddf556b9bbfb4c42a8b2a719c9fbcadb222abc4ba3719b297bd315,g567_gate3b_calibration_00465,CALIBRATION,g567-spiral-40x40-a-v3,spiral,128,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
00d72461f4a0371afade332dca0dea58b0eeff47cfbf63f2200cba3177dcba90,g567_gate3b_label_train_01437,LABEL_TRAIN,maze_128_128_2,maze,512,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
00dcf1f075cfa5075c0562151a7a6ec9ee71354a7952d5b2ee24aec23d13b4df,g567_gate3b_label_train_00697,LABEL_TRAIN,g567-large-room-128x128-a-v1,large_room,3000,60000,1,21,21,21,1,0,0,19,0,0,1,0,1,1,1
00ed696652dca368a312212c5d69f70e6b79d0e060a41cd1fb3741c3900a6e9f,g567_gate3b_label_train_01443,LABEL_TRAIN,maze_128_128_2,maze,1500,40000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
00eea862ecc93b24493459a9b2bb75c99b90c49809907dc46b83242704799788,g567_gate3b_calibration_00286,CALIBRATION,warehouse_small,warehouse,512,30000,1,21,21,21,1,1,1,19,0,0,1,0,0,1,1
00f4342190ba3743ce1b003c6a56d89d733dab09b66c13ab6dc2b3b047e87761,g567_gate3b_label_train_01430,LABEL_TRAIN,maze_128_128_2,maze,512,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
00fabb9370096e3a3d03c4b98773d4c380a42e3115e45f754c9f30ba88c51d18,g567_gate3b_label_train_01993,LABEL_TRAIN,g567-large-maze-128x128-a-v3,large_maze,3000,60000,1,21,21,21,21,0,0,0,0,0,21,0,0,21,21
00fe83d583a828ee451d2d3689909811891e44517a4cbd8dc3898e17d200a4af,g567_gate3b_label_train_00650,LABEL_TRAIN,g567-large-room-128x128-a-v0,large_room,2000,40000,1,21,21,21,0,0,0,21,0,0,0,1,0,0,0
010f0bce56b4ab12ee46528b4e1ea5afad537cc4e63fb8e75ea4c35b79d89040,g567_gate3b_label_train_01628,LABEL_TRAIN,warehouse_10_20_10_2_1,warehouse,48,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
01143d074eb87a72a21deeffc2e775af151331da4dbc9ba987e63041757c0ef6,g567_gate3b_calibration_00349,CALIBRATION,maze_128_128_1,maze,192,30000,1,21,21,21,0,0,0,21,0,0,0,1,0,0,0
012ecebd2232831c362704e48d9ce30f1e302248c5eccd5ec9df2f02b9bf0779,g567_gate3b_calibration_00106,CALIBRATION,empty_16_16,empty,12,30000,1,21,21,21,8,0,0,0,0,0,8,0,0,8,8
0144edd951c3bfd828aa218be68bf7dff1e5e54133505eddd09fd2e5c2763a06,g567_gate3b_label_train_00208,LABEL_TRAIN,random_32_32_10,random,12,30000,1,21,21,21,21,0,0,0,0,0,21,0,0,21,21
014e6579ff52157ef06802dad88d322076b79c3bf29429d8744fdfe8cac43a93,g567_gate3b_label_train_01693,LABEL_TRAIN,g567-room-64x48-b-v1,room,256,30000,1,21,21,21,1,0,0,8,0,0,1,0,1,1,1
0159472a186e7f48e4a80edaf71338c5f5b1525933e4be49e8d8d0184cb38a46,g567_gate3b_calibration_00212,CALIBRATION,empty_32_32,empty,64,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
0176470792e055100a028b86364ae99b368bf6f73aefa16913de2269bdaa9227,g567_gate3b_calibration_00191,CALIBRATION,empty_32_32,empty,32,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
0190fc6c5d55279921e8f866f2c7d0e703aac2a06ed7c88631e7ecf489b3a227,g567_gate3b_label_train_00184,LABEL_TRAIN,den312d,game,1000,40000,1,21,21,21,1,0,0,15,0,0,1,0,1,1,1
01b3e358eb2d264dfadbc51e4b01d688dc731ad40228079878e8d66cea557a35,g567_gate3b_label_train_01636,LABEL_TRAIN,warehouse_10_20_10_2_1,warehouse,80,30000,1,21,21,21,1,0,0,0,0,0,1,0,1,1,1
01bcfc5ca2ac6665182de8af63a37318300f8fe7f035bb2efb5a892c78acc0c6,g567_gate3b_calibration_00336,CALIBRATION,maze_128_128_1,maze,80,30000,1,21,21,21,0,0,0,21,0,0,0,1,0,0,0
01bdfbb5f2db6b8a5708a57eb6187c56993104442feea1c7727f09ad135bc212,g567_gate3b_label_train_00286,LABEL_TRAIN,g567-tunnel-64x32-a-v0,tunnel,256,30000,1,21,21,21,21,0,0,0,21,0,21,0,0,21,21
