population,theta_dimension,count,mean,std,min,max,lower_bound,upper_bound,fraction_at_lower_bound,fraction_at_upper_bound,mean_abs_deviation_from_g556,mean_abs_deviation_from_static_flow,mean_abs_deviation_from_additive_compatible_theta,additive_distance_note
labelv54_primary_training_candidates,theta_alpha_cong_commit_progress,9679,1.2535897702739214,0.0036345686296193917,1.25,1.2617645263671875,0.0,1.5,0.0,0.0,0.003589770273921386,0.003589770273921386,,NA: force-additive baseline is not a comparable dual-channel continuous theta anchor
labelv54_primary_training_candidates,theta_alpha_cong_commit_nonprogress,9679,1.1675942672384045,0.020179321089694315,1.1389893293380735,1.2286232709884644,0.5,1.75,0.0,0.0,0.011294297017222597,0.08240573276159557,,NA: force-additive baseline is not a comparable dual-channel continuous theta anchor
labelv54_primary_training_candidates,theta_alpha_cong_block,9679,1.2541880656007967,0.004240330929417686,1.25,1.2637253999710083,0.5,2.25,0.0,0.0,0.004188065600796713,0.004188065600796713,,NA: force-additive baseline is not a comparable dual-channel continuous theta anchor
labelv54_primary_training_candidates,theta_alpha_cong_wait_progress,9679,0.7486909645095642,0.0016351046696821666,0.7422682642936707,0.75,0.0,1.25,0.0,0.0,0.0013090354904358465,0.0013090354904358465,,NA: force-additive baseline is not a comparable dual-channel continuous theta anchor
labelv54_primary_training_candidates,theta_alpha_cong_wait_nonprogress,9679,0.7481673493440985,0.0022891470648273207,0.73917555809021,0.75,0.0,1.75,0.0,0.0,0.0018326506559015465,0.0018326506559015465,,NA: force-additive baseline is not a comparable dual-channel continuous theta anchor
labelv54_primary_training_candidates,theta_alpha_flow_commit_progress,9679,1.0391399544346294,0.00950995957272069,1.0103514194488523,1.0588709115982056,0.0,1.5,0.0,0.0,0.00510219732509786,0.039139954434629434,,NA: force-additive baseline is not a comparable dual-channel continuous theta anchor
labelv54_primary_training_candidates,theta_alpha_flow_wait_progress,9679,0.7166785388609166,0.06813111895906963,0.6177815794944763,0.924820840358734,0.0,1.25,0.0,0.0,0.03114074262930768,0.28332146113908346,,NA: force-additive baseline is not a comparable dual-channel continuous theta anchor
labelv54_primary_training_candidates,theta_rho_cong_decay,9679,0.9785402535850296,0.006846950039426911,0.957779824733734,0.9894014596939088,0.9,1.0,0.0,0.0,0.0034872516458568305,0.0285402535850296,,NA: force-additive baseline is not a comparable dual-channel continuous theta anchor
labelv54_primary_training_candidates,theta_rho_flow_decay,9679,1.0,0.0,1.0,1.0,0.9,1.0,0.0,1.0,0.0,0.0,,NA: force-additive baseline is not a comparable dual-channel continuous theta anchor
labelv54_primary_training_candidates,theta_lambda_cong,9679,0.7016496928729158,0.07149625935079193,0.5905430316925049,0.9190081357955932,0.5,1.5,0.0,0.0,0.03477687595649031,0.2983503071270842,,NA: force-additive baseline is not a comparable dual-channel continuous theta anchor
labelv54_primary_training_candidates,theta_lambda_flow,9679,0.6673640109054411,0.07976094640033449,0.5405232310295105,0.9094538688659668,0.0,1.5,0.0,0.0,0.04000152306488223,0.3326359890945589,,NA: force-additive baseline is not a comparable dual-channel continuous theta anchor
labelv54_primary_training_candidates,theta_flow_shield_beta,9679,0.3451182436648695,0.0077362991153328555,0.3355112671852112,0.3591194748878479,0.0,0.8,0.0,0.0,0.009606976479658308,0.006943888007910951,,NA: force-additive baseline is not a comparable dual-channel continuous theta anchor
labelv54_primary_training_candidates,theta_max_flow_shield,9679,0.8645744099943632,0.029327145923929786,0.7825462222099304,0.9169973731040956,0.25,1.5,0.0,0.0,0.02057840122345472,0.11457440999436322,,NA: force-additive baseline is not a comparable dual-channel continuous theta anchor
labelv54_primary_training_candidates,theta_min_edge_cost,9679,1.0,0.0,1.0,1.0,0.25,1.0,0.0,1.0,0.0,0.0,,NA: force-additive baseline is not a comparable dual-channel continuous theta anchor
labelv54_primary_training_candidates,theta_max_edge_cost,9679,10.85093080146412,0.053558783819718465,10.79326343536377,10.967988967895508,8.0,12.0,0.0,0.0,0.057667366100350295,0.14906919853588016,,NA: force-additive baseline is not a comparable dual-channel continuous theta anchor
