row_type,g567_evaluation_uid,context_id,map,map_family,agents,target_candidate_count,mean_L1_target_distance_to_g556,mean_L1_target_distance_to_static_flow,mean_L1_actor_prediction_distance_to_g556,mean_L1_actor_prediction_distance_to_static_flow
label_train_target_set,000488448d989f12bfe9c8df1fd177475bfc04dc9ae257bcddc4c604366a3382,g567_gate3b_label_train_01074,g567-room-48x48-a-v1,room,8,21.0,0.01092989406280239,0.08570740424789272,,
label_train_target_set,000ef82bbad5999647c5a3f8335e2f7ad7a6e411e640f3b06df7695ccb61c847,g567_gate3b_label_train_00802,g567-large-empty-128x128-a-v3,large_empty,64,1.0,0.0009665651170034174,0.09041640451030127,,
label_train_target_set,0059c3068107eef726df8c2a82662b8a2d420bf8f2f8ccb002da38dc00b6d314,g567_gate3b_label_train_01232,room_64_64_16,room,24,1.0,0.001422127087910908,0.09151634514331813,,
label_train_target_set,007d7646c646288edd714e58367d765ddadd21ffc14443c944c34dbb52f220fc,g567_gate3b_label_train_00807,g567-large-empty-128x128-a-v2,large_empty,64,21.0,0.01086689901032055,0.08562824471534788,,
label_train_target_set,008b4c123bdd0847ca3ea5daa29ee82e97e89628486ff33855d21121ab017cc9,g567_gate3b_label_train_01613,sortation_medium,public_other,3000,1.0,0.04506650239702255,0.0458261073676367,,
label_train_target_set,00a1991fa36a95b682135d11e06b02944e1b92aa1cf87bc76163368fb106c036,g567_gate3b_calibration_00389,g567-large-lanes-192x128-a-v3,large_lanes,2500,2.0,0.007274479435549854,0.0915790269441075,,
label_train_target_set,00d338a424ddf556b9bbfb4c42a8b2a719c9fbcadb222abc4ba3719b297bd315,g567_gate3b_calibration_00465,g567-spiral-40x40-a-v3,spiral,128,1.0,0.0676598022570685,0.022980860093283394,,
label_train_target_set,00d72461f4a0371afade332dca0dea58b0eeff47cfbf63f2200cba3177dcba90,g567_gate3b_label_train_01437,maze_128_128_2,maze,512,1.0,0.04516740287107135,0.04576944124130978,,
label_train_target_set,00dcf1f075cfa5075c0562151a7a6ec9ee71354a7952d5b2ee24aec23d13b4df,g567_gate3b_label_train_00697,g567-large-room-128x128-a-v1,large_room,3000,1.0,0.0677031531598833,0.02295005857944493,,
label_train_target_set,00ed696652dca368a312212c5d69f70e6b79d0e060a41cd1fb3741c3900a6e9f,g567_gate3b_label_train_01443,maze_128_128_2,maze,1500,1.0,0.005453124490995295,0.09118566736342429,,
label_train_target_set,00eea862ecc93b24493459a9b2bb75c99b90c49809907dc46b83242704799788,g567_gate3b_calibration_00286,warehouse_small,warehouse,512,1.0,0.0013056646074567607,0.09052944504079367,,
label_train_target_set,00f4342190ba3743ce1b003c6a56d89d733dab09b66c13ab6dc2b3b047e87761,g567_gate3b_label_train_01430,maze_128_128_2,maze,512,1.0,0.06763082788104106,0.022884699891483954,,
label_train_target_set,00fabb9370096e3a3d03c4b98773d4c380a42e3115e45f754c9f30ba88c51d18,g567_gate3b_label_train_01993,g567-large-maze-128x128-a-v3,large_maze,3000,21.0,0.010958293922589043,0.08575802235714165,,
label_train_target_set,010f0bce56b4ab12ee46528b4e1ea5afad537cc4e63fb8e75ea4c35b79d89040,g567_gate3b_label_train_01628,warehouse_10_20_10_2_1,warehouse,48,1.0,0.0037420069840219286,0.09088643388615718,,
label_train_target_set,012ecebd2232831c362704e48d9ce30f1e302248c5eccd5ec9df2f02b9bf0779,g567_gate3b_calibration_00106,empty_16_16,empty,12,8.0,0.0021454674567258697,0.09118591716542607,,
label_train_target_set,0144edd951c3bfd828aa218be68bf7dff1e5e54133505eddd09fd2e5c2763a06,g567_gate3b_label_train_00208,random_32_32_10,random,12,21.0,0.010875742864806966,0.08565980511097321,,
label_train_target_set,014e6579ff52157ef06802dad88d322076b79c3bf29429d8744fdfe8cac43a93,g567_gate3b_label_train_01693,g567-room-64x48-b-v1,room,256,1.0,0.045170337501026364,0.045767665249960766,,
label_train_target_set,0159472a186e7f48e4a80edaf71338c5f5b1525933e4be49e8d8d0184cb38a46,g567_gate3b_calibration_00212,empty_32_32,empty,64,1.0,0.005514273501577826,0.09121099239303955,,
label_train_target_set,0176470792e055100a028b86364ae99b368bf6f73aefa16913de2269bdaa9227,g567_gate3b_calibration_00191,empty_32_32,empty,32,1.0,0.02275230238835022,0.0687513914042049,,
label_train_target_set,0190fc6c5d55279921e8f866f2c7d0e703aac2a06ed7c88631e7ecf489b3a227,g567_gate3b_label_train_00184,den312d,game,1000,1.0,0.0054388524994017536,0.09116256236083926,,
label_train_target_set,01b3e358eb2d264dfadbc51e4b01d688dc731ad40228079878e8d66cea557a35,g567_gate3b_label_train_01636,warehouse_10_20_10_2_1,warehouse,80,1.0,0.01119228033792396,0.0937306675172987,,
label_train_target_set,01bdfbb5f2db6b8a5708a57eb6187c56993104442feea1c7727f09ad135bc212,g567_gate3b_label_train_00286,g567-tunnel-64x32-a-v0,tunnel,256,21.0,0.010850987822290445,0.08564363987672899,,
label_train_target_set,01cf26253283b0a6a41504c0e3bcd8f2696b2f42ee6f3f5ac37570de696acab2,g567_gate3b_label_train_01550,g567-large-maze-192x128-a-v0,large_maze,3000,1.0,0.06764338955519691,0.022885061951856803,,
label_train_target_set,01d3532a122ea2697734f20ffd5ee7d40ea5efd6a3fab2d9edb872bc4bf85360,g567_gate3b_label_train_01258,room_64_64_16,room,48,1.0,0.0009544210585336837,0.0904123603256922,,
label_train_target_set,020cbe192649b0b316f0a852688eae5eab3a1cbb41f54c29119a46a264ed8521,g567_gate3b_label_train_00492,room_64_64_8,room,64,2.0,0.0018042092521985467,0.08949281464020414,,
label_train_target_set,020cdaa0bd2b820a9fbb541c95c38a8e1bac7c8940aefad6163dee2ed006fdb8,g567_gate3b_label_train_01855,room_32_32_4,room,48,1.0,0.04511536454397527,0.04588796014823622,,
label_train_target_set,021dc365aacd833fb7e90a2d4c8ce1bee2a3d6495c7bd93a6833022b829f3a6b,g567_gate3b_calibration_00121,empty_16_16,empty,24,1.0,0.001852031075765302,0.0904740612942076,,
label_train_target_set,025c27e202643ec38b223a58b249ba0a7283d428257d78b41f146f126b54abb5,g567_gate3b_label_train_01481,g567-large-maze-192x128-a-v3,large_maze,2000,1.0,0.005457894452034369,0.0911587117588709,,
label_train_target_set,02b92f3c6bf50d769250a64e8c7fd8af6889b367eeb685f9fcf7e0c2dedc3f2a,g567_gate3b_calibration_00211,empty_32_32,empty,64,1.0,0.01103146090867026,0.09354456936083144,,
label_train_target_set,02f15f2c1bc5e91787b2fa031fee009b5e6560bc9dfc9c67182de2d6484ec8c3,g567_gate3b_label_train_01721,g567-room-64x48-b-v3,room,512,1.0,0.003615152239799511,0.0888891724745433,,
