ltm_target_map,selected_map,match_type,fallback,map_family,agent_tier,available_contexts,development_contexts,calibration_contexts,label_train_contexts,selected_for_primary_subset,agent_count_primary_ltm_style
empty-32-32,empty_32_32,normalized,False,empty,16,5,0,5,0,True,True
empty-32-32,empty_32_32,normalized,False,empty,24,6,0,6,0,False,True
empty-32-32,empty_32_32,normalized,False,empty,32,22,0,22,0,False,True
empty-32-32,empty_32_32,normalized,False,empty,64,10,0,10,0,True,True
empty-32-32,empty_32_32,normalized,False,empty,80,6,0,6,0,False,True
empty-32-32,empty_32_32,normalized,False,empty,256,16,0,16,0,True,True
empty-32-32,empty_32_32,normalized,False,empty,384,8,0,8,0,True,True
empty-32-32,empty_32_32,normalized,False,empty,512,2,0,2,0,True,True
empty-48-48,empty_48_48,normalized,False,empty,16,4,4,0,0,True,True
empty-48-48,empty_48_48,normalized,False,empty,24,4,4,0,0,False,True
empty-48-48,empty_48_48,normalized,False,empty,32,9,9,0,0,False,True
empty-48-48,empty_48_48,normalized,False,empty,48,4,4,0,0,False,True
empty-48-48,empty_48_48,normalized,False,empty,80,12,12,0,0,True,True
empty-48-48,empty_48_48,normalized,False,empty,192,9,9,0,0,False,True
empty-48-48,empty_48_48,normalized,False,empty,256,8,8,0,0,True,True
empty-48-48,empty_48_48,normalized,False,empty,384,3,3,0,0,False,True
empty-48-48,empty_48_48,normalized,False,empty,768,16,16,0,0,True,True
empty-48-48,empty_48_48,normalized,False,empty,1000,4,4,0,0,True,True
random-32-32-20,random_32_32_20,normalized,False,random,12,19,19,0,0,True,True
random-32-32-20,random_32_32_20,normalized,False,random,24,1,1,0,0,False,True
random-32-32-20,random_32_32_20,normalized,False,random,48,15,15,0,0,False,True
random-32-32-20,random_32_32_20,normalized,False,random,64,7,7,0,0,True,True
random-32-32-20,random_32_32_20,normalized,False,random,80,9,9,0,0,False,True
random-32-32-20,random_32_32_20,normalized,False,random,192,10,10,0,0,True,True
random-32-32-20,random_32_32_20,normalized,False,random,256,9,9,0,0,True,True
random-32-32-20,random_32_32_20,normalized,False,random,384,5,5,0,0,True,True
maze-32-32-4,maze_32_32_4,normalized,False,maze,8,9,9,0,0,False,True
maze-32-32-4,maze_32_32_4,normalized,False,maze,16,11,11,0,0,True,True
maze-32-32-4,maze_32_32_4,normalized,False,maze,24,16,16,0,0,True,True
maze-32-32-4,maze_32_32_4,normalized,False,maze,32,13,13,0,0,True,True
maze-32-32-4,maze_32_32_4,normalized,False,maze,48,12,12,0,0,True,True
maze-32-32-4,maze_32_32_4,normalized,False,maze,384,5,5,0,0,True,True
random-64-64-20,random_64_64_20,normalized,False,random,12,17,0,0,17,False,True
random-64-64-20,random_64_64_20,normalized,False,random,16,12,0,0,12,True,True
random-64-64-20,random_64_64_20,normalized,False,random,24,12,0,0,12,True,True
random-64-64-20,random_64_64_20,normalized,False,random,32,11,0,0,11,True,True
random-64-64-20,random_64_64_20,normalized,False,random,48,8,0,0,8,True,True
random-64-64-20,random_64_64_20,normalized,False,random,1500,6,0,0,6,True,True
room-64-64-8,room_64_64_8,normalized,False,room,8,7,0,0,7,False,True
room-64-64-8,room_64_64_8,normalized,False,room,12,8,0,0,8,True,True
room-64-64-8,room_64_64_8,normalized,False,room,24,6,0,0,6,False,True
room-64-64-8,room_64_64_8,normalized,False,room,32,13,0,0,13,False,True
room-64-64-8,room_64_64_8,normalized,False,room,48,12,0,0,12,False,True
room-64-64-8,room_64_64_8,normalized,False,room,64,12,0,0,12,True,True
room-64-64-8,room_64_64_8,normalized,False,room,80,4,0,0,4,False,True
room-64-64-8,room_64_64_8,normalized,False,room,192,13,0,0,13,False,True
room-64-64-8,room_64_64_8,normalized,False,room,256,6,0,0,6,True,True
room-64-64-8,room_64_64_8,normalized,False,room,512,13,0,0,13,False,True
room-64-64-8,room_64_64_8,normalized,False,room,1000,13,0,0,13,True,True
room-64-64-8,room_64_64_8,normalized,False,room,1500,5,0,0,5,False,True
room-64-64-8,room_64_64_8,normalized,False,room,2000,8,0,0,8,True,True
warehouse-10-20-10-2-1,warehouse_10_20_10_2_1,normalized,False,warehouse,48,11,0,0,11,True,True
warehouse-10-20-10-2-1,warehouse_10_20_10_2_1,normalized,False,warehouse,80,10,0,0,10,True,True
warehouse-10-20-10-2-1,warehouse_10_20_10_2_1,normalized,False,warehouse,384,16,0,0,16,True,True
warehouse-10-20-10-2-2,warehouse_10_20_10_2_2,normalized,False,warehouse,16,6,0,0,6,True,True
warehouse-10-20-10-2-2,warehouse_10_20_10_2_2,normalized,False,warehouse,32,15,0,0,15,False,True
warehouse-10-20-10-2-2,warehouse_10_20_10_2_2,normalized,False,warehouse,48,12,0,0,12,False,True
warehouse-10-20-10-2-2,warehouse_10_20_10_2_2,normalized,False,warehouse,64,17,0,0,17,True,True
warehouse-10-20-10-2-2,warehouse_10_20_10_2_2,normalized,False,warehouse,80,13,0,0,13,False,True
warehouse-10-20-10-2-2,warehouse_10_20_10_2_2,normalized,False,warehouse,192,17,0,0,17,False,True
warehouse-10-20-10-2-2,warehouse_10_20_10_2_2,normalized,False,warehouse,256,14,0,0,14,True,True
warehouse-10-20-10-2-2,warehouse_10_20_10_2_2,normalized,False,warehouse,384,11,0,0,11,True,True
warehouse-10-20-10-2-2,warehouse_10_20_10_2_2,normalized,False,warehouse,512,6,0,0,6,True,True
