plan_row_id,replay_phase,context_id,g567_dataset_row_id,g567_instance_uid,g567_evaluation_uid,g567_identity_digest,g567_scenario_sha256,g567_physical_map_sha256,g567_assignment_sha256,split,map,map_family,raw_map_path,replay_scenario_path,agents,agent_count,seed,budget_ms,nominal_budget_ms,short_budget_ms,base_time_limit_sec,budget_role,ltm_max_iterations,horizon_id,scientific_horizon_id,solver_execution_id,role,candidate_id,theta_id,materialized_method,generated_theta_uid,sampling_policy,model_path,variant_id,actor_training_seed,expected_updateparams_fingerprint,replicate_id,replicate_group_id,execution_order_index,cpu_affinity,worker_count,OMP_NUM_THREADS,MKL_NUM_THREADS,OPENBLAS_NUM_THREADS,host_load_snapshot,solver_internal_time_limit_sec,process_hard_timeout_sec,method_start_timestamp,method_end_timestamp,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,g568_method,method_label,ltm_paper_style_budget_sec,source_existing_gate3b_row_only,no_training_no_regeneration_no_full,actor_inference_ms,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,acquisition_family,candidate_source_family,multi_fidelity_stage,multi_fidelity_screening_backend,screened_from_full_response_surface,response_screening_score,response_surface_selected_rank,response_context_selected_rank,response_context_candidate_pool_rows,response_surface_candidate_pool_rows,response_surface_selected_rows,coverage_first_candidate,response_candidate_pass,primary_30s_exploratory_full_lattice_skipped,large_agent_30s_exploratory_full_lattice_skipped,selected_for_30s_exact_acquisition,primary_exact_solver_internal_time_limit_sec,primary_exact_process_hard_timeout_sec,selected_for_primary_exact_acquisition,raw_actor_variant_id
g568_ltm30_labeltrain1000_existingrow_00000000,g568_ltm30_labeltrain1000_existingrow,g567_gate3b_calibration_00175,g567_gate3b_calibration_00175,b46479e62f99f7fb06e104880b56b1b0ada30a68d077fb64b5d651567fb0ec7e,598862a2ea6b63331ff9c8a37a01fa345f70de8e819242122f4106bbf8d76ea7,78f209c0a14b50eb9baefa14a9a795733023b4396ec76869799aed46c49a59cf,d17c03fdc07a2a8114970c2513351dfb849598b6edfd8b4f1b2c3e5e63f01f96,5b11a28f65d09a0ba260b77cb698bb22c73cfe1e1f5e159997de6108cd31bf68,89919896c8aa740d74cb0c904a7a036951a455d81c082cc2c96ca0938bd54cdd,CALIBRATION,empty_32_32,empty,/root/shared-nvme/g567_gate3b_bounded_2d334c79_tmux_r13_pool20000/scenario_bank/maps/empty_32_32.map,/root/shared-nvme/g567_gate3b_bounded_2d334c79_tmux_r13_pool20000/replay_scenarios/empty_32_32-random-4567012054.scen,16,16,4567012054,30000,30000,30000,30.0,g568_ltm_paper_style_30s_existing_gate3b_row,12,budget30000_ltm12,budget30000_ltm12,budget30000_ltm12|rep00,ltm_30s,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_style_additive_ltm,,,,force_additive=1|enable_dual_channel=0,0,34a164f533c219f6177a2f0e70b41b7d10925dbdb549eaaa95d9eb92c7691bf3,0,,3,1,1,1,,30.0,60.0,,,False,False,False,False,False,ltm_30s,ltm_30s,30.0,True,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g568_ltm30_labeltrain1000_existingrow_00000001,g568_ltm30_labeltrain1000_existingrow,g567_gate3b_calibration_00175,g567_gate3b_calibration_00175,b46479e62f99f7fb06e104880b56b1b0ada30a68d077fb64b5d651567fb0ec7e,598862a2ea6b63331ff9c8a37a01fa345f70de8e819242122f4106bbf8d76ea7,9b351443d67747d20172c05b8d21300772089ec3ea1fb5f8f177bcdc440601a6,d17c03fdc07a2a8114970c2513351dfb849598b6edfd8b4f1b2c3e5e63f01f96,5b11a28f65d09a0ba260b77cb698bb22c73cfe1e1f5e159997de6108cd31bf68,89919896c8aa740d74cb0c904a7a036951a455d81c082cc2c96ca0938bd54cdd,CALIBRATION,empty_32_32,empty,/root/shared-nvme/g567_gate3b_bounded_2d334c79_tmux_r13_pool20000/scenario_bank/maps/empty_32_32.map,/root/shared-nvme/g567_gate3b_bounded_2d334c79_tmux_r13_pool20000/replay_scenarios/empty_32_32-random-4567012054.scen,16,16,4567012054,30000,30000,30000,30.0,g568_ltm_paper_style_30s_existing_gate3b_row,12,budget30000_ltm12,budget30000_ltm12,budget30000_ltm12|rep00,static_flow_30s,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,88d39f44f745ef0c7fec09da18bd227bb3f7e4f42e0f87b13c96431c8814a451,historical_static_flow_shield,,,,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.95|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.0|alpha_flow_wait_progress=1.0|rho_cong_decay=0.95|rho_flow_decay=1.0|lambda_cong=1.0|lambda_flow=1.0|min_edge_cost=1.0|max_edge_cost=11.0|goal_projection_mode=flow_shield|flow_shield_beta=0.35|max_flow_shield=0.75,0,ac7bea053b8187f4664dbcc6373f7e1f8644dac1a6e0e5c2619563de2118c76f,1,,3,1,1,1,,30.0,60.0,,,False,False,False,False,False,static_flow_30s,static_flow_30s,30.0,True,True,0.0,1.25,1.25,1.25,0.75,0.75,1.0,1.0,0.95,1.0,1.0,1.0,0.35,0.75,1.0,11.0,1,0,0,,,,,,,,,,,,,,,,,,,,
g568_ltm30_labeltrain1000_existingrow_00000002,g568_ltm30_labeltrain1000_existingrow,g567_gate3b_calibration_00174,g567_gate3b_calibration_00174,198e7466fc3a8d4b8caefcb73989157c8cb65f6b592a5b334161094dcfd3a847,19ee9fa7c5751d2209f28f334f769efb1af27ccd047ffc0caad3775a261b7755,cb9cba2c75a3a9b273b7f12d6b470d4a0a4696b27aa68085dfea1406404cbeff,7c336809d987c94f7b71877b987ec288b1a9a2ee32ab2d627d046193f43dd01f,5b11a28f65d09a0ba260b77cb698bb22c73cfe1e1f5e159997de6108cd31bf68,f26bfee5bcc7631eacaf5a15705b5d3e0b39d38245dfba3aa8e23dda568ad2fc,CALIBRATION,empty_32_32,empty,/root/shared-nvme/g567_gate3b_bounded_2d334c79_tmux_r13_pool20000/scenario_bank/maps/empty_32_32.map,/root/shared-nvme/g567_gate3b_bounded_2d334c79_tmux_r13_pool20000/replay_scenarios/empty_32_32-random-4567017126.scen,16,16,4567017126,30000,30000,30000,30.0,g568_ltm_paper_style_30s_existing_gate3b_row,12,budget30000_ltm12,budget30000_ltm12,budget30000_ltm12|rep00,ltm_30s,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_style_additive_ltm,,,,force_additive=1|enable_dual_channel=0,0,4ce94937f7915d11d8cc7b2c636cdb128e122b4b5e73a6f818ed87ba01093a42,2,,3,1,1,1,,30.0,60.0,,,False,False,False,False,False,ltm_30s,ltm_30s,30.0,True,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g568_ltm30_labeltrain1000_existingrow_00000003,g568_ltm30_labeltrain1000_existingrow,g567_gate3b_calibration_00174,g567_gate3b_calibration_00174,198e7466fc3a8d4b8caefcb73989157c8cb65f6b592a5b334161094dcfd3a847,19ee9fa7c5751d2209f28f334f769efb1af27ccd047ffc0caad3775a261b7755,613460c060233e379d1e43d63d35cc4f7b8e016345267e056147b9c69abfc4fb,7c336809d987c94f7b71877b987ec288b1a9a2ee32ab2d627d046193f43dd01f,5b11a28f65d09a0ba260b77cb698bb22c73cfe1e1f5e159997de6108cd31bf68,f26bfee5bcc7631eacaf5a15705b5d3e0b39d38245dfba3aa8e23dda568ad2fc,CALIBRATION,empty_32_32,empty,/root/shared-nvme/g567_gate3b_bounded_2d334c79_tmux_r13_pool20000/scenario_bank/maps/empty_32_32.map,/root/shared-nvme/g567_gate3b_bounded_2d334c79_tmux_r13_pool20000/replay_scenarios/empty_32_32-random-4567017126.scen,16,16,4567017126,30000,30000,30000,30.0,g568_ltm_paper_style_30s_existing_gate3b_row,12,budget30000_ltm12,budget30000_ltm12,budget30000_ltm12|rep00,static_flow_30s,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,ada511d6159f6c6753bd19aea69652818b4d9ff05e97562b1e58ce56374a114c,historical_static_flow_shield,,,,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.95|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.0|alpha_flow_wait_progress=1.0|rho_cong_decay=0.95|rho_flow_decay=1.0|lambda_cong=1.0|lambda_flow=1.0|min_edge_cost=1.0|max_edge_cost=11.0|goal_projection_mode=flow_shield|flow_shield_beta=0.35|max_flow_shield=0.75,0,56b5fecc1545f1f47facf50caf8449112c5503c5d423461a1c8a1c1456c05a5a,3,,3,1,1,1,,30.0,60.0,,,False,False,False,False,False,static_flow_30s,static_flow_30s,30.0,True,True,0.0,1.25,1.25,1.25,0.75,0.75,1.0,1.0,0.95,1.0,1.0,1.0,0.35,0.75,1.0,11.0,1,0,0,,,,,,,,,,,,,,,,,,,,
g568_ltm30_labeltrain1000_existingrow_00000004,g568_ltm30_labeltrain1000_existingrow,g567_gate3b_calibration_00176,g567_gate3b_calibration_00176,3eee39ee1bd63d81ae8f4ee92348ddb23d98822df32e0cdba1ab638cae2be16c,b9bd06b446452d3ea90dc83f08a6a781f1fa66472dd4d54aa0841f1f35b2022d,c01d582b6f7c59232aee5e6c8ce93f8b94eac1523312fdf54c18677204ee40e4,569a6bb35917cb13c395b19f24a39229030887b6daa94d697879d0d0e2c681ef,5b11a28f65d09a0ba260b77cb698bb22c73cfe1e1f5e159997de6108cd31bf68,69143bf878c82b022e4b3b4d9e424ccf0ea8883d202cdbc8ca8d5ccdfabb7db8,CALIBRATION,empty_32_32,empty,/root/shared-nvme/g567_gate3b_bounded_2d334c79_tmux_r13_pool20000/scenario_bank/maps/empty_32_32.map,/root/shared-nvme/g567_gate3b_bounded_2d334c79_tmux_r13_pool20000/replay_scenarios/empty_32_32-random-4567003256.scen,16,16,4567003256,30000,30000,30000,30.0,g568_ltm_paper_style_30s_existing_gate3b_row,12,budget30000_ltm12,budget30000_ltm12,budget30000_ltm12|rep00,ltm_30s,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_style_additive_ltm,,,,force_additive=1|enable_dual_channel=0,0,0b7cfca7211be99c73da4fdeb861373d71d44dfc6408e6b29df46c17e6115c0c,4,,3,1,1,1,,30.0,60.0,,,False,False,False,False,False,ltm_30s,ltm_30s,30.0,True,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g568_ltm30_labeltrain1000_existingrow_00000005,g568_ltm30_labeltrain1000_existingrow,g567_gate3b_calibration_00176,g567_gate3b_calibration_00176,3eee39ee1bd63d81ae8f4ee92348ddb23d98822df32e0cdba1ab638cae2be16c,b9bd06b446452d3ea90dc83f08a6a781f1fa66472dd4d54aa0841f1f35b2022d,5d4b950a51f88f175d08d699418ada539402dea3684ff1a00882e3366382ef1d,569a6bb35917cb13c395b19f24a39229030887b6daa94d697879d0d0e2c681ef,5b11a28f65d09a0ba260b77cb698bb22c73cfe1e1f5e159997de6108cd31bf68,69143bf878c82b022e4b3b4d9e424ccf0ea8883d202cdbc8ca8d5ccdfabb7db8,CALIBRATION,empty_32_32,empty,/root/shared-nvme/g567_gate3b_bounded_2d334c79_tmux_r13_pool20000/scenario_bank/maps/empty_32_32.map,/root/shared-nvme/g567_gate3b_bounded_2d334c79_tmux_r13_pool20000/replay_scenarios/empty_32_32-random-4567003256.scen,16,16,4567003256,30000,30000,30000,30.0,g568_ltm_paper_style_30s_existing_gate3b_row,12,budget30000_ltm12,budget30000_ltm12,budget30000_ltm12|rep00,static_flow_30s,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,81917f382affbc85c607b9287bc8163698141fcd0330755fbc0471aaea797808,historical_static_flow_shield,,,,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.95|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.0|alpha_flow_wait_progress=1.0|rho_cong_decay=0.95|rho_flow_decay=1.0|lambda_cong=1.0|lambda_flow=1.0|min_edge_cost=1.0|max_edge_cost=11.0|goal_projection_mode=flow_shield|flow_shield_beta=0.35|max_flow_shield=0.75,0,d0dbec3d40f471969fa65dc8d7150f0af2985c948e277c6d11fb61f3310acb27,5,,3,1,1,1,,30.0,60.0,,,False,False,False,False,False,static_flow_30s,static_flow_30s,30.0,True,True,0.0,1.25,1.25,1.25,0.75,0.75,1.0,1.0,0.95,1.0,1.0,1.0,0.35,0.75,1.0,11.0,1,0,0,,,,,,,,,,,,,,,,,,,,
g568_ltm30_labeltrain1000_existingrow_00000006,g568_ltm30_labeltrain1000_existingrow,g567_gate3b_calibration_00172,g567_gate3b_calibration_00172,96703a13ac6e67175136b58eee7705daa58687e23614b51d0d0fd1ebd5de41df,b74e4c3ef4e4e8883ec2275125b5314405a164296ac7da35a4b61b36bec3d9c4,bc1ea2b6bcd7727748a872fba22e01a3dc50cbec3ba99f519837260279a8def9,b720d5db2d645fb8fd38d634bc9d3400077b4cbbe47ef20c9e1315cbef3ccb00,5b11a28f65d09a0ba260b77cb698bb22c73cfe1e1f5e159997de6108cd31bf68,8d0eab24b7c23a8bb1344189a84c46ab398df8ce96e640b056772269ce4ff795,CALIBRATION,empty_32_32,empty,/root/shared-nvme/g567_gate3b_bounded_2d334c79_tmux_r13_pool20000/scenario_bank/maps/empty_32_32.map,/root/shared-nvme/g567_gate3b_bounded_2d334c79_tmux_r13_pool20000/replay_scenarios/empty_32_32-random-4567018796.scen,16,16,4567018796,30000,30000,30000,30.0,g568_ltm_paper_style_30s_existing_gate3b_row,12,budget30000_ltm12,budget30000_ltm12,budget30000_ltm12|rep00,ltm_30s,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_style_additive_ltm,,,,force_additive=1|enable_dual_channel=0,0,9d8d405bf232967719d486325b0b5b2d787b538cd44f71ecff4495a0329d0c50,6,,3,1,1,1,,30.0,60.0,,,False,False,False,False,False,ltm_30s,ltm_30s,30.0,True,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g568_ltm30_labeltrain1000_existingrow_00000007,g568_ltm30_labeltrain1000_existingrow,g567_gate3b_calibration_00172,g567_gate3b_calibration_00172,96703a13ac6e67175136b58eee7705daa58687e23614b51d0d0fd1ebd5de41df,b74e4c3ef4e4e8883ec2275125b5314405a164296ac7da35a4b61b36bec3d9c4,ba0c46f3f7bba97e1d8b25f6c2fe7181ee64e676bdd91dc9c83c81b10b07c08c,b720d5db2d645fb8fd38d634bc9d3400077b4cbbe47ef20c9e1315cbef3ccb00,5b11a28f65d09a0ba260b77cb698bb22c73cfe1e1f5e159997de6108cd31bf68,8d0eab24b7c23a8bb1344189a84c46ab398df8ce96e640b056772269ce4ff795,CALIBRATION,empty_32_32,empty,/root/shared-nvme/g567_gate3b_bounded_2d334c79_tmux_r13_pool20000/scenario_bank/maps/empty_32_32.map,/root/shared-nvme/g567_gate3b_bounded_2d334c79_tmux_r13_pool20000/replay_scenarios/empty_32_32-random-4567018796.scen,16,16,4567018796,30000,30000,30000,30.0,g568_ltm_paper_style_30s_existing_gate3b_row,12,budget30000_ltm12,budget30000_ltm12,budget30000_ltm12|rep00,static_flow_30s,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,9e9d3255e76a04037c3c5b2731425f7a307ca27504a0824c93250f201bac1521,historical_static_flow_shield,,,,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.95|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.0|alpha_flow_wait_progress=1.0|rho_cong_decay=0.95|rho_flow_decay=1.0|lambda_cong=1.0|lambda_flow=1.0|min_edge_cost=1.0|max_edge_cost=11.0|goal_projection_mode=flow_shield|flow_shield_beta=0.35|max_flow_shield=0.75,0,84aa2f8fe488280ad684509d7db4ba180b9f16e3a0902c983aeff78bf3ce2ec5,7,,3,1,1,1,,30.0,60.0,,,False,False,False,False,False,static_flow_30s,static_flow_30s,30.0,True,True,0.0,1.25,1.25,1.25,0.75,0.75,1.0,1.0,0.95,1.0,1.0,1.0,0.35,0.75,1.0,11.0,1,0,0,,,,,,,,,,,,,,,,,,,,
g568_ltm30_labeltrain1000_existingrow_00000008,g568_ltm30_labeltrain1000_existingrow,g567_gate3b_calibration_00173,g567_gate3b_calibration_00173,e31d2edbed21bcc39e2ee8e79e542026f25f8507f38fbb8884cbb997271f487c,420cf897b27c80702f10247a5f882cfc020e6141c3afa7124ab670d8b3b3fcd3,d6ddfb8e744c9aa3b479d66fbc72ce9c2ef8ed94429aaf7fda91c22030204c9e,6f9e4bbd2167ce7563500d1a1f23065c89b079e56115062c370f54266d2f1d50,5b11a28f65d09a0ba260b77cb698bb22c73cfe1e1f5e159997de6108cd31bf68,56603751b04b78da24c8b5549228043dd5ab3f185c6caf768c20ee892be1da97,CALIBRATION,empty_32_32,empty,/root/shared-nvme/g567_gate3b_bounded_2d334c79_tmux_r13_pool20000/scenario_bank/maps/empty_32_32.map,/root/shared-nvme/g567_gate3b_bounded_2d334c79_tmux_r13_pool20000/replay_scenarios/empty_32_32-random-4567004632.scen,16,16,4567004632,30000,30000,30000,30.0,g568_ltm_paper_style_30s_existing_gate3b_row,12,budget30000_ltm12,budget30000_ltm12,budget30000_ltm12|rep00,ltm_30s,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,,paper_style_additive_ltm,,,,force_additive=1|enable_dual_channel=0,0,3da07695aadf3144d6148748642e9c2b4fde4b1b79869d0706ea01dfe6e96148,8,,3,1,1,1,,30.0,60.0,,,False,False,False,False,False,ltm_30s,ltm_30s,30.0,True,True,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g568_ltm30_labeltrain1000_existingrow_00000009,g568_ltm30_labeltrain1000_existingrow,g567_gate3b_calibration_00173,g567_gate3b_calibration_00173,e31d2edbed21bcc39e2ee8e79e542026f25f8507f38fbb8884cbb997271f487c,420cf897b27c80702f10247a5f882cfc020e6141c3afa7124ab670d8b3b3fcd3,102f70d5ec0293124d2612e6374ccc13c9e3aa6081030e51f5d821be62467bce,6f9e4bbd2167ce7563500d1a1f23065c89b079e56115062c370f54266d2f1d50,5b11a28f65d09a0ba260b77cb698bb22c73cfe1e1f5e159997de6108cd31bf68,56603751b04b78da24c8b5549228043dd5ab3f185c6caf768c20ee892be1da97,CALIBRATION,empty_32_32,empty,/root/shared-nvme/g567_gate3b_bounded_2d334c79_tmux_r13_pool20000/scenario_bank/maps/empty_32_32.map,/root/shared-nvme/g567_gate3b_bounded_2d334c79_tmux_r13_pool20000/replay_scenarios/empty_32_32-random-4567004632.scen,16,16,4567004632,30000,30000,30000,30.0,g568_ltm_paper_style_30s_existing_gate3b_row,12,budget30000_ltm12,budget30000_ltm12,budget30000_ltm12|rep00,static_flow_30s,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,88af42f8cb614528b95075f59db69e28caf1b0a50a4d5aaa09a66dd959b10080,historical_static_flow_shield,,,,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.95|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.0|alpha_flow_wait_progress=1.0|rho_cong_decay=0.95|rho_flow_decay=1.0|lambda_cong=1.0|lambda_flow=1.0|min_edge_cost=1.0|max_edge_cost=11.0|goal_projection_mode=flow_shield|flow_shield_beta=0.35|max_flow_shield=0.75,0,26902ec77f0df258cfcea4d452c87d4bf6916d028c77c2d11df353208fa44c89,9,,3,1,1,1,,30.0,60.0,,,False,False,False,False,False,static_flow_30s,static_flow_30s,30.0,True,True,0.0,1.25,1.25,1.25,0.75,0.75,1.0,1.0,0.95,1.0,1.0,1.0,0.35,0.75,1.0,11.0,1,0,0,,,,,,,,,,,,,,,,,,,,
