group_type,group_value,threshold,sample_count,near_tie_count,near_tie_rate,neutral_count,mean_best_minus_second_margin,median_best_minus_second_margin,mean_best_minus_neutral_threshold
all,all,0.001,2985,605,0.20268006700167504,1001,0.02002403120939184,0.00574486503502,0.0690583940667242
all,all,0.0025,2985,966,0.3236180904522613,1001,0.02002403120939184,0.00574486503502,0.0690583940667242
all,all,0.005,2985,1407,0.471356783919598,1001,0.02002403120939184,0.00574486503502,0.0690583940667242
all,all,0.01,2985,1964,0.6579564489112227,1001,0.02002403120939184,0.00574486503502,0.0690583940667242
all,all,0.02,2985,2430,0.8140703517587939,1001,0.02002403120939184,0.00574486503502,0.0690583940667242
all,all,0.05,2985,2803,0.9390284757118929,1001,0.02002403120939184,0.00574486503502,0.0690583940667242
map,empty-16-16,0.001,180,12,0.06666666666666667,32,0.03643458819792116,0.017875157628899997,0.13696741307452567
map,empty-16-16,0.0025,180,19,0.10555555555555556,32,0.03643458819792116,0.017875157628899997,0.13696741307452567
map,empty-16-16,0.005,180,31,0.17222222222222222,32,0.03643458819792116,0.017875157628899997,0.13696741307452567
map,empty-16-16,0.01,180,65,0.3611111111111111,32,0.03643458819792116,0.017875157628899997,0.13696741307452567
map,empty-16-16,0.02,180,95,0.5277777777777778,32,0.03643458819792116,0.017875157628899997,0.13696741307452567
map,empty-16-16,0.05,180,139,0.7722222222222223,32,0.03643458819792116,0.017875157628899997,0.13696741307452567
map,empty-32-32,0.001,240,35,0.14583333333333334,69,0.0096890128406642,0.006829399890065,0.01920359412864894
map,empty-32-32,0.0025,240,65,0.2708333333333333,69,0.0096890128406642,0.006829399890065,0.01920359412864894
map,empty-32-32,0.005,240,99,0.4125,69,0.0096890128406642,0.006829399890065,0.01920359412864894
map,empty-32-32,0.01,240,157,0.6541666666666667,69,0.0096890128406642,0.006829399890065,0.01920359412864894
map,empty-32-32,0.02,240,213,0.8875,69,0.0096890128406642,0.006829399890065,0.01920359412864894
map,empty-32-32,0.05,240,237,0.9875,69,0.0096890128406642,0.006829399890065,0.01920359412864894
map,empty-48-48,0.001,240,60,0.25,110,0.0056256857175108555,0.0031008041434599995,0.00858017732696007
map,empty-48-48,0.0025,240,106,0.44166666666666665,110,0.0056256857175108555,0.0031008041434599995,0.00858017732696007
map,empty-48-48,0.005,240,152,0.6333333333333333,110,0.0056256857175108555,0.0031008041434599995,0.00858017732696007
map,empty-48-48,0.01,240,204,0.85,110,0.0056256857175108555,0.0031008041434599995,0.00858017732696007
map,empty-48-48,0.02,240,228,0.95,110,0.0056256857175108555,0.0031008041434599995,0.00858017732696007
map,empty-48-48,0.05,240,240,1.0,110,0.0056256857175108555,0.0031008041434599995,0.00858017732696007
map,maze-32-32-2,0.001,210,36,0.17142857142857143,55,0.023355267631518194,0.00807908738479,0.1308885066008333
map,maze-32-32-2,0.0025,210,61,0.2904761904761905,55,0.023355267631518194,0.00807908738479,0.1308885066008333
map,maze-32-32-2,0.005,210,79,0.3761904761904762,55,0.023355267631518194,0.00807908738479,0.1308885066008333
map,maze-32-32-2,0.01,210,117,0.5571428571428572,55,0.023355267631518194,0.00807908738479,0.1308885066008333
map,maze-32-32-2,0.02,210,160,0.7619047619047619,55,0.023355267631518194,0.00807908738479,0.1308885066008333
map,maze-32-32-2,0.05,210,191,0.9095238095238095,55,0.023355267631518194,0.00807908738479,0.1308885066008333
map,maze-32-32-4,0.001,219,39,0.1780821917808219,56,0.04404275419740186,0.007715688566800001,0.15634128232860015
map,maze-32-32-4,0.0025,219,62,0.2831050228310502,56,0.04404275419740186,0.007715688566800001,0.15634128232860015
map,maze-32-32-4,0.005,219,93,0.4246575342465753,56,0.04404275419740186,0.007715688566800001,0.15634128232860015
map,maze-32-32-4,0.01,219,120,0.547945205479452,56,0.04404275419740186,0.007715688566800001,0.15634128232860015
map,maze-32-32-4,0.02,219,150,0.684931506849315,56,0.04404275419740186,0.007715688566800001,0.15634128232860015
map,maze-32-32-4,0.05,219,190,0.867579908675799,56,0.04404275419740186,0.007715688566800001,0.15634128232860015
map,random-32-32-10,0.001,240,29,0.12083333333333333,64,0.017587332669443463,0.00771907173927,0.038110552281452485
