split,map_name,sample_count,opportunity_count,high_margin_opportunity_count,decision_distribution,target_rule_distribution,defer_reason_distribution
train,empty-16-16,180,148,141,"{""defer_ltm"": 32, ""use_nonadditive"": 148}","{""None"": 7, ""block_heavy"": 35, ""block_light"": 18, ""commit_heavy"": 49, ""decay_090"": 12, ""decay_095"": 19, ""wait_heavy"": 5, ""wait_light"": 35}","{""None"": 148, ""additive_is_best_safe"": 10, ""all_nonadditive_unsafe"": 7, ""ambiguous_low_margin"": 15}"
train,empty-32-32,240,171,110,"{""defer_ltm"": 69, ""use_nonadditive"": 171}","{""block_heavy"": 55, ""block_light"": 23, ""commit_heavy"": 46, ""decay_090"": 17, ""decay_095"": 25, ""wait_heavy"": 19, ""wait_light"": 55}","{""None"": 171, ""additive_is_best_safe"": 15, ""ambiguous_low_margin"": 54}"
train,maze-32-32-2,210,155,118,"{""defer_ltm"": 55, ""use_nonadditive"": 155}","{""None"": 4, ""block_heavy"": 31, ""block_light"": 36, ""commit_heavy"": 45, ""decay_090"": 14, ""decay_095"": 25, ""wait_heavy"": 9, ""wait_light"": 46}","{""None"": 155, ""additive_is_best_safe"": 15, ""all_nonadditive_unsafe"": 4, ""ambiguous_low_margin"": 36}"
train,random-32-32-10,240,176,132,"{""defer_ltm"": 64, ""use_nonadditive"": 176}","{""None"": 4, ""block_heavy"": 61, ""block_light"": 30, ""commit_heavy"": 28, ""decay_090"": 21, ""decay_095"": 24, ""wait_heavy"": 23, ""wait_light"": 49}","{""None"": 176, ""additive_is_best_safe"": 18, ""all_nonadditive_unsafe"": 4, ""ambiguous_low_margin"": 42}"
train,random-32-32-20,240,184,159,"{""defer_ltm"": 56, ""use_nonadditive"": 184}","{""None"": 5, ""block_heavy"": 41, ""block_light"": 23, ""commit_heavy"": 42, ""decay_090"": 27, ""decay_095"": 29, ""wait_heavy"": 20, ""wait_light"": 53}","{""None"": 184, ""additive_is_best_safe"": 22, ""all_nonadditive_unsafe"": 5, ""ambiguous_low_margin"": 29}"
train,random-64-64-10,240,121,58,"{""defer_ltm"": 119, ""use_nonadditive"": 121}","{""None"": 1, ""block_heavy"": 63, ""block_light"": 20, ""commit_heavy"": 70, ""decay_090"": 3, ""decay_095"": 24, ""wait_heavy"": 41, ""wait_light"": 18}","{""None"": 121, ""additive_is_best_safe"": 7, ""all_nonadditive_unsafe"": 1, ""ambiguous_low_margin"": 111}"
train,random-64-64-20,240,141,69,"{""defer_ltm"": 99, ""use_nonadditive"": 141}","{""block_heavy"": 72, ""block_light"": 17, ""commit_heavy"": 34, ""decay_090"": 20, ""decay_095"": 15, ""wait_heavy"": 46, ""wait_light"": 36}","{""None"": 141, ""additive_is_best_safe"": 6, ""ambiguous_low_margin"": 93}"
train,room-32-32-4,231,196,173,"{""defer_ltm"": 35, ""use_nonadditive"": 196}","{""None"": 7, ""block_heavy"": 40, ""block_light"": 30, ""commit_heavy"": 59, ""decay_090"": 15, ""decay_095"": 23, ""wait_heavy"": 16, ""wait_light"": 41}","{""None"": 196, ""additive_is_best_safe"": 5, ""all_nonadditive_unsafe"": 7, ""ambiguous_low_margin"": 23}"
train,room-64-64-8,240,140,93,"{""defer_ltm"": 100, ""use_nonadditive"": 140}","{""None"": 2, ""block_heavy"": 45, ""block_light"": 39, ""commit_heavy"": 21, ""decay_090"": 14, ""decay_095"": 32, ""wait_heavy"": 30, ""wait_light"": 57}","{""None"": 140, ""additive_is_best_safe"": 24, ""all_nonadditive_unsafe"": 2, ""ambiguous_low_margin"": 74}"
train,warehouse-10-20-10-2-1,240,169,133,"{""defer_ltm"": 71, ""use_nonadditive"": 169}","{""None"": 3, ""block_heavy"": 35, ""block_light"": 33, ""commit_heavy"": 58, ""decay_090"": 19, ""decay_095"": 29, ""wait_heavy"": 24, ""wait_light"": 39}","{""None"": 169, ""additive_is_best_safe"": 19, ""all_nonadditive_unsafe"": 3, ""ambiguous_low_margin"": 49}"
train,warehouse-20-40-10-2-1,225,91,41,"{""defer_ltm"": 134, ""use_nonadditive"": 91}","{""None"": 61, ""block_heavy"": 41, ""block_light"": 12, ""commit_heavy"": 39, ""decay_090"": 11, ""decay_095"": 22, ""wait_heavy"": 26, ""wait_light"": 13}","{""None"": 91, ""additive_is_best_safe"": 4, ""all_nonadditive_unsafe"": 61, ""ambiguous_low_margin"": 69}"
validation,empty-48-48,240,130,48,"{""defer_ltm"": 110, ""use_nonadditive"": 130}","{""block_heavy"": 69, ""block_light"": 18, ""commit_heavy"": 56, ""decay_090"": 9, ""decay_095"": 19, ""wait_heavy"": 39, ""wait_light"": 30}","{""None"": 130, ""additive_is_best_safe"": 5, ""ambiguous_low_margin"": 105}"
validation,maze-32-32-4,219,163,137,"{""defer_ltm"": 56, ""use_nonadditive"": 163}","{""None"": 16, ""block_heavy"": 35, ""block_light"": 20, ""commit_heavy"": 45, ""decay_090"": 10, ""decay_095"": 22, ""wait_heavy"": 25, ""wait_light"": 46}","{""None"": 163, ""additive_is_best_safe"": 8, ""all_nonadditive_unsafe"": 16, ""ambiguous_low_margin"": 32}"
