comparator,target_rule,map_name,agents,opportunity_bucket,decision_target,sample_count,use_nonadditive_target_count,matched_oracle_count,rule_top1,rule_top3,safe_utility_top1,safe_utility_top3,utility_regret_to_oracle,selected_delta,additive_delta,selected_vs_additive_delta,selected_vs_additive_utility,high_margin_nonadditive_capture,avoidable_additive_or_defer,harmful_false_negative_selected_count,harmful_false_negative_selected_rate,harmful_false_positive_proxy_count,harmful_false_positive_proxy_rate,decision_accuracy
always_additive,,empty-48-48,50,,,100,49,100,0.0,0.0,0.15,0.15,0.013999228803781077,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.49
always_additive,,empty-48-48,100,,,100,57,100,0.0,0.0,0.06,0.06,0.015465026792617902,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.57
always_additive,,empty-48-48,200,,,100,47,100,0.0,0.0,0.08,0.08,0.011253414321882206,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.47
always_additive,,empty-48-48,400,,,100,59,100,0.0,0.0,0.08,0.08,0.014105284802206013,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.59
always_additive,,maze-32-32-4,50,,,100,76,100,0.0,0.0,0.06,0.06,0.02248078471742371,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.76
always_additive,,maze-32-32-4,100,,,100,70,100,0.0,0.0,0.14,0.14,0.026817112153699793,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.7
always_additive,,maze-32-32-4,200,,,100,82,100,0.0,0.0,0.12,0.12,0.07591865724601898,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.82
always_additive,,maze-32-32-4,400,,,62,43,62,0.0,0.0,0.2903225806451613,0.2903225806451613,0.08620709871239578,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.6935483870967742
always_defer_ltm,,empty-48-48,50,,,100,49,100,0.0,0.0,0.15,0.15,0.013999228803781077,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.51
always_defer_ltm,,empty-48-48,100,,,100,57,100,0.0,0.0,0.06,0.06,0.015465026792617902,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.43
always_defer_ltm,,empty-48-48,200,,,100,47,100,0.0,0.0,0.08,0.08,0.011253414321882206,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.53
always_defer_ltm,,empty-48-48,400,,,100,59,100,0.0,0.0,0.08,0.08,0.014105284802206013,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.41
always_defer_ltm,,maze-32-32-4,50,,,100,76,100,0.0,0.0,0.06,0.06,0.02248078471742371,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.24
always_defer_ltm,,maze-32-32-4,100,,,100,70,100,0.0,0.0,0.14,0.14,0.026817112153699793,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.3
always_defer_ltm,,maze-32-32-4,200,,,100,82,100,0.0,0.0,0.12,0.12,0.07591865724601898,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.18
always_defer_ltm,,maze-32-32-4,400,,,62,43,62,0.0,0.0,0.2903225806451613,0.2903225806451613,0.08620709871239578,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.3064516129032258
oracle_best_safe_nonadditive_rule,,empty-48-48,50,,,100,49,100,1.0,1.0,0.85,0.85,7.4183976261099996e-06,0.013991810406154968,0.0,0.013991810406154968,0.013991810406154968,1.0,0.0,0,0.0,0,0.0,0.49
oracle_best_safe_nonadditive_rule,,empty-48-48,100,,,100,57,100,1.0,1.0,0.94,0.94,2.21729490022e-05,0.015442853843615703,0.0,0.015442853843615703,0.015442853843615703,1.0,0.0,0,0.0,0,0.0,0.57
oracle_best_safe_nonadditive_rule,,empty-48-48,200,,,100,47,100,1.0,1.0,0.92,0.92,9.404487168339999e-05,0.011159369450198806,0.0,0.011159369450198806,0.011159369450198806,1.0,0.0,0,0.0,0,0.0,0.47
oracle_best_safe_nonadditive_rule,,empty-48-48,400,,,100,59,100,1.0,1.0,0.92,0.92,0.00012596518269724,0.013979319619508773,0.0,0.013979319619508773,0.013979319619508773,1.0,0.0,0,0.0,0,0.0,0.59
oracle_best_safe_nonadditive_rule,,maze-32-32-4,50,,,100,76,100,1.0,1.0,0.94,0.94,5.93305958151e-05,0.022471596032678606,0.0,0.022471596032678606,0.02242145412160861,1.0,0.0,0,0.0,0,0.0,0.76
oracle_best_safe_nonadditive_rule,,maze-32-32-4,100,,,100,70,100,1.0,1.0,0.87,0.87,0.00040733532130794,0.04281029121163185,0.0,0.04281029121163185,0.026409776832391846,1.0,0.0,0,0.0,0,0.0,0.71
oracle_best_safe_nonadditive_rule,,maze-32-32-4,200,,,100,82,100,1.0,1.0,0.94,0.94,0.00012433845401430002,0.1833147258468147,0.0,0.1833147258468147,0.07579431879200467,1.0,0.0,0,0.0,0,0.0,0.88
oracle_best_safe_nonadditive_rule,,maze-32-32-4,400,,,62,43,62,1.0,1.0,0.967741935483871,0.967741935483871,0.0003106531002032258,0.42999896530124093,0.0,0.42999896530124093,0.08589644561219253,1.0,0.0,0,0.0,0,0.0,0.9516129032258065
oracle_best_safe_rule,,empty-48-48,50,,,100,49,100,1.0,1.0,1.0,1.0,0.0,0.013999228803781077,0.0,0.013999228803781077,0.013999228803781077,1.0,0.0,0,0.0,0,0.0,0.64
oracle_best_safe_rule,,empty-48-48,100,,,100,57,100,1.0,1.0,1.0,1.0,0.0,0.015465026792617902,0.0,0.015465026792617902,0.015465026792617902,1.0,0.0,0,0.0,0,0.0,0.63
oracle_best_safe_rule,,empty-48-48,200,,,100,47,100,1.0,1.0,1.0,1.0,0.0,0.011253414321882206,0.0,0.011253414321882206,0.011253414321882206,1.0,0.0,0,0.0,0,0.0,0.55
oracle_best_safe_rule,,empty-48-48,400,,,100,59,100,1.0,1.0,1.0,1.0,0.0,0.014105284802206013,0.0,0.014105284802206013,0.014105284802206013,1.0,0.0,0,0.0,0,0.0,0.67
oracle_best_safe_rule,,maze-32-32-4,50,,,100,76,100,1.0,1.0,1.0,1.0,0.0,0.022530926628493705,0.0,0.022530926628493705,0.02248078471742371,1.0,0.0,0,0.0,0,0.0,0.82
oracle_best_safe_rule,,maze-32-32-4,100,,,100,70,100,1.0,1.0,1.0,1.0,0.0,0.043217626532939785,0.0,0.043217626532939785,0.026817112153699793,1.0,0.0,0,0.0,0,0.0,0.84
oracle_best_safe_rule,,maze-32-32-4,200,,,100,82,100,1.0,1.0,1.0,1.0,0.0,0.18343906430082904,0.0,0.18343906430082904,0.07591865724601898,1.0,0.0,0,0.0,0,0.0,0.94
oracle_best_safe_rule,,maze-32-32-4,400,,,62,43,62,1.0,1.0,1.0,0.7903225806451613,0.0,0.43030961840144416,0.0,0.43030961840144416,0.08620709871239578,1.0,0.0,0,0.0,0,0.0,0.9838709677419355
oracle_defer_when_no_safe_opportunity,,empty-48-48,50,,,100,49,100,1.0,1.0,0.64,0.85,0.0018453557170600798,0.012153873086721,0.0,0.012153873086721,0.012153873086721,1.0,0.0,0,0.0,0,0.0,1.0
oracle_defer_when_no_safe_opportunity,,empty-48-48,100,,,100,57,100,1.0,1.0,0.63,0.94,0.002121905789433901,0.013343121003184001,0.0,0.013343121003184001,0.013343121003184001,1.0,0.0,0,0.0,0,0.0,1.0
oracle_defer_when_no_safe_opportunity,,empty-48-48,200,,,100,47,100,1.0,1.0,0.55,0.92,0.00273342965390121,0.008519984667981002,0.0,0.008519984667981002,0.008519984667981002,1.0,0.0,0,0.0,0,0.0,1.0
oracle_defer_when_no_safe_opportunity,,empty-48-48,400,,,100,59,100,1.0,1.0,0.67,0.92,0.0018648021617530103,0.012240482640453005,0.0,0.012240482640453005,0.012240482640453005,1.0,0.0,0,0.0,0,0.0,1.0
oracle_defer_when_no_safe_opportunity,,maze-32-32-4,50,,,100,76,100,1.0,1.0,0.82,0.94,0.0008784822404627101,0.021652444388030996,0.0,0.021652444388030996,0.021602302476961,1.0,0.0,0,0.0,0,0.0,1.0
oracle_defer_when_no_safe_opportunity,,maze-32-32-4,100,,,100,70,100,1.0,1.0,0.84,0.87,0.0008413561789337799,0.04237627035400601,0.0,0.04237627035400601,0.025975755974766007,1.0,0.0,0,0.0,0,0.0,1.0
oracle_defer_when_no_safe_opportunity,,maze-32-32-4,200,,,100,82,100,1.0,1.0,0.94,0.94,0.000287692696883,0.18315137160394598,0.0,0.18315137160394598,0.07563096454913598,1.0,0.0,0,0.0,0,0.0,1.0
oracle_defer_when_no_safe_opportunity,,maze-32-32-4,400,,,62,43,62,1.0,1.0,0.9838709677419355,0.967741935483871,9.973430780387096e-07,0.4303086210583661,0.0,0.4303086210583661,0.08620610136931772,1.0,0.0,0,0.0,0,0.0,1.0
phase4f_repair3_stable_tie001_no_additive_pref,,empty-48-48,50,,,60,0,0,0.0,0.0,,,,0.006670858293435832,0.0,0.006670858293435832,0.0,0.0,0.0,10,0.16666666666666666,0,0.0,0.0
phase4f_repair3_stable_tie001_no_additive_pref,,empty-48-48,100,,,60,0,0,0.0,0.0,,,,0.009431608764536683,0.0,0.009431608764536683,0.0,0.0,0.0,15,0.25,0,0.0,0.0
phase4f_repair3_stable_tie001_no_additive_pref,,empty-48-48,200,,,60,0,0,0.0,0.0,,,,0.004734372273697649,0.0,0.004734372273697649,0.0,0.0,0.0,11,0.18333333333333332,0,0.0,0.0
phase4f_repair3_stable_tie001_no_additive_pref,,empty-48-48,400,,,60,0,0,0.0,0.0,,,,0.007572404073700801,0.0,0.007572404073700801,0.0,0.0,0.0,18,0.3,0,0.0,0.0
