comparator,target_rule,map_name,agents,opportunity_bucket,decision_target,sample_count,use_nonadditive_target_count,matched_oracle_count,rule_top1,rule_top3,safe_utility_top1,safe_utility_top3,utility_regret_to_oracle,selected_delta,additive_delta,selected_vs_additive_delta,selected_vs_additive_utility,high_margin_nonadditive_capture,avoidable_additive_or_defer,harmful_false_negative_selected_count,harmful_false_negative_selected_rate,harmful_false_positive_proxy_count,harmful_false_positive_proxy_rate,decision_accuracy
always_additive,None,,,,,23,0,23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
always_additive,block_heavy,,,,,171,114,171,0.0,0.0,0.10526315789473684,0.10526315789473684,0.02934210162613092,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.6666666666666666
always_additive,block_light,,,,,65,38,65,0.0,0.0,0.06153846153846154,0.06153846153846154,0.03935231624184508,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.5846153846153846
always_additive,commit_heavy,,,,,167,129,167,0.0,0.0,0.041916167664670656,0.041916167664670656,0.0461791012039919,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.7724550898203593
always_additive,decay_090,,,,,45,28,45,0.0,0.0,0.022222222222222223,0.022222222222222223,0.027666641287042666,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.6222222222222222
always_additive,decay_095,,,,,69,31,69,0.0,0.0,0.3188405797101449,0.3188405797101449,0.01660557285338652,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.4492753623188406
always_additive,wait_heavy,,,,,104,65,104,0.0,0.0,0.038461538461538464,0.038461538461538464,0.024787410327923746,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.625
always_additive,wait_light,,,,,118,78,118,0.0,0.0,0.06779661016949153,0.06779661016949153,0.02621022974721933,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.6610169491525424
always_defer_ltm,None,,,,,23,0,23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1.0
always_defer_ltm,block_heavy,,,,,171,114,171,0.0,0.0,0.10526315789473684,0.10526315789473684,0.02934210162613092,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.3333333333333333
always_defer_ltm,block_light,,,,,65,38,65,0.0,0.0,0.06153846153846154,0.06153846153846154,0.03935231624184508,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.4153846153846154
always_defer_ltm,commit_heavy,,,,,167,129,167,0.0,0.0,0.041916167664670656,0.041916167664670656,0.0461791012039919,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.2275449101796407
always_defer_ltm,decay_090,,,,,45,28,45,0.0,0.0,0.022222222222222223,0.022222222222222223,0.027666641287042666,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.37777777777777777
always_defer_ltm,decay_095,,,,,69,31,69,0.0,0.0,0.3188405797101449,0.3188405797101449,0.01660557285338652,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.5507246376811594
always_defer_ltm,wait_heavy,,,,,104,65,104,0.0,0.0,0.038461538461538464,0.038461538461538464,0.024787410327923746,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.375
always_defer_ltm,wait_light,,,,,118,78,118,0.0,0.0,0.06779661016949153,0.06779661016949153,0.02621022974721933,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0.3389830508474576
oracle_best_safe_nonadditive_rule,None,,,,,23,0,23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1.0
oracle_best_safe_nonadditive_rule,block_heavy,,,,,171,114,171,1.0,1.0,0.8947368421052632,0.8947368421052632,0.0002706640456987836,0.06992136716254324,0.0,0.06992136716254324,0.02907143758043214,1.0,0.0,0,0.0,0,0.0,0.6666666666666666
oracle_best_safe_nonadditive_rule,block_light,,,,,65,38,65,1.0,1.0,0.9384615384615385,0.9384615384615385,2.7196059085861538e-05,0.13455033617511306,0.0,0.13455033617511306,0.03932512018275922,1.0,0.0,0,0.0,0,0.0,0.5846153846153846
oracle_best_safe_nonadditive_rule,commit_heavy,,,,,167,129,167,1.0,1.0,0.9580838323353293,0.9580838323353293,0.00013159205963451497,0.15072414774262685,0.0,0.15072414774262685,0.04604750914435738,1.0,0.0,0,0.0,0,0.0,0.7724550898203593
oracle_best_safe_nonadditive_rule,decay_090,,,,,45,28,45,1.0,1.0,0.9777777777777777,0.9777777777777777,4.927322000488889e-05,0.050424527452615546,0.0,0.050424527452615546,0.027617368067037778,1.0,0.0,0,0.0,0,0.0,0.6222222222222222
oracle_best_safe_nonadditive_rule,decay_095,,,,,69,31,69,1.0,1.0,0.6811594202898551,0.6811594202898551,5.6703523957246374e-05,0.017260438043777103,0.0,0.017260438043777103,0.016548869329429273,1.0,0.0,0,0.0,0,0.0,0.4492753623188406
oracle_best_safe_nonadditive_rule,wait_heavy,,,,,104,65,104,1.0,1.0,0.9615384615384616,0.9615384615384616,0.00015724883459326922,0.03554407988592662,0.0,0.03554407988592662,0.02463016149333047,1.0,0.0,0,0.0,0,0.0,0.625
oracle_best_safe_nonadditive_rule,wait_light,,,,,118,78,118,1.0,1.0,0.9322033898305084,0.9322033898305084,9.16117200188305e-05,0.03344928738997168,0.0,0.03344928738997168,0.0261186180272005,1.0,0.0,0,0.0,0,0.0,0.6610169491525424
oracle_best_safe_rule,None,,,,,23,0,23,0.0,0.0,1.0,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1.0
oracle_best_safe_rule,block_heavy,,,,,171,114,171,1.0,1.0,1.0,1.0,0.0,0.07019203120824202,0.0,0.07019203120824202,0.02934210162613092,1.0,0.0,0,0.0,0,0.0,0.7719298245614035
oracle_best_safe_rule,block_light,,,,,65,38,65,1.0,1.0,1.0,1.0,0.0,0.13457753223419894,0.0,0.13457753223419894,0.03935231624184508,1.0,0.0,0,0.0,0,0.0,0.6461538461538462
oracle_best_safe_rule,commit_heavy,,,,,167,129,167,1.0,1.0,1.0,1.0,0.0,0.15085573980226138,0.0,0.15085573980226138,0.0461791012039919,1.0,0.0,0,0.0,0,0.0,0.8143712574850299
oracle_best_safe_rule,decay_090,,,,,45,28,45,1.0,1.0,1.0,1.0,0.0,0.050473800672620424,0.0,0.050473800672620424,0.027666641287042666,1.0,0.0,0,0.0,0,0.0,0.6444444444444445
oracle_best_safe_rule,decay_095,,,,,69,31,69,1.0,1.0,1.0,1.0,0.0,0.017317141567734347,0.0,0.017317141567734347,0.01660557285338652,1.0,0.0,0,0.0,0,0.0,0.7681159420289855
oracle_best_safe_rule,wait_heavy,,,,,104,65,104,1.0,1.0,1.0,1.0,0.0,0.03570132872051989,0.0,0.03570132872051989,0.024787410327923746,1.0,0.0,0,0.0,0,0.0,0.6634615384615384
oracle_best_safe_rule,wait_light,,,,,118,78,118,1.0,1.0,1.0,1.0,0.0,0.033540899109990516,0.0,0.033540899109990516,0.02621022974721933,1.0,0.0,0,0.0,0,0.0,0.7288135593220338
oracle_defer_when_no_safe_opportunity,None,,,,,23,0,23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1.0
oracle_defer_when_no_safe_opportunity,block_heavy,,,,,171,114,171,1.0,1.0,0.7719298245614035,0.8947368421052632,0.0011501433863741952,0.06904188782186783,0.0,0.06904188782186783,0.02819195823975673,1.0,0.0,0,0.0,0,0.0,1.0
oracle_defer_when_no_safe_opportunity,block_light,,,,,65,38,65,1.0,1.0,0.6461538461538462,0.9384615384615385,0.002070171809500462,0.1325073604246985,0.0,0.1325073604246985,0.037282144432344615,1.0,0.0,0,0.0,0,0.0,1.0
oracle_defer_when_no_safe_opportunity,commit_heavy,,,,,167,129,167,1.0,1.0,0.8143712574850299,0.9580838323353293,0.001106568677381743,0.14974917112487962,0.0,0.14974917112487962,0.045072532526610164,1.0,0.0,0,0.0,0,0.0,1.0
oracle_defer_when_no_safe_opportunity,decay_090,,,,,45,28,45,1.0,1.0,0.6444444444444445,0.9777777777777777,0.0020925405063048886,0.04838126016631554,0.0,0.04838126016631554,0.02557410078073778,1.0,0.0,0,0.0,0,0.0,1.0
oracle_defer_when_no_safe_opportunity,decay_095,,,,,69,31,69,1.0,1.0,0.7681159420289855,0.6811594202898551,0.0013334001175430434,0.015983741450191304,0.0,0.015983741450191304,0.015272172735843479,1.0,0.0,0,0.0,0,0.0,1.0
oracle_defer_when_no_safe_opportunity,wait_heavy,,,,,104,65,104,1.0,1.0,0.6634615384615384,0.9615384615384616,0.0016211862731689332,0.03408014244735096,0.0,0.03408014244735096,0.02316622405475481,1.0,0.0,0,0.0,0,0.0,1.0
oracle_defer_when_no_safe_opportunity,wait_light,,,,,118,78,118,1.0,1.0,0.7288135593220338,0.9322033898305084,0.0015810111864371186,0.03195988792355339,0.0,0.03195988792355339,0.02462921856078221,1.0,0.0,0,0.0,0,0.0,1.0
phase4f_repair3_stable_tie001_no_additive_pref,additive_ltm,,,,,66,0,0,0.0,0.0,,,,0.0003560974606098485,0.0,0.0003560974606098485,0.0,0.0,0.0,21,0.3181818181818182,0,0.0,0.0
phase4f_repair3_stable_tie001_no_additive_pref,block_heavy,,,,,86,0,0,0.0,0.0,,,,0.02142610857594141,0.0,0.02142610857594141,0.0,0.0,0.0,34,0.3953488372093023,0,0.0,0.0
phase4f_repair3_stable_tie001_no_additive_pref,block_light,,,,,12,0,0,0.0,0.0,,,,-0.05872598833216667,0.0,-0.05872598833216667,0.0,0.0,0.0,8,0.6666666666666666,0,0.0,0.0
phase4f_repair3_stable_tie001_no_additive_pref,commit_heavy,,,,,109,0,0,0.0,0.0,,,,0.07240744124097119,0.0,0.07240744124097119,0.0,0.0,0.0,23,0.21100917431192662,0,0.0,0.0
phase4f_repair3_stable_tie001_no_additive_pref,decay_090,,,,,7,0,0,0.0,0.0,,,,-0.21678456147782474,0.0,-0.21678456147782474,0.0,0.0,0.0,6,0.8571428571428571,0,0.0,0.0
phase4f_repair3_stable_tie001_no_additive_pref,decay_095,,,,,13,0,0,0.0,0.0,,,,-0.015195745373030771,0.0,-0.015195745373030771,0.0,0.0,0.0,6,0.46153846153846156,0,0.0,0.0
phase4f_repair3_stable_tie001_no_additive_pref,neutral_additive,,,,,100,0,0,0.0,0.0,,,,-0.06110642219123845,0.0,-0.06110642219123845,0.0,0.0,0.0,41,0.41,0,0.0,0.0
phase4f_repair3_stable_tie001_no_additive_pref,wait_heavy,,,,,19,0,0,0.0,0.0,,,,0.04540624978778947,0.0,0.04540624978778947,0.0,0.0,0.0,9,0.47368421052631576,0,0.0,0.0
phase4f_repair3_stable_tie001_no_additive_pref,wait_light,,,,,47,0,0,0.0,0.0,,,,0.03505304612925999,0.0,0.03505304612925999,0.0,0.0,0.0,25,0.5319148936170213,0,0.0,0.0
phase4f_repair5_attention_native,,,,,,16,0,0,0.0,0.0,,,,-0.11981670812415,0.0,-0.11981670812415,-0.03125,0.0,0.0,5,0.3125,0,0.0,0.125
phase4f_repair5_attention_native,block_heavy,,,,,104,73,0,0.136986301369863,0.6575342465753424,,,,-0.004057668143411155,0.0,-0.004057668143411155,0.0005424221023792314,0.41304347826086957,0.41304347826086957,9,0.08653846153846154,1,0.009615384615384616,0.47115384615384615
phase4f_repair5_attention_native,block_light,,,,,38,25,0,0.12,0.36,,,,0.008702170337225238,0.0,0.008702170337225238,3.423109177786895e-05,0.42857142857142855,0.07142857142857142,3,0.07894736842105263,0,0.0,0.7368421052631579
phase4f_repair5_attention_native,commit_heavy,,,,,101,74,0,0.47297297297297297,0.7432432432432432,,,,0.09677528562366902,0.0,0.09677528562366902,0.01938384241624926,0.6274509803921569,0.0784313725490196,8,0.07920792079207921,1,0.009900990099009901,0.7227722772277227
phase4f_repair5_attention_native,decay_090,,,,,19,10,0,0.0,0.3,,,,-0.05767626940587326,0.0,-0.05767626940587326,-0.013384766678862736,0.2857142857142857,0.0,3,0.15789473684210525,0,0.0,0.6842105263157895
phase4f_repair5_attention_native,decay_095,,,,,41,19,0,0.10526315789473684,0.42105263157894735,,,,-0.029510949969381212,0.0,-0.029510949969381212,-0.008576466941454391,0.5,0.4,5,0.12195121951219512,0,0.0,0.3902439024390244
phase4f_repair5_attention_native,wait_heavy,,,,,64,38,0,0.02631578947368421,0.42105263157894735,,,,-0.002056996364648421,0.0,-0.002056996364648421,-0.0006618380663515473,0.375,0.125,4,0.0625,0,0.0,0.625
phase4f_repair5_attention_native,wait_light,,,,,76,54,0,0.2222222222222222,0.5555555555555556,,,,-0.010278308245700132,0.0,-0.010278308245700132,-0.003964759753136975,0.3939393939393939,0.18181818181818182,10,0.13157894736842105,0,0.0,0.631578947368421
phase4f_repair5_expand5000_ex5000_linear_target_global,None,,,,,23,0,23,0.0,0.0,0.6521739130434783,0.0,0.004347826086956522,-0.002897195311626087,0.0,-0.002897195311626087,-0.004347826086956522,0.0,0.0,1,0.043478260869565216,0,0.0,0.6521739130434783
phase4f_repair5_expand5000_ex5000_linear_target_global,block_heavy,,,,,171,114,171,0.02631578947368421,0.7192982456140351,0.04678362573099415,0.695906432748538,0.0320572268182306,-0.006889032347042962,0.0,-0.006889032347042962,-0.0027151251920996848,0.25,0.5694444444444444,9,0.05263157894736842,17,0.09941520467836257,0.47368421052631576
phase4f_repair5_expand5000_ex5000_linear_target_global,block_light,,,,,65,38,65,0.0,0.6052631578947368,0.03076923076923077,0.5692307692307692,0.042980404652891734,-0.0013203961033543383,0.0,-0.0013203961033543383,-0.003628088411046646,0.09090909090909091,0.6363636363636364,3,0.046153846153846156,9,0.13846153846153847,0.6153846153846154
phase4f_repair5_expand5000_ex5000_linear_target_global,commit_heavy,,,,,167,129,167,0.5348837209302325,0.9612403100775194,0.5209580838323353,0.8922155688622755,0.033983070585249416,0.01170286626892094,0.0,0.01170286626892094,0.012196030618742497,0.5104166666666666,0.3854166666666667,5,0.029940119760479042,33,0.19760479041916168,0.592814371257485
