scope,group,threshold,tp,fp,tn,fn,recall,precision,f1,support,positive_count,negative_count,passed,selection_reason
global,global,0.35,604,1492,3855,145,0.8064085447263017,0.2881679389312977,0.4246045694200351,6096,749,5347,False,
rule,additive_ltm,0.01,0,60,4134,0,0.0,0.0,0.0,4194,0,4194,False,best_available_below_target
rule,commit_heavy,0.4,764,1534,1718,178,0.8110403397027601,0.33246301131418626,0.471604938271605,4194,942,3252,True,meets_recall_precision_targets
rule,block_heavy,0.35,530,1238,2307,119,0.8166409861325116,0.2997737556561086,0.4385601985932975,4194,649,3545,False,best_available_below_target
rule,block_light,0.35,678,1532,1818,166,0.8033175355450237,0.3067873303167421,0.444007858546169,4194,844,3350,True,meets_recall_precision_targets
rule,wait_light,0.35,529,1580,1918,167,0.7600574712643678,0.25082977714556665,0.3771836007130125,4194,696,3498,False,best_available_below_target
rule,wait_heavy,0.45,750,1011,2251,182,0.8047210300429185,0.42589437819420783,0.5569996286669142,4194,932,3262,True,meets_recall_precision_targets
rule,decay_095,0.35,391,915,2766,122,0.7621832358674464,0.2993874425727412,0.42990654205607476,4194,513,3681,False,best_available_below_target
rule,decay_090,0.35,416,936,2724,118,0.7790262172284644,0.3076923076923077,0.44114528101802764,4194,534,3660,False,best_available_below_target
family,additive,0.01,0,60,4134,0,0.0,0.0,0.0,4194,0,4194,False,best_available_below_target
family,block,0.35,1208,2770,4125,285,0.8091091761553918,0.3036701860231272,0.4416011698044233,8388,1493,6895,True,meets_recall_precision_targets
family,commit,0.4,764,1534,1718,178,0.8110403397027601,0.33246301131418626,0.471604938271605,4194,942,3252,True,meets_recall_precision_targets
family,decay,0.35,807,1851,5490,240,0.7707736389684814,0.3036117381489842,0.43562753036437246,8388,1047,7341,False,best_available_below_target
family,wait,0.35,1341,2818,3942,287,0.8237100737100738,0.3224332772301034,0.46345256609642305,8388,1628,6760,True,meets_recall_precision_targets
