target_rule,predicted_rule,selected_decision,count
None,additive_ltm,defer_ltm,5
None,block_heavy,use_nonadditive,3
None,block_light,use_nonadditive,1
None,commit_heavy,use_nonadditive,4
None,wait_heavy,use_nonadditive,3
block_heavy,additive_ltm,defer_ltm,35
block_heavy,block_heavy,use_nonadditive,26
block_heavy,block_light,use_nonadditive,2
block_heavy,commit_heavy,use_nonadditive,26
block_heavy,decay_095,use_nonadditive,1
block_heavy,wait_heavy,use_nonadditive,7
block_heavy,wait_light,use_nonadditive,7
block_light,additive_ltm,defer_ltm,18
block_light,block_heavy,use_nonadditive,3
block_light,block_light,use_nonadditive,1
block_light,commit_heavy,use_nonadditive,10
block_light,wait_heavy,use_nonadditive,1
block_light,wait_light,use_nonadditive,5
commit_heavy,additive_ltm,defer_ltm,24
commit_heavy,block_heavy,use_nonadditive,10
commit_heavy,block_light,use_nonadditive,5
commit_heavy,commit_heavy,use_nonadditive,49
commit_heavy,decay_095,use_nonadditive,1
commit_heavy,wait_heavy,use_nonadditive,2
commit_heavy,wait_light,use_nonadditive,10
decay_090,additive_ltm,defer_ltm,6
decay_090,block_heavy,use_nonadditive,3
decay_090,block_light,use_nonadditive,3
decay_090,commit_heavy,use_nonadditive,3
decay_090,wait_heavy,use_nonadditive,1
decay_090,wait_light,use_nonadditive,3
decay_095,additive_ltm,defer_ltm,14
decay_095,block_heavy,use_nonadditive,6
decay_095,block_light,use_nonadditive,1
decay_095,commit_heavy,use_nonadditive,10
decay_095,decay_090,use_nonadditive,1
decay_095,wait_heavy,use_nonadditive,1
decay_095,wait_light,use_nonadditive,8
wait_heavy,additive_ltm,defer_ltm,21
wait_heavy,block_heavy,use_nonadditive,5
wait_heavy,block_light,use_nonadditive,1
wait_heavy,commit_heavy,use_nonadditive,25
wait_heavy,decay_090,use_nonadditive,1
wait_heavy,decay_095,use_nonadditive,2
wait_heavy,wait_heavy,use_nonadditive,1
wait_heavy,wait_light,use_nonadditive,8
wait_light,additive_ltm,defer_ltm,25
wait_light,block_heavy,use_nonadditive,10
wait_light,block_light,use_nonadditive,3
wait_light,commit_heavy,use_nonadditive,22
wait_light,decay_090,use_nonadditive,1
wait_light,decay_095,use_nonadditive,3
wait_light,wait_heavy,use_nonadditive,1
wait_light,wait_light,use_nonadditive,11
