split,run_id,checkpoint_id,map_name,agents,seed,iteration,decision_target,selected_decision,target_rule,predicted_rule,fallback_reason,defer_reason,selection_stage,attention_top1,attention_top3,decision_correct,selected_delta,additive_delta,selected_vs_additive_delta,selected_utility,additive_utility,selected_vs_additive_utility,selected_rule_harmful,target_delta,has_nonadditive_opportunity,has_high_margin_nonadditive_opportunity,best_safe_nonadditive_advantage,opportunity_margin,rule_scores,harmful_probs,opportunity_prob,defer_prob,safety_threshold_by_rule,safety_mask,best_safe_nonadditive_rule,best_safe_nonadditive_score,margin_vs_additive,margin_vs_defer,top3_rules,harmful_labels
train,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000__iter0,empty-16-16,50,1,0,use_nonadditive,defer_ltm,wait_light,additive_ltm,low_confidence,low_confidence,defer_insufficient_margin,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.077519379845,True,True,0.077519379845,0.01,"[-0.08358738420191003, -1.0613030147552491, 1.1530765825510025, 0.9774783182144166, 1.030417070388794, 0.7705190300941467, -0.16141792294452897, -0.09557816381537122]","[7.747502422716934e-06, 0.8459386825561523, 0.4058215320110321, 0.5546692609786987, 0.6296045780181885, 0.5895400047302246, 0.00015604350483044982, 0.00016242031415458769]",0.6129577159881592,0.2067534625530243,"[1.01, 0.5, 0.4, 0.5, 0.4, 0.5, 0.5, 0.4]","[true, false, false, false, false, false, true, true]",decay_090,-0.09557816381537122,-0.011990779613461192,0.4062042534351349,"[""block_heavy"", ""wait_light"", ""block_light""]","[0, 0, 0, 0, 0, 0, 0, 0]"
train,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000__iter1,empty-16-16,50,1,1,use_nonadditive,use_nonadditive,commit_heavy,commit_heavy,selected,,select_safe_nonadditive,True,True,True,0.135658914729,0.0,0.135658914729,0.1,0.0,0.1,False,0.135658914729,True,True,0.1,0.01,"[0.291115820446812, 1.2414372617006302, 1.1782628819346428, 1.0378541815280915, 1.1821673089265823, 1.1904629731178284, 0.9931669843196869, 1.0469056403636932]","[8.938749488152098e-06, 0.2058294713497162, 0.2377483993768692, 0.5935019850730896, 0.45466336607933044, 0.5212115049362183, 0.5897372364997864, 0.5420981049537659]",0.9163411259651184,0.06941460818052292,"[1.01, 0.5, 0.4, 0.5, 0.4, 0.5, 0.5, 0.4]","[true, true, true, false, false, false, false, false]",commit_heavy,1.2414372617006302,0.9503214412538181,0.8469265177845955,"[""commit_heavy"", ""wait_heavy"", ""wait_light""]","[0, 0, 0, 0, 0, 0, 0, 0]"
train,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000__iter2,empty-16-16,50,1,2,use_nonadditive,use_nonadditive,block_light,block_heavy,selected,,select_safe_nonadditive,False,False,True,0.0755813953488,0.0,0.0755813953488,0.0755813953488,0.0,0.0755813953488,False,0.0968992248062,True,True,0.0968992248062,0.01,"[0.8636497913418134, 1.181009304523468, 1.1625800776481627, 1.1358635902404786, 1.1600227493047714, 1.1232602608203888, 1.1479018837213517, 1.1537290984392166]","[2.0570467313518748e-05, 0.5226486921310425, 0.3189293146133423, 0.45259952545166016, 0.4299633800983429, 0.5439042448997498, 0.475722998380661, 0.4961422383785248]",0.7383257746696472,0.14522351324558258,"[1.01, 0.5, 0.4, 0.5, 0.4, 0.5, 0.5, 0.4]","[true, false, true, true, false, false, true, false]",block_heavy,1.1625800776481627,0.2989302863063493,0.5931022614240646,"[""commit_heavy"", ""block_heavy"", ""wait_light""]","[0, 1, 0, 0, 0, 0, 0, 0]"
train,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a50__i1__phase4_phase4-full-repair5-expand5000__iter3,empty-16-16,50,1,3,defer_ltm,defer_ltm,block_heavy,additive_ltm,low_opportunity,low_opportunity,defer_low_opportunity,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0077519379845,False,False,0.0077519379845,0.01,"[0.9840276039673518, 1.1306717586517334, 1.1374242842197417, 1.1516797506809235, 1.152673863172531, 1.1628909993171692, 1.107695494890213, 1.1209486746788024]","[9.948841579898726e-06, 0.7114043235778809, 0.6336066126823425, 0.5141260027885437, 0.5980599522590637, 0.5517259836196899, 0.5967718958854675, 0.6010173559188843]",0.23610742390155792,0.5451809167861938,"[1.01, 0.5, 0.4, 0.5, 0.4, 0.5, 0.5, 0.4]","[true, false, false, false, false, false, false, false]",,,,-0.3090734928846359,"[""wait_heavy"", ""wait_light"", ""block_light""]","[0, 1, 0, 1, 0, 1, 1, 0]"
train,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000__iter0,empty-16-16,100,1,0,use_nonadditive,use_nonadditive,wait_light,wait_light,selected,,select_safe_nonadditive,True,True,True,0.0951923076923,0.0,0.0951923076923,0.0951923076923,0.0,0.0951923076923,False,0.0951923076923,True,True,0.0951923076923,0.01,"[-0.7202323428943055, 0.28163837671279907, 1.1366715955734252, -0.23811057686805726, 1.1756696808338165, -0.9021723186969757, -0.8570774962729775, -0.8619900935012265]","[2.5591027224436402e-05, 0.7652912139892578, 0.44873690605163574, 0.7550525069236755, 0.37657564878463745, 0.8325065970420837, 0.00040317687671631575, 9.83134814305231e-05]",0.645560085773468,0.18962405622005463,"[1.01, 0.5, 0.4, 0.5, 0.4, 0.5, 0.5, 0.4]","[true, false, false, false, true, false, true, true]",wait_light,1.1756696808338165,1.895902023728122,0.4559360295534134,"[""wait_light"", ""block_heavy"", ""commit_heavy""]","[0, 1, 0, 0, 0, 1, 0, 0]"
train,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000__iter1,empty-16-16,100,1,1,use_nonadditive,defer_ltm,block_heavy,additive_ltm,low_opportunity,low_opportunity,defer_low_opportunity,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0346153846154,True,True,0.0346153846154,0.01,"[0.1635908093675971, 1.1435104322433471, 0.31866100430488586, 0.8817291057109833, 1.1527088689804077, -0.13164745569229125, 0.6736940610408783, 0.6708483648300171]","[7.914379239082336e-06, 0.5999042987823486, 0.7645174860954285, 0.6498734354972839, 0.4232356548309326, 0.6904566287994385, 0.6655133366584778, 0.6767394542694092]",0.2897762358188629,0.4773503839969635,"[1.01, 0.5, 0.4, 0.5, 0.4, 0.5, 0.5, 0.4]","[true, false, false, false, false, false, false, false]",,,,-0.18757414817810059,"[""wait_light"", ""commit_heavy"", ""block_light""]","[0, 0, 0, 0, 0, 0, 0, 1]"
train,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000__iter2,empty-16-16,100,1,2,use_nonadditive,use_nonadditive,wait_light,wait_light,selected,,select_safe_nonadditive,True,True,True,0.118269230769,0.0,0.118269230769,0.1,0.0,0.1,False,0.118269230769,True,True,0.1,0.01,"[-0.3620566703318218, 1.1784948134422302, 1.1590241622924804, 1.1346274733543396, 1.1966720306873322, 1.1557851141691209, 1.1376961863040924, 1.1498297119140626]","[1.1808865565399174e-05, 0.37034738063812256, 0.3047623634338379, 0.5036765336990356, 0.10230201482772827, 0.379984050989151, 0.2690116763114929, 0.21296310424804688]",0.909386157989502,0.08342607319355011,"[1.01, 0.5, 0.4, 0.5, 0.4, 0.5, 0.5, 0.4]","[true, true, true, false, true, true, true, true]",wait_light,1.1966720306873322,1.558728701019154,0.8259600847959518,"[""wait_light"", ""commit_heavy"", ""block_heavy""]","[0, 0, 0, 0, 0, 0, 0, 0]"
train,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a100__i1__phase4_phase4-full-repair5-expand5000__iter3,empty-16-16,100,1,3,use_nonadditive,defer_ltm,decay_090,additive_ltm,unsafe,unsafe,defer_unsafe,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0471153846154,True,True,0.0471153846154,0.01,"[-0.009066799011889089, 1.1441167604923248, 1.1224421006441117, 1.1197643637657166, 1.1440556401014328, 1.1422741138935089, 1.1076862061023711, 1.1290981775522233]","[1.6824755221023224e-05, 0.5479335188865662, 0.4853261411190033, 0.527070164680481, 0.41941824555397034, 0.5702866911888123, 0.5314506888389587, 0.4700898826122284]",0.5180160403251648,0.3987850546836853,"[1.01, 0.5, 0.4, 0.5, 0.4, 0.5, 0.5, 0.4]","[true, false, false, false, false, false, false, false]",,,,0.11923098564147949,"[""commit_heavy"", ""wait_light"", ""wait_heavy""]","[0, 1, 1, 1, 0, 1, 0, 0]"
train,empty-16-16__a200__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a200__i1__phase4_phase4-full-repair5-expand5000__iter0,empty-16-16,200,1,0,use_nonadditive,use_nonadditive,commit_heavy,wait_light,selected,,select_safe_nonadditive,False,True,True,1.12518482011,0.0,1.12518482011,0.1,0.0,0.1,False,1.14440611138,True,True,0.1,0.01,"[-1.0958617612719537, 1.1460162174701691, 1.1277949607372284, -0.051564205884933476, 1.1741564929485322, -0.47450252294540407, -1.1314658934768522, -1.1063491862700903]","[0.0001236051321029663, 0.5287837386131287, 0.5134652256965637, 0.7201070189476013, 0.3916230797767639, 0.7877061367034912, 0.0001778945152182132, 0.00017663680773694068]",0.7693654298782349,0.13633371889591217,"[1.01, 0.5, 0.4, 0.5, 0.4, 0.5, 0.5, 0.4]","[true, false, false, false, true, false, true, true]",wait_light,1.1741564929485322,2.270018254220486,0.6330317109823227,"[""wait_light"", ""commit_heavy"", ""block_heavy""]","[0, 0, 0, 0, 0, 1, 0, 0]"
train,empty-16-16__a200__i1__phase4_phase4-full-repair5-expand5000,empty-16-16__a200__i1__phase4_phase4-full-repair5-expand5000__iter1,empty-16-16,200,1,1,use_nonadditive,use_nonadditive,block_heavy,wait_light,selected,,select_safe_nonadditive,False,False,True,0.151798915722,0.0,0.151798915722,0.1,0.0,0.1,False,0.116806308526,True,True,0.1,0.01,"[0.5772344006718049, 1.0987720274925232, 1.0060910832881929, 1.131004625558853, 1.163930520415306, 0.5678523266315461, 0.7063677787780762, 0.5874287962913514]","[1.7217691492987797e-05, 0.6566416025161743, 0.6341593861579895, 0.5557748675346375, 0.17737820744514465, 0.6818558573722839, 0.6604528427124023, 0.71158766746521]",0.9154756665229797,0.05192068964242935,"[1.01, 0.5, 0.4, 0.5, 0.4, 0.5, 0.5, 0.4]","[true, false, false, false, true, false, false, false]",wait_light,1.163930520415306,0.5866961197435012,0.8635549768805504,"[""wait_light"", ""block_light"", ""commit_heavy""]","[0, 1, 0, 0, 0, 1, 0, 1]"
