map,agents,method,runs,successes,success_rate,ratio_mean,runtime_ms_mean,expanded_nodes_mean,low_level_pibt_calls_mean,laur_inference_count_mean,laur_inference_total_ms_mean,laur_additive_fallback_count_mean,laur_safety_disabled_count_mean,selected_rules
maze-32-32-4,50,lacam_star,1,1,1.0,1.1807860262,3081.1392,6895.0,nan,0.0,0.0,0.0,0.0,{}
maze-32-32-4,50,lacam_star_lau_ltm_force_additive,1,1,1.0,1.15109170306,875.3088,497.0,24650.0,3.0,0.0014,1.0,0.0,"{""additive_ltm"": 3}"
maze-32-32-4,50,lacam_star_lau_ltm_learned_every_k2,1,1,1.0,1.15720524017,856.654,497.0,24650.0,1.0,0.1196,3.0,0.0,"{""block_light"": 1}"
maze-32-32-4,50,lacam_star_lau_ltm_learned_every_restart,1,1,1.0,1.14104803493,891.3928,499.0,24750.0,4.0,0.4008,0.0,0.0,"{""block_light"": 2, ""commit_heavy"": 1, ""wait_light"": 1}"
maze-32-32-4,50,lacam_star_lau_ltm_learned_no_safety,1,1,1.0,1.17947598253,892.7408,520.0,25800.0,3.0,0.3091,1.0,0.0,"{""block_light"": 2, ""commit_heavy"": 1}"
maze-32-32-4,50,lacam_star_lau_ltm_learned_safety,1,1,1.0,1.17947598253,896.9914,520.0,25800.0,3.0,0.3062,1.0,0.0,"{""block_light"": 2, ""commit_heavy"": 1}"
maze-32-32-4,50,lacam_star_lau_ltm_static_block_heavy,1,1,1.0,1.16026200873,830.1106,464.0,23000.0,0.0,0.0,0.0,0.0,"{""block_heavy"": 4}"
maze-32-32-4,50,lacam_star_lau_ltm_static_decay_095,1,1,1.0,1.18122270742,854.4537,526.0,26100.0,0.0,0.0,0.0,0.0,"{""decay_095"": 4}"
maze-32-32-4,50,lacam_star_ltm,1,1,1.0,1.15109170306,853.1518,497.0,24650.0,0.0,0.0,0.0,0.0,{}
maze-32-32-4,100,lacam_star,1,1,1.0,1.32391355972,3113.1033,8715.0,nan,0.0,0.0,0.0,0.0,{}
