map,agents,seed,scen,baseline_method,contender_method,baseline_success,contender_success,baseline_ratio,contender_ratio,delta_ratio,contender_better
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,lacam_star_ltm,always_additive_defer,True,True,1.15109170306,1.15109170306,0.0,False
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,lacam_star_ltm,lacam_star,True,True,1.15109170306,1.1807860262,0.02969432313999998,False
maze-32-32-4,50,1,maze-32-32-4-random-1.scen,lacam_star_ltm,repair3_safe_runtime,True,True,1.15109170306,1.17947598253,0.028384279469999996,False
maze-32-32-4,50,2,maze-32-32-4-random-2.scen,lacam_star_ltm,always_additive_defer,True,True,1.13998970664,1.13998970664,0.0,False
maze-32-32-4,50,2,maze-32-32-4-random-2.scen,lacam_star_ltm,lacam_star,True,True,1.13998970664,1.13278435409,-0.007205352549999988,True
maze-32-32-4,50,2,maze-32-32-4-random-2.scen,lacam_star_ltm,repair3_safe_runtime,True,True,1.13998970664,1.13998970664,0.0,False
maze-32-32-4,50,3,maze-32-32-4-random-3.scen,lacam_star_ltm,always_additive_defer,True,True,1.1293508937,1.1293508937,0.0,False
maze-32-32-4,50,3,maze-32-32-4-random-3.scen,lacam_star_ltm,lacam_star,True,True,1.1293508937,1.12746942615,-0.001881467550000071,True
maze-32-32-4,50,3,maze-32-32-4-random-3.scen,lacam_star_ltm,repair3_safe_runtime,True,True,1.1293508937,1.14252116651,0.013170272809999828,False
maze-32-32-4,100,1,maze-32-32-4-random-1.scen,lacam_star_ltm,always_additive_defer,True,True,1.27024459748,1.27024459748,0.0,False
maze-32-32-4,100,1,maze-32-32-4-random-1.scen,lacam_star_ltm,lacam_star,True,True,1.27024459748,1.32391355972,0.05366896223999995,False
maze-32-32-4,100,1,maze-32-32-4-random-1.scen,lacam_star_ltm,repair3_safe_runtime,True,True,1.27024459748,1.24269769651,-0.02754690097000001,True
maze-32-32-4,100,2,maze-32-32-4-random-2.scen,lacam_star_ltm,always_additive_defer,True,True,1.29871465296,1.29871465296,0.0,False
maze-32-32-4,100,2,maze-32-32-4-random-2.scen,lacam_star_ltm,lacam_star,True,True,1.29871465296,1.30257069409,0.003856041129999932,False
maze-32-32-4,100,2,maze-32-32-4-random-2.scen,lacam_star_ltm,repair3_safe_runtime,True,True,1.29871465296,1.29614395887,-0.002570694090000103,True
maze-32-32-4,100,3,maze-32-32-4-random-3.scen,lacam_star_ltm,always_additive_defer,True,True,1.28639563934,1.28639563934,0.0,False
maze-32-32-4,100,3,maze-32-32-4-random-3.scen,lacam_star_ltm,lacam_star,True,True,1.28639563934,1.31637519873,0.029979559390000077,False
maze-32-32-4,100,3,maze-32-32-4-random-3.scen,lacam_star_ltm,repair3_safe_runtime,True,True,1.28639563934,1.26799909153,-0.018396547810000108,True
random-32-32-20,50,1,random-32-32-20-random-1.scen,lacam_star_ltm,always_additive_defer,True,True,1.13415710503,1.13415710503,0.0,False
random-32-32-20,50,1,random-32-32-20-random-1.scen,lacam_star_ltm,lacam_star,True,True,1.13415710503,1.15269196823,0.018534863200000196,False
random-32-32-20,50,1,random-32-32-20-random-1.scen,lacam_star_ltm,repair3_safe_runtime,True,True,1.13415710503,1.13415710503,0.0,False
random-32-32-20,50,2,random-32-32-20-random-2.scen,lacam_star_ltm,always_additive_defer,True,True,1.10966542751,1.10966542751,0.0,False
random-32-32-20,50,2,random-32-32-20-random-2.scen,lacam_star_ltm,lacam_star,True,True,1.10966542751,1.10408921933,-0.005576208179999931,True
random-32-32-20,50,2,random-32-32-20-random-2.scen,lacam_star_ltm,repair3_safe_runtime,True,True,1.10966542751,1.10966542751,0.0,False
random-32-32-20,50,3,random-32-32-20-random-3.scen,lacam_star_ltm,always_additive_defer,True,True,1.1096963761,1.1096963761,0.0,False
random-32-32-20,50,3,random-32-32-20-random-3.scen,lacam_star_ltm,lacam_star,True,True,1.1096963761,1.1096963761,0.0,False
