map,agents,method,runs,successes,success_rate,sum_of_loss_ratio_mean,expanded_nodes_mean,time_to_first_solution_ms_mean,returned_solutions_count_mean,low_level_pibt_calls_mean,laur_overhead_ms_mean,laur_inference_count_mean,laur_additive_fallback_count_mean,laur_safety_disabled_count_mean,fallback_defer_rate,non_additive_update_rate,selected_harmful_update_rate,selected_rules
maze-32-32-4,50,always_additive_defer,3,3,1.0,1.1401441011333333,432.6666666666667,191.66666666666666,1.0,21433.333333333332,0.0014333333333333333,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 9}"
maze-32-32-4,50,lacam_star,3,3,1.0,1.1470132688133334,6599.666666666667,3102.4275,1.0,,0.0,0.0,0.0,0.0,,,,{}
maze-32-32-4,50,lacam_star_ltm,3,3,1.0,1.1401441011333333,432.6666666666667,191.66666666666666,1.0,21433.333333333332,0.0,0.0,0.0,0.0,,,,{}
maze-32-32-4,50,repair3_safe_runtime,3,3,1.0,1.15399561856,442.0,195.0,1.0,21900.0,0.3052666666666667,3.0,1.0,0.0,0.25,0.75,,"{""block_light"": 6, ""commit_heavy"": 3}"
maze-32-32-4,100,always_additive_defer,3,3,1.0,1.2851182965933334,482.3333333333333,396.3333333333333,1.0,48214.666666666664,0.0014333333333333333,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 9}"
maze-32-32-4,100,lacam_star,3,3,1.0,1.31428648418,11516.333333333334,3148.0506,1.0,,0.0,0.0,0.0,0.0,,,,{}
maze-32-32-4,100,lacam_star_ltm,3,3,1.0,1.2851182965933334,482.3333333333333,393.3333333333333,1.0,48214.666666666664,0.0,0.0,0.0,0.0,,,,{}
maze-32-32-4,100,repair3_safe_runtime,3,3,1.0,1.2689469156366666,463.6666666666667,397.3333333333333,1.0,46055.666666666664,0.3364333333333333,3.0,1.0,0.0,0.25,0.75,,"{""block_light"": 9}"
random-32-32-20,50,always_additive_defer,3,3,1.0,1.1178396362133334,279.0,156.0,1.0,22213.0,0.0017666666666666666,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 9}"
random-32-32-20,50,lacam_star,3,3,1.0,1.1221591878866668,17883.333333333332,3254.395466666667,1.0,,0.0,0.0,0.0,0.0,,,,{}
random-32-32-20,50,lacam_star_ltm,3,3,1.0,1.1178396362133334,279.0,156.0,1.0,22213.0,0.0,0.0,0.0,0.0,,,,{}
random-32-32-20,50,repair3_safe_runtime,3,3,1.0,1.1178396362133334,252.0,156.0,1.0,17357.333333333332,0.31893333333333335,3.0,1.0,0.0,0.25,0.75,,"{""block_light"": 3, ""commit_heavy"": 6}"
random-32-32-20,100,always_additive_defer,3,3,1.0,1.2777344629866667,223.66666666666666,311.6666666666667,1.0,22157.666666666668,0.0015333333333333334,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 9}"
random-32-32-20,100,lacam_star,3,3,1.0,1.27971949887,8017.0,3098.6289,1.0,,0.0,0.0,0.0,0.0,,,,{}
random-32-32-20,100,lacam_star_ltm,3,3,1.0,1.2777344629866667,223.66666666666666,311.6666666666667,1.0,22157.666666666668,0.0,0.0,0.0,0.0,,,,{}
random-32-32-20,100,repair3_safe_runtime,3,3,1.0,1.26817218132,310.0,312.6666666666667,1.0,47631.666666666664,0.30806666666666666,3.0,1.0,0.0,0.25,0.75,,"{""block_light"": 9}"
warehouse-10-20-10-2-1,50,always_additive_defer,3,3,1.0,1.0774394449566667,407.6666666666667,1216.6666666666667,1.0,20228.666666666668,0.001,2.0,1.0,0.0,0.3333333333333333,0.0,,"{""additive_ltm"": 6}"
warehouse-10-20-10-2-1,50,lacam_star,3,3,1.0,1.0596392266699999,7998.0,3089.7941333333333,1.0,,0.0,0.0,0.0,0.0,,,,{}
warehouse-10-20-10-2-1,50,lacam_star_ltm,3,3,1.0,1.0774394449566667,407.6666666666667,1209.3333333333333,1.0,20228.666666666668,0.0,0.0,0.0,0.0,,,,{}
warehouse-10-20-10-2-1,50,repair3_safe_runtime,3,3,1.0,1.0774394449566667,407.6666666666667,1214.6666666666667,1.0,20228.666666666668,0.27563333333333334,2.0,1.0,0.0,0.3333333333333333,0.6666666666666666,,"{""block_light"": 6}"
warehouse-10-20-10-2-1,100,always_additive_defer,3,3,1.0,1.13971749334,198.66666666666666,2397.6666666666665,1.0,19662.333333333332,0.0006666666666666666,1.0,1.0,0.0,0.5,0.0,,"{""additive_ltm"": 3}"
warehouse-10-20-10-2-1,100,lacam_star,3,3,1.0,1.1424659003833333,3856.0,3052.8898666666664,1.0,,0.0,0.0,0.0,0.0,,,,{}
warehouse-10-20-10-2-1,100,lacam_star_ltm,3,3,1.0,1.13971749334,198.66666666666666,2404.3333333333335,1.0,19662.333333333332,0.0,0.0,0.0,0.0,,,,{}
warehouse-10-20-10-2-1,100,repair3_safe_runtime,3,3,1.0,1.13971749334,198.66666666666666,2379.6666666666665,1.0,19662.333333333332,0.15096666666666667,1.0,1.0,0.0,0.5,0.5,,"{""block_light"": 3}"
