map,agents,method,runs,successes,success_rate,sum_of_loss_ratio_mean,expanded_nodes_mean,time_to_first_solution_ms_mean,returned_solutions_count_mean,low_level_pibt_calls_mean,laur_overhead_ms_mean,laur_inference_count_mean,laur_additive_fallback_count_mean,laur_safety_disabled_count_mean,fallback_defer_rate,non_additive_update_rate,selected_harmful_update_rate,selected_rules,ratio_delta_vs_ltm,expanded_delta_vs_ltm,ttfs_delta_vs_ltm
maze-32-32-4,50,always_additive_defer,3,3,1.0,1.1401441011333333,432.6666666666667,190.0,1.0,21433.333333333332,0.0014666666666666667,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 9}",0.0,0.0,0.0
maze-32-32-4,50,lacam_star,3,3,1.0,1.1470132688133334,6778.333333333333,3106.4385666666667,1.0,,0.0,0.0,0.0,0.0,,,,{},0.006869167680000121,6345.666666666666,2916.4385666666667
maze-32-32-4,50,lacam_star_ltm,3,3,1.0,1.1401441011333333,432.6666666666667,190.0,1.0,21433.333333333332,0.0,0.0,0.0,0.0,,,,{},,,
maze-32-32-4,50,oracle_teacher_forced_best_safe_update_static_proxy,3,3,1.0,1.1328595356366666,433.3333333333333,193.0,1.0,21515.666666666668,0.0,0.0,1.0,0.0,0.25,0.75,,"{""block_light"": 3, ""decay_090"": 3, ""wait_light"": 3}",-0.007284565496666673,0.6666666666666288,3.0
maze-32-32-4,50,repair3_safe_runtime,3,3,1.0,1.15399561856,442.0,192.66666666666666,1.0,21900.0,0.3461,3.0,1.0,0.0,0.25,0.75,,"{""block_light"": 6, ""commit_heavy"": 3}",0.013851517426666682,9.333333333333314,2.666666666666657
maze-32-32-4,50,repair5d_composite_diagnostic_distilled,3,3,1.0,1.1545778601899999,440.3333333333333,190.66666666666666,1.0,21816.666666666668,0.3358,3.0,1.0,0.0,0.25,0.75,,"{""commit_heavy"": 9}",0.01443375905666655,7.666666666666629,0.6666666666666572
maze-32-32-4,50,repair5d_force_additive_defer_parity,3,3,1.0,1.1401441011333333,432.6666666666667,194.33333333333334,1.0,21433.333333333332,0.0013333333333333333,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 9}",0.0,0.0,4.333333333333343
maze-32-32-4,50,repair5e2_guarded_oracle_aligned_selector,3,3,1.0,1.1401441011333333,432.6666666666667,189.66666666666666,1.0,21433.333333333332,0.37506666666666666,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 9}",0.0,0.0,-0.3333333333333428
maze-32-32-4,50,repair5e2_guarded_oracle_aligned_selector_force_additive_parity,3,3,1.0,1.1401441011333333,432.6666666666667,191.0,1.0,21433.333333333332,0.0013666666666666666,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 9}",0.0,0.0,1.0
maze-32-32-4,50,repair5e_caseb_ood_guard_distilled,3,3,1.0,1.1401441011333333,432.6666666666667,190.66666666666666,1.0,21433.333333333332,0.35256666666666664,3.0,4.0,0.0,0.5714285714285714,0.0,,"{""additive_ltm"": 9}",0.0,0.0,0.6666666666666572
maze-32-32-4,50,repair5e_caseb_ood_guard_force_additive_parity,3,3,1.0,1.1401441011333333,432.6666666666667,194.33333333333334,1.0,21433.333333333332,0.0017000000000000001,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 9}",0.0,0.0,4.333333333333343
maze-32-32-4,100,always_additive_defer,3,3,1.0,1.2851182965933334,482.3333333333333,398.3333333333333,1.0,48214.666666666664,0.0017666666666666666,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 9}",0.0,0.0,0.6666666666666288
maze-32-32-4,100,lacam_star,3,3,1.0,1.31428648418,10873.666666666666,3169.099366666667,1.0,,0.0,0.0,0.0,0.0,,,,{},0.029168187586666505,10391.333333333332,2771.4327000000003
maze-32-32-4,100,lacam_star_ltm,3,3,1.0,1.2851182965933334,482.3333333333333,397.6666666666667,1.0,48214.666666666664,0.0,0.0,0.0,0.0,,,,{},,,
