map,agents,method,runs,successes,success_rate,sum_of_loss_ratio_mean,expanded_nodes_mean,time_to_first_solution_ms_mean,returned_solutions_count_mean,low_level_pibt_calls_mean,laur_overhead_ms_mean,laur_inference_count_mean,laur_additive_fallback_count_mean,laur_safety_disabled_count_mean,fallback_defer_rate,non_additive_update_rate,selected_harmful_update_rate,selected_rules,ratio_delta_vs_ltm,expanded_delta_vs_ltm,ttfs_delta_vs_ltm
maze-32-32-4,50,lacam_star_ltm,10,10,1.0,1.1398036303879,438.3,182.6,1.0,21738.9,0.0,0.0,0.0,0.0,,,,{},,,
maze-32-32-4,50,repair5e4_calibrated_guard_only_on_e3_split,10,10,1.0,1.1398036303879,438.3,183.5,1.0,21738.9,0.43146,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,0.9000000000000057
maze-32-32-4,50,repair5e4_closed_loop_utility_selector,10,10,1.0,1.1398036303879,438.3,182.4,1.0,21738.9,0.43701,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,-0.19999999999998863
maze-32-32-4,50,repair5e4_closed_loop_utility_selector_force_additive_parity,10,10,1.0,1.1398036303879,438.3,183.6,1.0,21738.9,0.0,0.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,1.0
maze-32-32-4,50,repair5e4_closed_loop_utility_selector_no_ood_guard_diagnostic,10,10,1.0,1.1398036303879,438.3,183.1,1.0,21738.9,0.453,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,0.5
maze-32-32-4,50,repair5e4_closed_loop_utility_selector_recovery_disabled_parity,10,10,1.0,1.1398036303879,438.3,182.6,1.0,21738.9,0.0,0.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,0.0
maze-32-32-4,50,repair5e4_closed_loop_utility_selector_shuffled_labels_diagnostic,10,10,1.0,1.1398036303879,438.3,183.9,1.0,21738.9,0.4456,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,1.3000000000000114
maze-32-32-4,100,lacam_star_ltm,10,10,1.0,1.2492997628640001,566.0,385.0,1.0,71451.8,0.0,0.0,0.0,0.0,,,,{},,,
maze-32-32-4,100,repair5e4_calibrated_guard_only_on_e3_split,10,10,1.0,1.245093510612,570.3,386.1,1.0,71638.2,0.42123,3.0,1.0,0.0,0.25,0.75,,"{""block_light"": 30}",-0.004206252252000109,4.2999999999999545,1.1000000000000227
maze-32-32-4,100,repair5e4_closed_loop_utility_selector,10,10,1.0,1.2492997628640001,566.0,386.3,1.0,71451.8,0.45273,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,1.3000000000000114
maze-32-32-4,100,repair5e4_closed_loop_utility_selector_force_additive_parity,10,10,1.0,1.2492997628640001,566.0,385.1,1.0,71451.8,0.0,0.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,0.10000000000002274
maze-32-32-4,100,repair5e4_closed_loop_utility_selector_no_ood_guard_diagnostic,10,10,1.0,1.2492997628640001,566.0,385.0,1.0,71451.8,0.44321,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,0.0
maze-32-32-4,100,repair5e4_closed_loop_utility_selector_recovery_disabled_parity,10,10,1.0,1.2492997628640001,566.0,385.0,1.0,71451.8,0.0,0.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,0.0
maze-32-32-4,100,repair5e4_closed_loop_utility_selector_shuffled_labels_diagnostic,10,10,1.0,1.2492997628640001,566.0,386.6,1.0,71451.8,0.44844,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,1.6000000000000227
random-32-32-20,50,lacam_star_ltm,10,10,1.0,1.134427121036,223.3,158.9,1.0,11440.0,0.0,0.0,0.0,0.0,,,,{},,,
random-32-32-20,50,repair5e4_calibrated_guard_only_on_e3_split,10,10,1.0,1.129702542965,229.9,158.4,1.0,12478.7,0.41855,3.0,1.0,0.0,0.25,0.75,,"{""block_light"": 30}",-0.0047245780709999075,6.599999999999994,-0.5
random-32-32-20,50,repair5e4_closed_loop_utility_selector,10,10,1.0,1.127065788059,223.4,158.8,1.0,11643.5,0.42174,3.0,1.0,0.0,0.25,0.75,,"{""decay_090"": 30}",-0.007361332976999924,0.09999999999999432,-0.09999999999999432
random-32-32-20,50,repair5e4_closed_loop_utility_selector_force_additive_parity,10,10,1.0,1.134427121036,223.3,157.9,1.0,11440.0,0.0,0.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,-1.0
random-32-32-20,50,repair5e4_closed_loop_utility_selector_no_ood_guard_diagnostic,10,10,1.0,1.127065788059,223.4,157.8,1.0,11643.5,0.46317,3.0,1.0,0.0,0.25,0.75,,"{""decay_090"": 30}",-0.007361332976999924,0.09999999999999432,-1.0999999999999943
random-32-32-20,50,repair5e4_closed_loop_utility_selector_recovery_disabled_parity,10,10,1.0,1.134427121036,223.3,158.5,1.0,11440.0,0.0,0.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 30}",0.0,0.0,-0.4000000000000057
random-32-32-20,50,repair5e4_closed_loop_utility_selector_shuffled_labels_diagnostic,10,10,1.0,1.129896838287,223.2,158.0,1.0,11623.9,0.4233,3.0,1.0,0.0,0.25,0.75,,"{""block_heavy"": 11, ""decay_090"": 19}",-0.004530282748999914,-0.10000000000002274,-0.9000000000000057
random-32-32-20,100,lacam_star_ltm,10,10,1.0,1.267150755212,268.2,317.1,1.0,32135.3,0.0,0.0,0.0,0.0,,,,{},,,
