map,agents,method,runs,successes,success_rate,sum_of_loss_ratio_mean,expanded_nodes_mean,time_to_first_solution_ms_mean,returned_solutions_count_mean,low_level_pibt_calls_mean,laur_overhead_ms_mean,laur_inference_count_mean,laur_additive_fallback_count_mean,laur_safety_disabled_count_mean,fallback_defer_rate,non_additive_update_rate,selected_harmful_update_rate,selected_rules,ratio_delta_vs_ltm,expanded_delta_vs_ltm,ttfs_delta_vs_ltm
maze-32-32-4,50,always_additive_defer,5,5,1.0,1.185242544024,435.6,183.6,1.0,21575.4,0.0,0.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 15}",0.0,0.0,-0.8000000000000114
maze-32-32-4,50,lacam_star,5,5,1.0,1.189429693908,8420.0,3144.4886,1.0,,0.0,0.0,0.0,0.0,,,,{},0.004187149884000041,7984.4,2960.0886
maze-32-32-4,50,lacam_star_ltm,5,5,1.0,1.185242544024,435.6,184.4,1.0,21575.4,0.0,0.0,0.0,0.0,,,,{},,,
maze-32-32-4,50,oracle_teacher_forced_best_safe_update_static_proxy,5,5,1.0,1.163585877162,426.8,183.6,1.0,21137.8,0.0,0.0,1.0,0.0,0.25,0.75,,"{""commit_heavy"": 3, ""decay_090"": 3, ""wait_heavy"": 3, ""wait_light"": 6}",-0.021656666861999962,-8.800000000000011,-0.8000000000000114
maze-32-32-4,50,repair5d_composite_diagnostic_distilled,5,5,1.0,1.176846472892,437.0,184.4,1.0,21644.4,0.34918,3.0,1.0,0.0,0.25,0.75,,"{""commit_heavy"": 15}",-0.008396071131999916,1.3999999999999773,0.0
maze-32-32-4,50,repair5e3_split_guarded_selector,5,5,1.0,1.185242544024,435.6,184.0,1.0,21575.4,0.38388,3.0,4.0,0.0,0.5714285714285714,0.0,,"{""additive_ltm"": 15}",0.0,0.0,-0.4000000000000057
maze-32-32-4,50,repair5e4_closed_loop_utility_selector,5,5,1.0,1.185242544024,435.6,183.8,1.0,21575.4,0.43238,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 15}",0.0,0.0,-0.5999999999999943
maze-32-32-4,50,repair5e5_crossfold_utility_reranker,5,5,1.0,1.17202051813,423.4,184.6,1.0,21101.8,0.41088,3.0,1.0,0.0,0.25,0.75,,"{""block_heavy"": 15}",-0.0132220258939999,-12.200000000000045,0.19999999999998863
maze-32-32-4,50,repair5e5_crossfold_utility_reranker_force_additive_parity,5,5,1.0,1.185242544024,435.6,186.0,1.0,21575.4,0.0,0.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 15}",0.0,0.0,1.5999999999999943
maze-32-32-4,50,repair5e_caseb_ood_guard_distilled,5,5,1.0,1.185242544024,435.6,184.0,1.0,21575.4,0.34409999999999996,3.0,4.0,0.0,0.5714285714285714,0.0,,"{""additive_ltm"": 15}",0.0,0.0,-0.4000000000000057
maze-32-32-4,100,always_additive_defer,5,5,1.0,1.259743057366,537.6,382.2,1.0,62993.4,0.0,0.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 15}",0.0,0.0,-0.4000000000000341
maze-32-32-4,100,lacam_star,5,5,1.0,1.350963713534,5214.0,3101.42322,1.0,,0.0,0.0,0.0,0.0,,,,{},0.09122065616800001,4676.4,2718.82322
maze-32-32-4,100,lacam_star_ltm,5,5,1.0,1.259743057366,537.6,382.6,1.0,62993.4,0.0,0.0,0.0,0.0,,,,{},,,
maze-32-32-4,100,oracle_teacher_forced_best_safe_update_static_proxy,5,5,1.0,1.246184685418,528.2,382.4,1.0,62653.0,0.0,0.0,1.0,0.0,0.25,0.75,,"{""block_heavy"": 3, ""commit_heavy"": 3, ""decay_090"": 3, ""decay_095"": 3, ""wait_light"": 3}",-0.013558371947999914,-9.399999999999977,-0.20000000000004547
maze-32-32-4,100,repair5d_composite_diagnostic_distilled,5,5,1.0,1.258088470876,523.4,384.2,1.0,62177.6,0.3426,3.0,1.0,0.0,0.25,0.75,,"{""commit_heavy"": 15}",-0.001654586489999943,-14.200000000000045,1.599999999999966
maze-32-32-4,100,repair5e3_split_guarded_selector,5,5,1.0,1.259743057366,537.6,383.0,1.0,62993.4,0.3792,3.0,4.0,0.0,0.5714285714285714,0.0,,"{""additive_ltm"": 15}",0.0,0.0,0.39999999999997726
maze-32-32-4,100,repair5e4_closed_loop_utility_selector,5,5,1.0,1.259743057366,537.6,383.2,1.0,62993.4,0.5179199999999999,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 15}",0.0,0.0,0.5999999999999659
maze-32-32-4,100,repair5e5_crossfold_utility_reranker,5,5,1.0,1.259743057366,537.6,381.6,1.0,62993.4,0.47436,3.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 15}",0.0,0.0,-1.0
maze-32-32-4,100,repair5e5_crossfold_utility_reranker_force_additive_parity,5,5,1.0,1.259743057366,537.6,384.6,1.0,62993.4,0.0,0.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 15}",0.0,0.0,2.0
maze-32-32-4,100,repair5e_caseb_ood_guard_distilled,5,5,1.0,1.259743057366,537.6,384.2,1.0,62993.4,0.3631,3.0,4.0,0.0,0.5714285714285714,0.0,,"{""additive_ltm"": 15}",0.0,0.0,1.599999999999966
random-32-32-20,50,always_additive_defer,5,5,1.0,1.152551037608,229.4,160.2,1.0,14588.4,0.0,0.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 15}",0.0,0.0,-1.0
random-32-32-20,50,lacam_star,5,5,1.0,1.146064960866,10142.4,3148.86672,1.0,,0.0,0.0,0.0,0.0,,,,{},-0.006486076741999858,9913.0,2987.66672
random-32-32-20,50,lacam_star_ltm,5,5,1.0,1.152551037608,229.4,161.2,1.0,14588.4,0.0,0.0,0.0,0.0,,,,{},,,
random-32-32-20,50,oracle_teacher_forced_best_safe_update_static_proxy,5,5,1.0,1.148166444848,204.4,160.8,1.0,10223.2,0.0,0.0,1.0,0.0,0.25,0.75,,"{""block_light"": 3, ""commit_heavy"": 6, ""decay_090"": 3, ""wait_heavy"": 3}",-0.004384592759999917,-25.0,-0.39999999999997726
random-32-32-20,50,repair5d_composite_diagnostic_distilled,5,5,1.0,1.150195965144,218.4,159.0,1.0,12810.2,0.34682,3.0,1.0,0.0,0.25,0.75,,"{""commit_heavy"": 15}",-0.0023550724640000187,-11.0,-2.1999999999999886
random-32-32-20,50,repair5e3_split_guarded_selector,5,5,1.0,1.152551037608,229.4,161.2,1.0,14588.4,0.37486,3.0,4.0,0.0,0.5714285714285714,0.0,,"{""additive_ltm"": 15}",0.0,0.0,0.0
random-32-32-20,50,repair5e4_closed_loop_utility_selector,5,5,1.0,1.157676980172,223.2,160.0,1.0,14262.4,0.43136,3.0,1.0,0.0,0.25,0.75,,"{""decay_090"": 15}",0.005125942564000008,-6.200000000000017,-1.1999999999999886
random-32-32-20,50,repair5e5_crossfold_utility_reranker,5,5,1.0,1.160189815082,232.8,161.8,1.0,14590.8,0.41536,3.0,1.0,0.0,0.25,0.75,,"{""block_heavy"": 6, ""wait_heavy"": 9}",0.007638777474000102,3.4000000000000057,0.6000000000000227
random-32-32-20,50,repair5e5_crossfold_utility_reranker_force_additive_parity,5,5,1.0,1.152551037608,229.4,161.6,1.0,14588.4,0.0,0.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 15}",0.0,0.0,0.4000000000000057
random-32-32-20,50,repair5e_caseb_ood_guard_distilled,5,5,1.0,1.152551037608,229.4,159.8,1.0,14588.4,0.37746,3.0,4.0,0.0,0.5714285714285714,0.0,,"{""additive_ltm"": 15}",0.0,0.0,-1.3999999999999773
random-32-32-20,100,always_additive_defer,5,5,1.0,1.1863313626698,271.4,329.6,1.0,32894.6,0.0,0.0,1.0,0.0,0.25,0.0,,"{""additive_ltm"": 15}",0.0,0.0,0.8000000000000114
random-32-32-20,100,lacam_star,5,5,1.0,1.1903326872938,6802.8,3095.87092,1.0,,0.0,0.0,0.0,0.0,,,,{},0.004001324624000047,6531.400000000001,2767.0709199999997
random-32-32-20,100,lacam_star_ltm,5,5,1.0,1.1863313626698,271.4,328.8,1.0,32894.6,0.0,0.0,0.0,0.0,,,,{},,,
random-32-32-20,100,oracle_teacher_forced_best_safe_update_static_proxy,5,5,1.0,1.1637490592716,249.2,327.2,1.0,27563.2,0.0,0.0,1.0,0.0,0.25,0.75,,"{""block_light"": 3, ""commit_heavy"": 3, ""decay_090"": 3, ""wait_heavy"": 3, ""wait_light"": 3}",-0.0225823033982,-22.19999999999999,-1.6000000000000227
random-32-32-20,100,repair5d_composite_diagnostic_distilled,5,5,1.0,1.1757283331098,290.4,329.4,1.0,38187.0,0.35956,3.0,1.0,0.0,0.25,0.75,,"{""commit_heavy"": 15}",-0.010603029559999921,19.0,0.5999999999999659
random-32-32-20,100,repair5e3_split_guarded_selector,5,5,1.0,1.1863313626698,271.4,331.0,1.0,32894.6,0.3878,3.0,4.0,0.0,0.5714285714285714,0.0,,"{""additive_ltm"": 15}",0.0,0.0,2.1999999999999886
random-32-32-20,100,repair5e4_closed_loop_utility_selector,5,5,1.0,1.1863675087318,269.2,330.4,1.0,32652.8,0.42728,3.0,1.0,0.0,0.25,0.75,,"{""block_heavy"": 15}",3.614606199997539e-05,-2.1999999999999886,1.599999999999966
