candidate_id,support_rows,support_mean_delta_ratio_vs_ltm,support_mean_rank,f4_rows,f4_mean_delta_ratio_vs_ltm,f4_mean_rank,rank_delta_f4_minus_support,is_locked_candidate
additive_ltm,120,0.0,37,120,5.6195863083334056e-05,32,-5,False
c050_b100_w100_d100,120,-0.0012625684808000063,13,120,-0.0006168035555666696,18,5,False
c075_b075_w100_d100,120,-0.0008553619893833483,21,120,1.6504132449994084e-05,31,10,False
c075_b075_w125_d095,120,0.001611760871866652,46,120,-0.00045423041719167185,22,-24,False
c075_b100_w075_d100,120,-0.0007209780272083457,25,120,-0.00018046091295833937,26,1,False
c075_b100_w100_d090,120,-0.0006978138021333421,26,120,-0.0010022954921916664,6,-20,False
c075_b100_w100_d095,120,-0.00046967535263333824,29,120,5.7955372766660404e-05,33,4,False
c075_b100_w100_d100,120,-0.0009297434665500093,19,120,0.002073320156858324,47,28,False
c075_b100_w125_d090,120,0.0009379031911999884,44,120,-6.24148713999989e-05,29,-15,False
c075_b100_w125_d100,120,0.0009679551415333276,45,120,0.000299682389274993,35,-10,False
c075_b125_w100_d090,120,-0.0008131469349666724,22,120,-0.00013559981692500277,28,6,False
c075_b125_w100_d100,120,0.0006953805691166567,41,120,0.0005775634770916563,41,0,False
c075_b125_w125_d095,120,-0.001277396320841672,12,120,0.0003520447478916574,37,25,False
c100_b050_w100_d100,120,-0.000929130413966676,20,120,0.0013432987233749924,46,26,False
c100_b075_w075_d100,120,8.937425529165766e-05,38,120,-0.00024972454347500507,25,-13,False
c100_b075_w100_d090,120,-0.001032953400383348,16,120,-0.0006246295071416746,17,1,False
c100_b075_w100_d095,120,-0.000778127374275008,24,120,-0.0009105810296500011,8,-16,False
c100_b075_w100_d100,120,-0.0024395407769583375,3,120,-0.0007223663832166698,15,12,False
c100_b075_w125_d090,120,-0.0009941827982166806,17,120,0.0004248911980833288,39,22,False
c100_b075_w125_d100,120,-0.0012278357588416703,14,120,0.0006912688643166603,42,28,False
c100_b100_w050_d100,120,-0.0013704622006833376,9,120,-0.0008535900156916678,12,3,False
c100_b100_w075_d090,120,-0.00373264898321668,1,120,-0.00015061684843334182,27,26,True
c100_b100_w075_d095,120,-0.0014573523623666762,5,120,-0.00162373016304167,4,-1,False
c100_b100_w075_d100,120,-0.0013898889178250089,8,120,-0.0008398811590833434,13,5,False
c100_b100_w100_d090,120,0.00010014763114166066,39,120,-0.0009088408942916709,9,-30,False
c100_b100_w100_d095,120,-0.00031604269353334435,30,120,-0.0004793994433083343,21,-9,False
c100_b100_w125_d090,120,-0.0001796357874666754,35,120,-0.0005736743109333374,19,-16,False
c100_b100_w125_d095,120,0.0002265448645333253,40,120,-0.0008826989915166709,11,-29,False
c100_b100_w125_d100,120,-0.0002475417780666641,32,120,0.0007919680350000004,44,12,False
c100_b100_w150_d100,120,0.0009147227575333242,43,120,0.0004953222679333263,40,-3,False
c100_b125_w075_d100,120,-0.0006427626536500031,28,120,-0.0027777015376666734,2,-26,False
c100_b125_w100_d090,120,-0.00020031045774167682,33,120,0.00039754316220833307,38,5,False
c100_b125_w100_d095,120,-0.0006900012097583369,27,120,-0.0004955007459750064,20,-7,False
c100_b125_w100_d100,120,-0.0011979571235250092,15,120,-0.0008892215745000116,10,-5,False
c100_b125_w125_d100,120,0.0007055644754749901,42,120,0.0008606918027333294,45,3,False
c100_b150_w100_d100,120,-0.0013553920487916703,10,120,0.00027815369634166256,34,24,False
c125_b075_w100_d090,120,0.0020245904313666613,47,120,-0.0017090536196500057,3,-44,False
c125_b075_w100_d100,120,-0.00013700361638334472,36,120,0.0003362410282750009,36,0,False
c125_b075_w125_d095,120,-0.0008065138820500158,23,120,-0.0008370722397333469,14,-9,False
c125_b100_w075_d100,120,-0.0013933069246166755,7,120,-0.0009600393375583373,7,0,False
c125_b100_w100_d090,120,-0.0009700340441416747,18,120,-0.0003894054206250025,23,5,False
c125_b100_w100_d095,120,-0.00019776477288333907,34,120,-0.0003394449872416753,24,-10,False
c125_b100_w100_d100,120,-0.0013539852784666664,11,120,-4.0897659408337116e-05,30,19,False
c125_b100_w125_d100,120,-0.002048406686308342,4,120,0.0007221001123250008,43,39,False
c125_b125_w075_d095,120,-0.0014159729267166725,6,120,-0.0028050352278249997,1,-5,False
c125_b125_w100_d100,120,-0.0031756149402166764,2,120,-0.0011600950418750053,5,3,False
c150_b100_w100_d100,120,-0.0002664434948833413,31,120,-0.000715916997775005,16,-15,False
