map,agents,seed,scen,split_bucket,candidate_id,alpha_commit,alpha_block,alpha_wait_spillover,rho_decay,force_additive,construction,old_equivalent_rule,success,sum_of_loss_ratio,delta_ratio_vs_ltm,delta_ratio_vs_repair5e5,expanded_delta_vs_ltm,low_level_pibt_delta_vs_ltm,ttfs_delta_vs_ltm,better_vs_ltm,equal_vs_ltm,worse_vs_ltm
random-32-32-20,50,21,random-32-32-20-random-21.scen,final_holdout,additive_ltm,1.0,1.0,1.0,1.0,True,exact_additive_anchor,additive_ltm,True,1.1421686747,0.0,0.0,0.0,0.0,-19.0,False,True,False
random-32-32-20,50,21,random-32-32-20-random-21.scen,final_holdout,c050_b100_w100_d100,0.5,1.0,1.0,1.0,False,one_axis_alpha_commit,,True,1.1421686747,0.0,0.0,-88.0,-17276.0,-22.0,False,True,False
random-32-32-20,50,21,random-32-32-20-random-21.scen,final_holdout,c075_b075_w100_d100,0.75,0.75,1.0,1.0,False,two_axis_alpha_commit_alpha_block,,True,1.1421686747,0.0,0.0,-106.0,-19774.0,-12.0,False,True,False
random-32-32-20,50,21,random-32-32-20-random-21.scen,final_holdout,c075_b075_w125_d095,0.75,0.75,1.25,0.95,False,conservative_decay_combo,,True,1.1421686747,0.0,0.0,-105.0,-19726.0,-20.0,False,True,False
random-32-32-20,50,21,random-32-32-20-random-21.scen,final_holdout,c075_b100_w075_d100,0.75,1.0,0.75,1.0,False,two_axis_alpha_commit_alpha_wait_spillover,,True,1.1421686747,0.0,0.0,10.0,-114.0,-22.0,False,True,False
random-32-32-20,50,21,random-32-32-20-random-21.scen,final_holdout,c075_b100_w100_d090,0.75,1.0,1.0,0.9,False,decay_interaction_alpha_commit,,True,1.1421686747,0.0,0.0,-4.0,-68.0,-16.0,False,True,False
random-32-32-20,50,21,random-32-32-20-random-21.scen,final_holdout,c075_b100_w100_d095,0.75,1.0,1.0,0.95,False,decay_interaction_alpha_commit,,True,1.1421686747,0.0,0.0,-10.0,383.0,-11.0,False,True,False
random-32-32-20,50,21,random-32-32-20-random-21.scen,final_holdout,c075_b100_w100_d100,0.75,1.0,1.0,1.0,False,one_axis_alpha_commit,,True,1.1421686747,0.0,0.0,-103.0,-19625.0,-16.0,False,True,False
random-32-32-20,50,21,random-32-32-20-random-21.scen,final_holdout,c075_b100_w125_d090,0.75,1.0,1.25,0.9,False,conservative_decay_combo,,True,1.1421686747,0.0,0.0,-101.0,-19480.0,-14.0,False,True,False
random-32-32-20,50,21,random-32-32-20-random-21.scen,final_holdout,c075_b100_w125_d100,0.75,1.0,1.25,1.0,False,two_axis_alpha_commit_alpha_wait_spillover,,True,1.1421686747,0.0,0.0,-108.0,-19874.0,-16.0,False,True,False
random-32-32-20,50,21,random-32-32-20-random-21.scen,final_holdout,c075_b125_w100_d090,0.75,1.25,1.0,0.9,False,conservative_decay_combo,,True,1.1421686747,0.0,0.0,-7.0,-1650.0,-13.0,False,True,False
