agents,c_equiv_delta_ratio_vs_ltm,classification,flow_shield_hurts_c_equiv_safe,joint_ltm_classification,map,seed,selector_avoids_harm_vs_static,selector_delta_ratio_vs_ltm,selector_minus_static,selector_missed_gain_vs_static,selector_source_method,static_delta_ratio_vs_ltm
50,-0.020174232000000014,selector_static_tie,False,both_win_or_tie_ltm,maze-32-32-4,46,False,-0.04493351673000001,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.04493351673000001
50,0.0035195776500001053,selector_static_tie,False,both_lose_to_ltm,maze-32-32-4,47,False,0.00043994720000006815,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0.00043994720000006815
50,0.025487256380000156,selector_static_tie,False,both_lose_to_ltm,maze-32-32-4,48,False,0.00899550225000012,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0.00899550225000012
50,0.03160493826999988,selector_static_tie,False,both_win_or_tie_ltm,maze-32-32-4,49,False,-0.026172839510000045,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.026172839510000045
50,-0.01551139118,selector_static_tie,False,both_win_or_tie_ltm,maze-32-32-4,50,False,-0.02326708677,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.02326708677
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,maze-32-32-4,51,False,-0.00961538462,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.00961538462
50,0.007035647279999946,selector_static_tie,False,both_win_or_tie_ltm,maze-32-32-4,52,False,-0.023921200750000038,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.023921200750000038
50,0.012787723790000038,selector_static_tie,False,both_win_or_tie_ltm,maze-32-32-4,53,False,-0.010230179020000119,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.010230179020000119
50,-0.011246485469999845,selector_static_tie,False,both_win_or_tie_ltm,maze-32-32-4,54,False,-0.031396438609999855,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.031396438609999855
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,maze-32-32-4,55,False,-0.015197568390000082,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.015197568390000082
50,-0.0045289855099999166,selector_static_tie,False,both_win_or_tie_ltm,maze-32-32-4,56,False,-0.038949275360000035,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.038949275360000035
50,-0.005803571429999987,selector_static_tie,False,both_win_or_tie_ltm,maze-32-32-4,57,False,-0.025892857150000115,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,-0.025892857150000115
50,0.0,selector_static_tie,False,both_win_or_tie_ltm,maze-32-32-4,58,False,0.0,0.0,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0.0
