better,equal,mean_delta_ratio_vs_ltm,method,rows,worse
6,141,0.00030605698542253597,always_additive_defer,150,1
7,136,0.0002981308523913052,laur_disable,150,5
6,134,0.0003025151296323538,laur_force_additive_direct,150,7
40,71,1.6836685478576515e-05,repair5f4_best_static_c125_b125_w075_d095_diagnostic_only,150,37
6,137,0.00029598602611510875,repair5f_candidate_additive_ltm,150,4
40,76,-0.0005690420406595729,repair5f_static_c100_b100_w075_d090,150,33
39,78,-0.0012846890406056246,repair5g1_agent_c100_b100_w075_d095_lf0p025_min0p75,150,31
45,68,-0.0025711690953357075,repair5g1_agent_c100_b100_w075_d095_lf0p05_min0p75,150,34
43,71,-0.0002762986528226894,repair5g1_agent_c100_b125_w075_d100_lf0p025_min0p75,150,34
44,73,-0.002052056776866199,repair5g1_agent_c100_b125_w075_d100_lf0p05_min0p75,150,31
45,71,-0.00014994617286523876,repair5g1_agent_c125_b125_w075_d095_lf0p025_min0p75,150,31
41,71,-0.0026280318851654594,repair5g1_agent_c125_b125_w075_d095_lf0p05_min0p75,150,35
41,73,-0.0025418910952127597,repair5g1_random_static_diagnostic,150,32
55,68,-0.0048755544885248185,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p25,150,24
52,68,-0.0029690314769428485,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p5,150,27
52,68,-0.0029690314769428485,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p75,150,27
56,72,-0.0049471558021418425,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p25,150,20
60,61,-0.0067460846194326235,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p5,150,28
61,57,-0.006749017596214282,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p75,150,30
54,62,-0.003237901054992859,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p25,150,32
65,56,-0.00863692933782608,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p5,150,27
77,49,-0.013519009546617016,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p75,150,22
55,65,-0.005320046772892081,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p25,150,28
70,59,-0.00990995358390844,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p5,150,19
81,46,-0.017827223994999995,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p75,150,20
50,72,-0.004098155769253519,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p25,150,25
48,71,-0.001515877488723401,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p5,150,28
48,71,-0.001515877488723401,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p75,150,28
54,68,-0.006841195413751776,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p25,150,26
61,65,-0.006669832194808511,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p5,150,23
62,63,-0.007946352592246473,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p75,150,22
56,68,-0.00372962195327464,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p25,150,25
65,65,-0.010708966397690135,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p5,150,19
76,49,-0.013985886479113474,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,150,24
51,70,-0.004501930246338025,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p25,150,27
71,60,-0.010163484017673753,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p5,150,16
86,43,-0.016762164801661966,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,150,19
43,72,-0.00360515495706383,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p25,150,32
52,66,-0.0058806940304857,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p5,150,28
53,67,-0.005838986980624098,repair5g1_shield_c125_b125_w075_d095_beta0p05_max0p75,150,27
55,70,-0.006302904985697184,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p25,150,22
57,61,-0.008510910319807137,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p5,150,29
60,57,-0.00846950278663571,repair5g1_shield_c125_b125_w075_d095_beta0p1_max0p75,150,29
56,63,-0.0052834336506099285,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p25,150,29
74,56,-0.012404121359649993,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,150,18
79,47,-0.015032607396028557,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p75,150,22
52,67,-0.005141131922414285,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p25,150,29
70,55,-0.0100750208051357,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p5,150,22
88,41,-0.019722668544262405,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,150,19
54,63,-0.005229342665735709,repair5g2_random_candidate_diagnostic,150,30
79,51,-0.012939638660435713,repair5g2_shuffled_flow_shield_diagnostic,150,19
76,54,-0.012461178586673758,repair5g2_shuffled_goal_progress_diagnostic,150,19
7,134,0.0004893022714492767,repair5g_dual_additive_parity,150,7
7,133,0.0014319704335766428,repair5g_dual_c_equiv_additive,150,8
38,74,8.117629393525359e-05,repair5g_dual_c_equiv_c100_b100_w075_d090,150,35
34,79,-0.0005833508552340434,repair5g_dual_c_equiv_c100_b100_w075_d095,150,34
42,76,-0.0014167751446142773,repair5g_dual_c_equiv_c100_b100_w075_d100,150,30
37,76,-1.3029253249998866e-05,repair5g_dual_c_equiv_c100_b125_w075_d100,150,34
39,71,1.6836685478576515e-05,repair5g_dual_c_equiv_c125_b125_w075_d095,150,37
