better,bootstrap,equal,mean_delta_ratio_vs_ltm,median_delta_ratio_vs_ltm,method,ratio_worse_than_ltm_groups,repeat_index,rows,success_worse_than_ltm_groups,worse
0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",50,0.0,0.0,always_additive_defer,0,0,60,0,1
0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",50,0.0,0.0,laur_disable,0,0,60,0,1
0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",50,0.0,0.0,laur_force_additive_direct,0,0,60,0,1
0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",50,0.0,0.0,repair5f_candidate_additive_ltm,0,0,60,0,1
29,"{'mean': -0.015282096445019993, 'ci_low': -0.02481550510657998, 'ci_high': -0.0060809629480599895, 'prob_mean_lt_0': 0.999, 'samples': 2000}",13,-0.015282096445019993,-0.008658968530000033,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,1,0,60,0,10
21,"{'mean': -0.005966646111862743, 'ci_low': -0.012070089276764699, 'ci_high': -5.323188586274045e-05, 'prob_mean_lt_0': 0.9755, 'samples': 2000}",20,-0.005966646111862743,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,1,0,60,0,10
26,"{'mean': -0.016921580230620004, 'ci_low': -0.026009888818600006, 'ci_high': -0.008021139123319983, 'prob_mean_lt_0': 1.0, 'samples': 2000}",14,-0.016921580230620004,-0.0050895080449999686,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,1,0,60,0,11
26,"{'mean': -0.016921580230620004, 'ci_low': -0.026009888818600006, 'ci_high': -0.008021139123319983, 'prob_mean_lt_0': 1.0, 'samples': 2000}",14,-0.016921580230620004,-0.0050895080449999686,repair5g2_best_frozen_static_candidate,1,0,60,0,11
7,"{'mean': 0.0037930677739200047, 'ci_low': 0.0003283714116400072, 'ci_high': 0.007526725536320018, 'prob_mean_lt_0': 0.016, 'samples': 2000}",27,0.0037930677739200047,0.0,repair5g2_c_equiv_best_frozen_baseline,3,0,60,0,18
31,"{'mean': -0.01708542989682, 'ci_low': -0.025434220365000017, 'ci_high': -0.008934702046399989, 'prob_mean_lt_0': 1.0, 'samples': 2000}",14,-0.01708542989682,-0.008291067749999992,repair5g2_frozen_static_or_selector,1,0,60,0,7
26,"{'mean': -0.016921580230620004, 'ci_low': -0.026009888818600006, 'ci_high': -0.008021139123319983, 'prob_mean_lt_0': 1.0, 'samples': 2000}",14,-0.016921580230620004,-0.0050895080449999686,repair5g2_g1_top_diagnostic_candidate,1,0,60,0,11
15,"{'mean': -0.004465397674294111, 'ci_low': -0.011659864625588223, 'ci_high': 0.0019946040009019505, 'prob_mean_lt_0': 0.9045, 'samples': 2000}",21,-0.004465397674294111,0.0,repair5g2_random_candidate_diagnostic,1,0,60,0,15
26,"{'mean': -0.014813387091539999, 'ci_low': -0.024183299506920008, 'ci_high': -0.005295401281180005, 'prob_mean_lt_0': 0.998, 'samples': 2000}",14,-0.014813387091539999,-0.005657115640000043,repair5g2_shuffled_flow_shield_diagnostic,1,0,60,0,11
0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",50,0.0,0.0,repair5g_dual_additive_parity,0,0,60,0,1
1,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",50,0.0,0.0,repair5g_dual_c_equiv_additive,0,0,60,0,1
8,"{'mean': 0.004114194416379999, 'ci_low': 0.0005434878036799917, 'ci_high': 0.008053912227560005, 'prob_mean_lt_0': 0.0145, 'samples': 2000}",25,0.004114194416379999,0.0,repair5g_dual_c_equiv_c100_b100_w075_d095,3,0,60,0,18
7,"{'mean': 0.0037930677739200047, 'ci_low': 0.0003283714116400072, 'ci_high': 0.007526725536320018, 'prob_mean_lt_0': 0.016, 'samples': 2000}",27,0.0037930677739200047,0.0,repair5g_dual_c_equiv_c100_b100_w075_d100,3,0,60,0,18
1,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",50,0.0,0.0,always_additive_defer,0,1,60,0,0
0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",50,0.0,0.0,laur_disable,0,1,60,0,0
1,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",50,0.0,0.0,laur_force_additive_direct,0,1,60,0,0
2,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",50,0.0,0.0,repair5f_candidate_additive_ltm,0,1,60,0,0
31,"{'mean': -0.015282096445019993, 'ci_low': -0.02481550510657998, 'ci_high': -0.0060809629480599895, 'prob_mean_lt_0': 0.999, 'samples': 2000}",13,-0.015282096445019993,-0.008658968530000033,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,1,1,60,0,9
21,"{'mean': -0.006085979034099997, 'ci_low': -0.012190436624039997, 'ci_high': -5.3820477239985286e-05, 'prob_mean_lt_0': 0.9755, 'samples': 2000}",19,-0.006085979034099997,0.0,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,1,1,60,0,10
27,"{'mean': -0.016921580230620004, 'ci_low': -0.026009888818600006, 'ci_high': -0.008021139123319983, 'prob_mean_lt_0': 1.0, 'samples': 2000}",14,-0.016921580230620004,-0.0050895080449999686,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,1,1,60,0,10
27,"{'mean': -0.016921580230620004, 'ci_low': -0.026009888818600006, 'ci_high': -0.008021139123319983, 'prob_mean_lt_0': 1.0, 'samples': 2000}",14,-0.016921580230620004,-0.0050895080449999686,repair5g2_best_frozen_static_candidate,1,1,60,0,10
7,"{'mean': 0.003240581586120006, 'ci_low': -0.00025388551299999397, 'ci_high': 0.007003605915040016, 'prob_mean_lt_0': 0.0325, 'samples': 2000}",27,0.003240581586120006,0.0,repair5g2_c_equiv_best_frozen_baseline,3,1,60,0,16
33,"{'mean': -0.01708542989682, 'ci_low': -0.025434220365000017, 'ci_high': -0.008934702046399989, 'prob_mean_lt_0': 1.0, 'samples': 2000}",14,-0.01708542989682,-0.008291067749999992,repair5g2_frozen_static_or_selector,1,1,60,0,6
27,"{'mean': -0.016921580230620004, 'ci_low': -0.026009888818600006, 'ci_high': -0.008021139123319983, 'prob_mean_lt_0': 1.0, 'samples': 2000}",14,-0.016921580230620004,-0.0050895080449999686,repair5g2_g1_top_diagnostic_candidate,1,1,60,0,10
23,"{'mean': -0.00801997449740001, 'ci_low': -0.0167089645086, 'ci_high': 0.0006033429993000095, 'prob_mean_lt_0': 0.9695, 'samples': 2000}",15,-0.00801997449740001,0.0,repair5g2_random_candidate_diagnostic,1,1,60,0,13
26,"{'mean': -0.013878315921339996, 'ci_low': -0.02350728195687999, 'ci_high': -0.004078940695059989, 'prob_mean_lt_0': 0.996, 'samples': 2000}",15,-0.013878315921339996,-0.002664298405000043,repair5g2_shuffled_flow_shield_diagnostic,1,1,60,0,10
0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",50,0.0,0.0,repair5g_dual_additive_parity,0,1,60,0,0
3,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'prob_mean_lt_0': 0.0, 'samples': 2000}",50,0.0,0.0,repair5g_dual_c_equiv_additive,0,1,60,0,0
8,"{'mean': 0.004208906334179998, 'ci_low': 0.0006697501721799926, 'ci_high': 0.008112319824579996, 'prob_mean_lt_0': 0.0105, 'samples': 2000}",25,0.004208906334179998,0.0,repair5g_dual_c_equiv_c100_b100_w075_d095,3,1,60,0,17
