aaai_ready,agents,candidate_id,candidate_recognized,context_id,delta_vs_additive_in_same_context,delta_vs_static_in_same_context,forbidden_feature_audit_passed,is_best_candidate_in_context,iteration,map,method,normalized_context_key,oracle_gap_vs_static,phase5p5_allowed,phase6_allowed,probe_expanded_nodes,probe_feasible,probe_low_level_pibt_calls,probe_lower_bound,probe_runtime_ms,probe_solution_found,probe_sum_of_loss,probe_sum_of_loss_ratio,resolved_candidate_id,scen,schema_version,seed,short_budget_ms,trace_event_count,traffic_before_hash_full,updateparams_fingerprint,updateparams_hash
False,50,repair5g516_slow_decay_safer_beta025_cap050,True,maze-32-32-4|a50|s151|it0|repair5g517_adapter_smoke_static_context,0,0,True,True,0,maze-32-32-4,repair5g517_adapter_smoke_static_context,maze-32-32-4|a50|s151|it0|14650fb0739d0383,0,False,False,101,True,4999,2115,309.9682,True,2597,1.22789598109,repair5g516_slow_decay_safer_beta025_cap050,maze-32-32-4-random-151.scen,phase5p5_repair5g54_counterfactual_update_probe_v1,151,1000,7438,14650fb0739d0383,alpha_commit=1.25|alpha_block=1.25|alpha_wait_spillover=0.75|rho_decay=0.92000000000000004|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.25|alpha_cong_commit_nonprogress=1.25|alpha_cong_block=1.25|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.92000000000000004|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.25|max_flow_shield=0.5,e1ac3330a2f1806
False,50,repair5g516_slow_decay_safer_beta020_cap045,True,maze-32-32-4|a50|s151|it0|repair5g517_adapter_smoke_static_context,0.0278959810875,0.0278959810875,True,False,0,maze-32-32-4,repair5g517_adapter_smoke_static_context,maze-32-32-4|a50|s151|it0|14650fb0739d0383,0,False,False,116,True,5741,2115,303.5228,True,2656,1.25579196217,repair5g516_slow_decay_safer_beta020_cap045,maze-32-32-4-random-151.scen,phase5p5_repair5g54_counterfactual_update_probe_v1,151,1000,7438,14650fb0739d0383,alpha_commit=1.2|alpha_block=1.2|alpha_wait_spillover=0.75|rho_decay=0.90000000000000002|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.2|alpha_cong_commit_nonprogress=1.2|alpha_cong_block=1.2|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.90000000000000002|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.20000000000000001|max_flow_shield=0.45000000000000001,c0bb1c99ba6513f0
False,50,repair5g516_slow_decay_safer_beta015_cap040,True,maze-32-32-4|a50|s151|it0|repair5g517_adapter_smoke_static_context,0.0269503546099,0.0269503546099,True,False,0,maze-32-32-4,repair5g517_adapter_smoke_static_context,maze-32-32-4|a50|s151|it0|14650fb0739d0383,0,False,False,116,True,5741,2115,323.8729,True,2654,1.2548463357,repair5g516_slow_decay_safer_beta015_cap040,maze-32-32-4-random-151.scen,phase5p5_repair5g54_counterfactual_update_probe_v1,151,1000,7438,14650fb0739d0383,alpha_commit=1.1499999999999999|alpha_block=1.1499999999999999|alpha_wait_spillover=0.75|rho_decay=0.88|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.1499999999999999|alpha_cong_commit_nonprogress=1.1499999999999999|alpha_cong_block=1.1499999999999999|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.88|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.14999999999999999|max_flow_shield=0.40000000000000002,ad389d4a1b20f922
False,50,repair5g516_wait_aggressive_low_cap,True,maze-32-32-4|a50|s151|it0|repair5g517_adapter_smoke_static_context,0.00330969267139,0.00330969267139,True,False,0,maze-32-32-4,repair5g517_adapter_smoke_static_context,maze-32-32-4|a50|s151|it0|14650fb0739d0383,0,False,False,104,True,5149,2115,305.4897,True,2604,1.23120567376,repair5g516_wait_aggressive_low_cap,maze-32-32-4-random-151.scen,phase5p5_repair5g54_counterfactual_update_probe_v1,151,1000,7438,14650fb0739d0383,alpha_commit=1|alpha_block=1|alpha_wait_spillover=1.25|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=1.25|alpha_cong_wait_nonprogress=1.25|alpha_flow_commit_progress=1.05|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=0.94999999999999996|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.20000000000000001|max_flow_shield=0.5,e353d92a640fc00
False,50,repair5g516_wait_conservative_mid_cap,True,maze-32-32-4|a50|s151|it0|repair5g517_adapter_smoke_static_context,0.0316784869976,0.0316784869976,True,False,0,maze-32-32-4,repair5g517_adapter_smoke_static_context,maze-32-32-4|a50|s151|it0|14650fb0739d0383,0,False,False,120,True,5940,2115,295.7962,True,2664,1.25957446809,repair5g516_wait_conservative_mid_cap,maze-32-32-4-random-151.scen,phase5p5_repair5g54_counterfactual_update_probe_v1,151,1000,7438,14650fb0739d0383,alpha_commit=1|alpha_block=1|alpha_wait_spillover=1.05|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=1.05|alpha_cong_wait_nonprogress=1.05|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=0.97999999999999998|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.17999999999999999|max_flow_shield=0.45000000000000001,1207fad14b37885b
False,50,repair5g516_wait_aggressive_fast_flow_decay,True,maze-32-32-4|a50|s151|it0|repair5g517_adapter_smoke_static_context,0.00756501182033,0.00756501182033,True,False,0,maze-32-32-4,repair5g517_adapter_smoke_static_context,maze-32-32-4|a50|s151|it0|14650fb0739d0383,0,False,False,99,True,4899,2115,292.8014,True,2613,1.23546099291,repair5g516_wait_aggressive_fast_flow_decay,maze-32-32-4-random-151.scen,phase5p5_repair5g54_counterfactual_update_probe_v1,151,1000,7438,14650fb0739d0383,alpha_commit=1|alpha_block=1|alpha_wait_spillover=1.3|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=1.3|alpha_cong_wait_nonprogress=1.3|alpha_flow_commit_progress=1.1000000000000001|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=0.90000000000000002|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.17999999999999999|max_flow_shield=0.45000000000000001,bcaef427796ab35e
False,50,repair5g516_commit_heavy_low_beta,True,maze-32-32-4|a50|s151|it0|repair5g517_adapter_smoke_static_context,0.0189125295508,0.0189125295508,True,False,0,maze-32-32-4,repair5g517_adapter_smoke_static_context,maze-32-32-4|a50|s151|it0|14650fb0739d0383,0,False,False,100,True,4949,2115,419.3623,True,2637,1.24680851064,repair5g516_commit_heavy_low_beta,maze-32-32-4-random-151.scen,phase5p5_repair5g54_counterfactual_update_probe_v1,151,1000,7438,14650fb0739d0383,alpha_commit=1.45|alpha_block=0.90000000000000002|alpha_wait_spillover=0.80000000000000004|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.45|alpha_cong_commit_nonprogress=1.45|alpha_cong_block=0.90000000000000002|alpha_cong_wait_progress=0.80000000000000004|alpha_cong_wait_nonprogress=0.80000000000000004|alpha_flow_commit_progress=1.1000000000000001|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.17999999999999999|max_flow_shield=0.45000000000000001,f5070c27654054e9
False,50,repair5g516_commit_heavy_static_guard,True,maze-32-32-4|a50|s151|it0|repair5g517_adapter_smoke_static_context,0.0203309692671,0.0203309692671,True,False,0,maze-32-32-4,repair5g517_adapter_smoke_static_context,maze-32-32-4|a50|s151|it0|14650fb0739d0383,0,False,False,100,True,4948,2115,430.7571,True,2640,1.24822695035,repair5g516_commit_heavy_static_guard,maze-32-32-4-random-151.scen,phase5p5_repair5g54_counterfactual_update_probe_v1,151,1000,7438,14650fb0739d0383,alpha_commit=1.3500000000000001|alpha_block=0.90000000000000002|alpha_wait_spillover=0.75|rho_decay=0.92000000000000004|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.3500000000000001|alpha_cong_commit_nonprogress=1.3500000000000001|alpha_cong_block=0.90000000000000002|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=1.05|alpha_flow_wait_progress=0|rho_cong_decay=0.92000000000000004|rho_flow_decay=0.97999999999999998|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.14999999999999999|max_flow_shield=0.34999999999999998,f94da7ea746f1a7f
False,50,repair5g516_static_boundary_light_flow,True,maze-32-32-4|a50|s151|it0|repair5g517_adapter_smoke_static_context,0.0401891252955,0.0401891252955,True,False,0,maze-32-32-4,repair5g517_adapter_smoke_static_context,maze-32-32-4|a50|s151|it0|14650fb0739d0383,0,False,False,143,True,7100,2115,461.3545,True,2682,1.26808510638,repair5g516_static_boundary_light_flow,maze-32-32-4-random-151.scen,phase5p5_repair5g54_counterfactual_update_probe_v1,151,1000,7438,14650fb0739d0383,alpha_commit=1|alpha_block=1|alpha_wait_spillover=0.90000000000000002|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=0.90000000000000002|alpha_cong_wait_nonprogress=0.90000000000000002|alpha_flow_commit_progress=1|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=1|max_edge_cost=11|goal_projection_mode=flow_shield|flow_shield_beta=0.10000000000000001|max_flow_shield=0.25,b820605f2650cb1f
False,50,repair5g516_static_boundary_c_only,True,maze-32-32-4|a50|s151|it0|repair5g517_adapter_smoke_static_context,0.14231678487,0.14231678487,True,False,0,maze-32-32-4,repair5g517_adapter_smoke_static_context,maze-32-32-4|a50|s151|it0|14650fb0739d0383,0,False,False,149,True,7396,2115,394.9823,True,2898,1.37021276596,repair5g516_static_boundary_c_only,maze-32-32-4-random-151.scen,phase5p5_repair5g54_counterfactual_update_probe_v1,151,1000,7438,14650fb0739d0383,alpha_commit=1.05|alpha_block=1.05|alpha_wait_spillover=0.75|rho_decay=0.94999999999999996|force_additive=0|enable_dual_channel=1|alpha_cong_commit_progress=1.05|alpha_cong_commit_nonprogress=1.05|alpha_cong_block=1.05|alpha_cong_wait_progress=0.75|alpha_cong_wait_nonprogress=0.75|alpha_flow_commit_progress=0|alpha_flow_wait_progress=0|rho_cong_decay=0.94999999999999996|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=0.25|max_edge_cost=11|goal_projection_mode=none|flow_shield_beta=0|max_flow_shield=0,cee503e254ab22ff
