candidate_id,is_repair5g516_candidate,rows,finite_rows,oracle_win_count,mean_score,mean_delta_vs_static,helpful_vs_static_count,harmful_vs_static_count
repair5g516_commit_heavy_low_beta,True,40,38,0,1.305164766420526,0.041111400976927885,4,32
repair5g516_commit_heavy_static_guard,True,40,36,0,1.3111735148649997,0.04805238028362444,2,34
repair5g516_slow_decay_safer_beta015_cap040,True,40,36,0,1.3045783578699992,0.04135198971760294,4,30
repair5g516_slow_decay_safer_beta020_cap045,True,40,36,0,1.2919273577988886,0.02891145678786889,6,28
repair5g516_slow_decay_safer_beta025_cap050,True,40,37,0,1.2905062870354052,0.02804105764147838,6,31
repair5g516_static_boundary_c_only,True,40,38,0,1.339388486821579,0.07533512137774472,2,36
repair5g516_static_boundary_light_flow,True,40,36,0,1.3179498785344441,0.05493397752352501,2,34
repair5g516_wait_aggressive_fast_flow_decay,True,40,37,0,1.312313395978108,0.046512192292058115,4,33
repair5g516_wait_aggressive_low_cap,True,40,37,0,1.3043227504332437,0.042165338770709736,4,31
repair5g516_wait_conservative_mid_cap,True,40,37,0,1.3002075692951354,0.038050157632027015,4,31
repair5g59_additive_fallback,False,40,36,0,1.3415026618483334,0.07848676083800672,0,33
repair5g59_block_heavy_flow_guard,False,40,38,8,1.2462614215378942,-0.0177919439054942,26,10
repair5g59_c_only_f_disabled,False,40,36,0,1.330936310258333,0.06947462432671085,0,33
repair5g59_commit_heavy_flow_guard,False,40,36,2,1.2576171741177775,-0.0038445118152627775,11,16
repair5g59_fast_decay_low_shield,False,40,36,0,1.2904287828225003,0.036478566757903945,5,29
repair5g59_flow_decay,False,40,36,2,1.2539502160661111,0.0,0,0
repair5g59_high_beta_cap_safe,False,40,34,0,1.2416548752941172,-0.011527788374638059,23,5
repair5g59_light_cong_light_flow,False,40,36,0,1.2896009280458334,0.027360318702472224,6,28
repair5g59_low_beta_high_cap,False,40,35,6,1.267577658174286,0.014456532991504003,10,22
repair5g59_slow_decay_high_shield,False,40,37,6,1.2952956773897295,0.03260375163139082,12,25
repair5g59_static_abstain_candidate,False,40,37,0,1.2554758197810811,0.0,0,0
repair5g59_static_flow_shield,False,40,37,0,1.2554758197810811,0.0,0,0
repair5g59_wait_aggressive,False,40,35,6,1.244064222622286,-0.017243149866495156,22,7
repair5g59_wait_conservative,False,40,37,8,1.245197412472162,-0.017267816922737027,24,9
