candidate_id,candidate_family,is_old14_control,is_repair5g516_candidate,rows,finite_rows,infeasible_or_no_solution_rows,oracle_win_count,mean_score,mean_delta_vs_static,min_delta_vs_static,max_delta_vs_static,helpful_vs_static_count,harmful_vs_static_count,mean_rank,rank_le_3_count,nearest_old_candidate,nearest_old_param_distance,better_than_nearest_old_rows,tied_nearest_old_rows,worse_than_nearest_old_rows,dominated_by_nearest_old,failure_mode,alpha_cong_committed,alpha_cong_blocked,alpha_flow_progress,alpha_flow_wait_or_nonprogress,rho_cong,rho_flow,flow_shield_beta,max_flow_shield,c_only
repair5g516_commit_heavy_low_beta,commit_heavy,False,True,40,38,2,0,1.305164766420526,0.041111400976927885,-0.0907814693496,0.120833333333,4,32,15.078947368421053,0,repair5g59_commit_heavy_flow_guard,0.3793415347678132,0,0,36,True,dominated_by_nearest_old,1.45,0.9,1.1,0.8,0.95,1.0,0.18,0.45,False
repair5g516_commit_heavy_static_guard,commit_heavy,False,True,40,36,4,0,1.3111735148649997,0.04805238028362444,-0.080486663547,0.0970079476391,2,34,17.305555555555557,0,repair5g59_fast_decay_low_shield,0.4009987531152685,2,5,27,False,harmful_more_than_helpful,1.35,0.9,1.05,0.75,0.92,0.98,0.15,0.35,False
repair5g516_slow_decay_safer_beta015_cap040,flow_decay,False,True,40,36,4,0,1.3045783578699992,0.04135198971760294,-0.116284510997,0.142046855734,4,30,15.75,0,repair5g59_fast_decay_low_shield,0.18138357147217063,7,8,19,False,harmful_more_than_helpful,1.15,1.15,1.0,0.75,0.88,1.0,0.15,0.4,False
repair5g516_slow_decay_safer_beta020_cap045,flow_decay,False,True,40,36,4,0,1.2919273577988886,0.02891145678786889,-0.131258773982,0.0971443141254,6,28,12.11111111111111,0,repair5g59_fast_decay_low_shield,0.0866025403784439,17,6,11,False,harmful_more_than_helpful,1.2,1.2,1.0,0.75,0.9,1.0,0.2,0.45,False
repair5g516_slow_decay_safer_beta025_cap050,flow_decay,False,True,40,37,3,0,1.2905062870354052,0.02804105764147838,-0.110201216659,0.0833758286588,6,31,11.837837837837839,0,repair5g59_fast_decay_low_shield,0.053851648071345036,17,8,10,False,harmful_more_than_helpful,1.25,1.25,1.0,0.75,0.92,1.0,0.25,0.5,False
repair5g516_static_boundary_c_only,static_boundary,False,True,40,38,2,0,1.339388486821579,0.07533512137774472,-0.0807206364062,0.156217882837,2,36,20.92105263157895,0,repair5g59_c_only_f_disabled,1.0392304845413265,9,4,23,False,harmful_more_than_helpful,1.05,1.05,1.0,0.75,0.95,1.0,0.0,0.0,True
repair5g516_static_boundary_light_flow,static_boundary,False,True,40,36,4,0,1.3179498785344441,0.05493397752352501,-0.0685540477305,0.102530991736,2,34,19.11111111111111,0,repair5g59_light_cong_light_flow,0.41340053217188777,3,0,31,False,harmful_more_than_helpful,1.0,1.0,1.0,0.9,0.95,1.0,0.1,0.25,False
repair5g516_wait_aggressive_fast_flow_decay,wait_aggressive,False,True,40,37,3,0,1.312313395978108,0.046512192292058115,-0.0339260645765,0.0919852034525,4,33,15.486486486486486,0,repair5g59_wait_aggressive,0.5948949487094339,0,0,34,True,dominated_by_nearest_old,1.0,1.0,1.1,1.3,0.95,0.9,0.18,0.45,False
repair5g516_wait_aggressive_low_cap,wait_aggressive,False,True,40,37,3,0,1.3043227504332437,0.042165338770709736,-0.155591951334,0.10752688172,4,31,15.027027027027026,2,repair5g59_wait_aggressive,0.5267826876426369,0,2,32,True,dominated_by_nearest_old,1.0,1.0,1.05,1.25,0.95,0.95,0.2,0.5,False
repair5g516_wait_conservative_mid_cap,wait_conservative,False,True,40,37,3,0,1.3002075692951354,0.038050157632027015,-0.117220402433,0.106885919836,4,31,14.18918918918919,0,repair5g59_light_cong_light_flow,0.4014971979976947,8,12,15,False,harmful_more_than_helpful,1.0,1.0,1.0,1.05,0.95,0.98,0.18,0.45,False
repair5g59_additive_fallback,additive,True,False,40,36,4,0,1.3415026618483334,0.07848676083800672,-0.000516262261229,0.163412127441,0,33,21.22222222222222,0,,,0,0,0,False,control_or_winner,,,,,,,,,
repair5g59_block_heavy_flow_guard,block_heavy,True,False,40,38,2,8,1.2462614215378942,-0.0177919439054942,-0.140851661207,0.0371428571429,26,10,4.2631578947368425,18,,,0,0,0,False,control_or_winner,1.0,1.5,1.0,0.5,0.95,1.0,0.35,0.75,False
repair5g59_c_only_f_disabled,static_boundary,True,False,40,36,4,0,1.330936310258333,0.06947462432671085,-0.00140383715489,0.15210688592,0,33,19.583333333333332,0,,,0,0,0,False,control_or_winner,1.25,1.25,0.0,0.75,0.95,1.0,0.0,0.0,True
repair5g59_commit_heavy_flow_guard,commit_heavy,True,False,40,36,4,2,1.2576171741177775,-0.0038445118152627775,-0.128685072532,0.036,11,16,6.638888888888889,7,,,0,0,0,False,control_or_winner,1.5,1.0,1.0,0.75,0.95,1.0,0.35,0.75,False
repair5g59_fast_decay_low_shield,flow_decay,True,False,40,36,4,0,1.2904287828225003,0.036478566757903945,-0.0596630790828,0.0831072749692,5,29,13.472222222222221,0,,,0,0,0,False,control_or_winner,1.25,1.25,1.0,0.75,0.9,1.0,0.2,0.5,False
repair5g59_flow_decay,flow_decay,True,False,40,36,4,2,1.2539502160661111,0.0,0.0,0.0,0,0,6.0,10,,,0,0,0,False,control_or_winner,1.25,1.25,1.0,0.75,0.95,0.95,0.35,0.75,False
repair5g59_high_beta_cap_safe,high_beta,True,False,40,34,6,0,1.2416548752941172,-0.011527788374638059,-0.0565262076053,0.0362760020294,23,5,5.264705882352941,15,,,0,0,0,False,control_or_winner,1.25,1.25,1.0,0.75,0.95,1.0,0.6,0.75,False
repair5g59_light_cong_light_flow,static_boundary,True,False,40,36,4,0,1.2896009280458334,0.027360318702472224,-0.121899859616,0.0932182490752,6,28,12.666666666666666,0,,,0,0,0,False,control_or_winner,1.0,1.0,0.75,0.75,0.98,1.0,0.25,0.5,False
repair5g59_low_beta_high_cap,low_beta_high_cap,True,False,40,35,5,6,1.267577658174286,0.014456532991504003,-0.0820348304308,0.217262638718,10,22,9.285714285714286,10,,,0,0,0,False,control_or_winner,1.25,1.25,1.0,0.75,0.95,1.0,0.2,1.25,False
repair5g59_slow_decay_high_shield,flow_decay,True,False,40,37,3,6,1.2952956773897295,0.03260375163139082,-0.0875343721357,0.277293695541,12,25,10.405405405405405,10,,,0,0,0,False,control_or_winner,1.25,1.25,1.0,0.75,0.98,1.0,0.5,1.0,False
repair5g59_static_abstain_candidate,static,True,False,40,37,3,0,1.2554758197810811,0.0,0.0,0.0,0,0,6.945945945945946,6,,,0,0,0,False,control_or_winner,1.25,1.25,1.0,0.75,0.95,1.0,0.35,0.75,False
repair5g59_static_flow_shield,static,True,False,40,37,3,0,1.2554758197810811,0.0,0.0,0.0,0,0,7.945945945945946,2,,,0,0,0,False,control_or_winner,1.25,1.25,1.0,0.75,0.95,1.0,0.35,0.75,False
repair5g59_wait_aggressive,wait_aggressive,True,False,40,35,5,6,1.244064222622286,-0.017243149866495156,-0.158399625643,0.0192402565368,22,7,4.485714285714286,14,,,0,0,0,False,control_or_winner,1.25,1.25,1.0,1.0,0.95,1.0,0.35,0.75,False
