candidate_id,candidate_family,candidate_source,is_new_candidate,is_old14_candidate,contexts,helpful_count,harmful_count,near_static_neutral_count,oracle_win_count,nearest_old_candidate,nearest_old_param_distance,mean_delta_vs_static,mean_regret_to_new22_oracle,harmful_rate,helpful_rate,risk_adjusted_utility_lambda_0p10
repair5g518_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,block_heavy,g518_new,True,False,60,23,34,3,1,repair5g59_block_heavy_flow_guard,0.15000000000000002,-0.008820056383,0.036669325715,0.566666666667,0.383333333333,0.047846610284
repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,block_heavy,g518_new,True,False,60,21,31,8,3,repair5g59_block_heavy_flow_guard,0.15,-0.017102742108,0.028386639991,0.516666666667,0.35,0.034563924559
repair5g518_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,block_heavy,g518_new,True,False,60,18,34,8,1,repair5g59_block_heavy_flow_guard,0.187082869338697,-0.006634537221,0.038072264381,0.566666666667,0.3,0.050032129445
repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,high_beta,g518_new,True,False,60,18,34,8,1,repair5g59_high_beta_cap_safe,0.1322875655532296,-0.010922706541,0.033784095061,0.566666666667,0.3,0.045743960126
repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,high_beta,g518_new,True,False,60,19,35,6,1,repair5g59_high_beta_cap_safe,0.12247448713915901,-0.007258037876,0.037448763726,0.583333333333,0.316666666667,0.051075295457
repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,high_beta,g518_new,True,False,60,22,35,3,3,repair5g59_high_beta_cap_safe,0.12247448713915901,-0.006718390047,0.037988411556,0.583333333333,0.366666666667,0.051614943287
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,wait_conservative,g518_new,True,False,60,19,36,5,2,repair5g59_wait_conservative,0.15811388300841897,-0.00770182878,0.037004972823,0.6,0.316666666667,0.05229817122
repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,g518_new,True,False,60,23,33,4,4,repair5g59_wait_conservative,0.0,-0.008971056177,0.035735745426,0.55,0.383333333333,0.046028943823
repair5g59_additive_fallback,additive,old14,False,True,60,1,58,1,6,,inf,0.100450286235,0.126481045889,0.966666666667,0.016666666667,0.197116952902
repair5g59_block_heavy_flow_guard,block_heavy,old14,False,True,60,25,33,2,4,repair5g59_block_heavy_flow_guard,0.0,-0.012147644457,0.032559157146,0.55,0.416666666667,0.042852355543
repair5g59_c_only_f_disabled,static_boundary,old14,False,True,60,0,59,1,0,repair5g59_c_only_f_disabled,0.0,0.093134387309,0.135649336465,0.983333333333,0.0,0.191467720642
repair5g59_commit_heavy_flow_guard,commit_heavy,old14,False,True,60,17,36,7,0,repair5g59_commit_heavy_flow_guard,0.0,-0.002967405178,0.041739396424,0.6,0.283333333333,0.057032594822
repair5g59_fast_decay_low_shield,flow_decay,old14,False,True,60,5,53,2,0,repair5g59_fast_decay_low_shield,0.0,0.043014816202,0.087721617804,0.883333333333,0.083333333333,0.131348149535
repair5g59_flow_decay,flow_decay,old14,False,True,60,0,20,40,1,repair5g59_flow_decay,0.0,0.0,0.044706801602,0.333333333333,0.0,0.033333333333
repair5g59_high_beta_cap_safe,high_beta,old14,False,True,60,21,32,7,2,repair5g59_high_beta_cap_safe,0.0,-0.009081672743,0.036407709355,0.533333333333,0.35,0.04425166059
repair5g59_light_cong_light_flow,static_boundary,old14,False,True,60,6,51,3,1,repair5g59_light_cong_light_flow,0.0,0.037132301131,0.081839102734,0.85,0.1,0.122132301131
repair5g59_low_beta_high_cap,low_beta_high_cap,old14,False,True,60,16,42,2,6,repair5g59_low_beta_high_cap,0.0,0.006756306157,0.05146310776,0.7,0.266666666667,0.076756306157
repair5g59_slow_decay_high_shield,flow_decay,old14,False,True,60,19,40,1,8,repair5g59_slow_decay_high_shield,0.0,0.011088471575,0.055795273178,0.666666666667,0.316666666667,0.077755138242
repair5g59_static_abstain_candidate,static,old14,False,True,60,0,20,40,1,repair5g59_static_abstain_candidate,0.0,0.0,0.044706801602,0.333333333333,0.0,0.033333333333
repair5g59_static_flow_shield,static,old14,False,True,60,0,20,40,0,repair5g59_static_abstain_candidate,0.0,0.0,0.044706801602,0.333333333333,0.0,0.033333333333
repair5g59_wait_aggressive,wait_aggressive,old14,False,True,60,18,35,7,2,repair5g59_wait_aggressive,0.0,-0.008685861192,0.036803520906,0.583333333333,0.3,0.049647472141
repair5g59_wait_conservative,wait_conservative,old14,False,True,60,23,33,4,0,repair5g59_wait_conservative,0.0,-0.008971056177,0.035735745426,0.55,0.383333333333,0.046028943823
