agents,map,method,method_delta_ratio_vs_ltm,oracle_delta_ratio_vs_ltm,oracle_method,regret_to_oracle,scen,seed
50,maze-32-32-4,always_additive_defer,0.0,-0.007821901320000046,repair5g2_best_frozen_static_candidate,0.007821901320000046,maze-32-32-4-random-136.scen,136
50,maze-32-32-4,laur_disable,0.0,-0.007821901320000046,repair5g2_best_frozen_static_candidate,0.007821901320000046,maze-32-32-4-random-136.scen,136
50,maze-32-32-4,laur_force_additive_direct,0.0,-0.007821901320000046,repair5g2_best_frozen_static_candidate,0.007821901320000046,maze-32-32-4-random-136.scen,136
50,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,-0.007821901320000046,repair5g2_best_frozen_static_candidate,0.007821901320000046,maze-32-32-4-random-136.scen,136
50,maze-32-32-4,repair5g2_best_frozen_static_candidate,-0.007821901320000046,-0.007821901320000046,repair5g2_best_frozen_static_candidate,0.0,maze-32-32-4-random-136.scen,136
50,maze-32-32-4,repair5g2_frozen_static_or_selector,-0.007821901320000046,-0.007821901320000046,repair5g2_best_frozen_static_candidate,0.0,maze-32-32-4-random-136.scen,136
50,maze-32-32-4,repair5g51_runtime_always_additive_selector,0.0,-0.007821901320000046,repair5g2_best_frozen_static_candidate,0.007821901320000046,maze-32-32-4-random-136.scen,136
50,maze-32-32-4,repair5g51_runtime_always_map_agent_selector,-0.007821901320000046,-0.007821901320000046,repair5g2_best_frozen_static_candidate,0.0,maze-32-32-4-random-136.scen,136
50,maze-32-32-4,repair5g51_runtime_always_static_flow_shield,-0.007821901320000046,-0.007821901320000046,repair5g2_best_frozen_static_candidate,0.0,maze-32-32-4-random-136.scen,136
50,maze-32-32-4,repair5g51_runtime_bad_g5_stump,0.04693140794000006,-0.007821901320000046,repair5g2_best_frozen_static_candidate,0.054753309260000105,maze-32-32-4-random-136.scen,136
50,maze-32-32-4,repair5g_dual_additive_parity,0.0,-0.007821901320000046,repair5g2_best_frozen_static_candidate,0.007821901320000046,maze-32-32-4-random-136.scen,136
50,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,-0.007821901320000046,repair5g2_best_frozen_static_candidate,0.007821901320000046,maze-32-32-4-random-136.scen,136
50,maze-32-32-4,always_additive_defer,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
50,maze-32-32-4,laur_disable,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
50,maze-32-32-4,laur_force_additive_direct,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
50,maze-32-32-4,repair5f_candidate_additive_ltm,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
50,maze-32-32-4,repair5g2_best_frozen_static_candidate,0.0017367141370000505,0.0,always_additive_defer,0.0017367141370000505,maze-32-32-4-random-137.scen,137
50,maze-32-32-4,repair5g2_frozen_static_or_selector,0.0017367141370000505,0.0,always_additive_defer,0.0017367141370000505,maze-32-32-4-random-137.scen,137
50,maze-32-32-4,repair5g51_runtime_always_additive_selector,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
50,maze-32-32-4,repair5g51_runtime_always_map_agent_selector,0.0017367141370000505,0.0,always_additive_defer,0.0017367141370000505,maze-32-32-4-random-137.scen,137
50,maze-32-32-4,repair5g51_runtime_always_static_flow_shield,0.0017367141370000505,0.0,always_additive_defer,0.0017367141370000505,maze-32-32-4-random-137.scen,137
50,maze-32-32-4,repair5g51_runtime_bad_g5_stump,0.019103855505000045,0.0,always_additive_defer,0.019103855505000045,maze-32-32-4-random-137.scen,137
50,maze-32-32-4,repair5g_dual_additive_parity,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
50,maze-32-32-4,repair5g_dual_c_equiv_additive,0.0,0.0,always_additive_defer,0.0,maze-32-32-4-random-137.scen,137
