row_type,policy,risk_bucket_low,risk_bucket_high,contexts,mean_predicted_total_harmful_risk,actual_total_harmful_rate,ece_abs_error
total_harm_calibration_bucket,balanced_false_positive_constrained_policy,0.0,0.05,1,0.014832826045864334,1.0,0.9851671739541357
total_harm_calibration_bucket,balanced_false_positive_constrained_policy,0.05,0.1,0,inf,inf,
total_harm_calibration_bucket,balanced_false_positive_constrained_policy,0.1,0.2,3,0.16810833047133208,0.0,0.16810833047133208
total_harm_calibration_bucket,balanced_false_positive_constrained_policy,0.2,0.5,26,0.3993900909445973,0.038461538461538464,0.3609285524830589
total_harm_calibration_bucket,balanced_false_positive_constrained_policy,0.5,1.01,30,0.7825944944984763,0.7333333333333333,0.04926116116514301
total_harm_calibration_bucket,family_specialist_gate_then_ranker,0.0,0.05,0,inf,inf,
total_harm_calibration_bucket,family_specialist_gate_then_ranker,0.05,0.1,0,inf,inf,
total_harm_calibration_bucket,family_specialist_gate_then_ranker,0.1,0.2,1,0.18393057577545102,0.0,0.18393057577545102
total_harm_calibration_bucket,family_specialist_gate_then_ranker,0.2,0.5,18,0.3950329530744854,0.0,0.3950329530744854
total_harm_calibration_bucket,family_specialist_gate_then_ranker,0.5,1.01,41,0.9340284769630175,0.5609756097560976,0.3730528672069199
total_harm_calibration_bucket,full22_global_ranker_corrected,0.0,0.05,1,0.014832826045864334,1.0,0.9851671739541357
total_harm_calibration_bucket,full22_global_ranker_corrected,0.05,0.1,0,inf,inf,
total_harm_calibration_bucket,full22_global_ranker_corrected,0.1,0.2,2,0.15451915695513518,0.0,0.15451915695513518
total_harm_calibration_bucket,full22_global_ranker_corrected,0.2,0.5,25,0.387885980547569,0.04,0.34788598054756903
total_harm_calibration_bucket,full22_global_ranker_corrected,0.5,1.01,32,0.7719031513929664,0.6875,0.08440315139296639
total_harm_calibration_bucket,new_candidate_expert_mixture,0.0,0.05,0,inf,inf,
total_harm_calibration_bucket,new_candidate_expert_mixture,0.05,0.1,0,inf,inf,
total_harm_calibration_bucket,new_candidate_expert_mixture,0.1,0.2,0,inf,inf,
total_harm_calibration_bucket,new_candidate_expert_mixture,0.2,0.5,17,0.42452698733535865,0.0,0.42452698733535865
total_harm_calibration_bucket,new_candidate_expert_mixture,0.5,1.01,43,0.97887458712439,0.5348837209302325,0.4439908661941575
total_harm_calibration_bucket,new_candidate_only_ranker_corrected,0.0,0.05,0,inf,inf,
total_harm_calibration_bucket,new_candidate_only_ranker_corrected,0.05,0.1,0,inf,inf,
total_harm_calibration_bucket,new_candidate_only_ranker_corrected,0.1,0.2,0,inf,inf,
total_harm_calibration_bucket,new_candidate_only_ranker_corrected,0.2,0.5,36,0.42292863416522564,0.05555555555555555,0.36737307860967006
total_harm_calibration_bucket,new_candidate_only_ranker_corrected,0.5,1.01,24,0.8353803389132793,0.875,0.03961966108672066
total_harm_calibration_bucket,new_candidate_source_blind_ablation,0.0,0.05,1,0.01484110794404625,1.0,0.9851588920559537
total_harm_calibration_bucket,new_candidate_source_blind_ablation,0.05,0.1,0,inf,inf,
total_harm_calibration_bucket,new_candidate_source_blind_ablation,0.1,0.2,2,0.15378745223429346,0.0,0.15378745223429346
total_harm_calibration_bucket,new_candidate_source_blind_ablation,0.2,0.5,25,0.3921217237960596,0.04,0.3521217237960596
total_harm_calibration_bucket,new_candidate_source_blind_ablation,0.5,1.01,32,0.773045671231231,0.6875,0.08554567123123102
total_harm_calibration_bucket,new_label_shuffled_control,0.0,0.05,0,inf,inf,
total_harm_calibration_bucket,new_label_shuffled_control,0.05,0.1,0,inf,inf,
total_harm_calibration_bucket,new_label_shuffled_control,0.1,0.2,0,inf,inf,
total_harm_calibration_bucket,new_label_shuffled_control,0.2,0.5,0,inf,inf,
total_harm_calibration_bucket,new_label_shuffled_control,0.5,1.01,60,1.0,0.38333333333333336,0.6166666666666667
total_harm_calibration_bucket,new_opportunity_binary_gate_then_ranker,0.0,0.05,0,inf,inf,
total_harm_calibration_bucket,new_opportunity_binary_gate_then_ranker,0.05,0.1,0,inf,inf,
total_harm_calibration_bucket,new_opportunity_binary_gate_then_ranker,0.1,0.2,1,0.18393057577545102,0.0,0.18393057577545102
total_harm_calibration_bucket,new_opportunity_binary_gate_then_ranker,0.2,0.5,18,0.396637627289016,0.0,0.396637627289016
total_harm_calibration_bucket,new_opportunity_binary_gate_then_ranker,0.5,1.01,41,0.9348301717230421,0.5609756097560976,0.37385456196694444
total_harm_calibration_bucket,no_new_candidate_ablation,0.0,0.05,1,0.02520586893508403,0.0,0.02520586893508403
total_harm_calibration_bucket,no_new_candidate_ablation,0.05,0.1,0,inf,inf,
total_harm_calibration_bucket,no_new_candidate_ablation,0.1,0.2,1,0.12510773813481935,0.0,0.12510773813481935
total_harm_calibration_bucket,no_new_candidate_ablation,0.2,0.5,26,0.3881091109067614,0.038461538461538464,0.34964757244522293
total_harm_calibration_bucket,no_new_candidate_ablation,0.5,1.01,32,0.7752495597362491,0.6875,0.0877495597362491
total_harm_calibration_bucket,no_rich_x_candidate_interaction_ablation,0.0,0.05,1,0.04947705873589259,1.0,0.9505229412641074
total_harm_calibration_bucket,no_rich_x_candidate_interaction_ablation,0.05,0.1,0,inf,inf,
total_harm_calibration_bucket,no_rich_x_candidate_interaction_ablation,0.1,0.2,1,0.13000788007680963,0.0,0.13000788007680963
total_harm_calibration_bucket,no_rich_x_candidate_interaction_ablation,0.2,0.5,25,0.3850903053290409,0.04,0.34509030532904095
total_harm_calibration_bucket,no_rich_x_candidate_interaction_ablation,0.5,1.01,33,0.7606004962468284,0.6666666666666666,0.09393382958016172
total_harm_calibration_bucket,old14_only_ranker_corrected,0.0,0.05,0,inf,inf,
total_harm_calibration_bucket,old14_only_ranker_corrected,0.05,0.1,0,inf,inf,
total_harm_calibration_bucket,old14_only_ranker_corrected,0.1,0.2,0,inf,inf,
total_harm_calibration_bucket,old14_only_ranker_corrected,0.2,0.5,37,0.42521119188248824,0.05405405405405406,0.3711571378284342
total_harm_calibration_bucket,old14_only_ranker_corrected,0.5,1.01,23,0.8565704977878482,0.9130434782608695,0.056472980473021295
total_harm_calibration_bucket,oracle_new22_upper_bound,0.0,0.05,0,inf,inf,
total_harm_calibration_bucket,oracle_new22_upper_bound,0.05,0.1,0,inf,inf,
total_harm_calibration_bucket,oracle_new22_upper_bound,0.1,0.2,0,inf,inf,
total_harm_calibration_bucket,oracle_new22_upper_bound,0.2,0.5,0,inf,inf,
total_harm_calibration_bucket,oracle_new22_upper_bound,0.5,1.01,60,1.0,0.35,0.65
total_harm_calibration_bucket,oracle_old14_upper_bound,0.0,0.05,0,inf,inf,
total_harm_calibration_bucket,oracle_old14_upper_bound,0.05,0.1,0,inf,inf,
total_harm_calibration_bucket,oracle_old14_upper_bound,0.1,0.2,0,inf,inf,
total_harm_calibration_bucket,oracle_old14_upper_bound,0.2,0.5,0,inf,inf,
total_harm_calibration_bucket,oracle_old14_upper_bound,0.5,1.01,60,1.0,0.35,0.65
total_harm_calibration_bucket,positive_unlabeled_new_candidate_gate,0.0,0.05,0,inf,inf,
total_harm_calibration_bucket,positive_unlabeled_new_candidate_gate,0.05,0.1,0,inf,inf,
total_harm_calibration_bucket,positive_unlabeled_new_candidate_gate,0.1,0.2,1,0.18393057577545102,0.0,0.18393057577545102
total_harm_calibration_bucket,positive_unlabeled_new_candidate_gate,0.2,0.5,18,0.396637627289016,0.0,0.396637627289016
total_harm_calibration_bucket,positive_unlabeled_new_candidate_gate,0.5,1.01,41,0.9348301717230421,0.5609756097560976,0.37385456196694444
total_harm_calibration_bucket,random_feature_model,0.0,0.05,0,inf,inf,
total_harm_calibration_bucket,random_feature_model,0.05,0.1,0,inf,inf,
total_harm_calibration_bucket,random_feature_model,0.1,0.2,0,inf,inf,
total_harm_calibration_bucket,random_feature_model,0.2,0.5,0,inf,inf,
total_harm_calibration_bucket,random_feature_model,0.5,1.01,60,0.6423670626499055,0.38333333333333336,0.25903372931657215
total_harm_calibration_bucket,shuffled_label_model,0.0,0.05,0,inf,inf,
total_harm_calibration_bucket,shuffled_label_model,0.05,0.1,0,inf,inf,
total_harm_calibration_bucket,shuffled_label_model,0.1,0.2,0,inf,inf,
total_harm_calibration_bucket,shuffled_label_model,0.2,0.5,3,0.4595482551638064,0.6666666666666666,0.20711841150286026
total_harm_calibration_bucket,shuffled_label_model,0.5,1.01,57,0.620620793963151,0.3684210526315789,0.252199741331572
total_harm_calibration_bucket,static_flow_shield,0.0,0.05,0,inf,inf,
total_harm_calibration_bucket,static_flow_shield,0.05,0.1,0,inf,inf,
total_harm_calibration_bucket,static_flow_shield,0.1,0.2,0,inf,inf,
total_harm_calibration_bucket,static_flow_shield,0.2,0.5,0,inf,inf,
total_harm_calibration_bucket,static_flow_shield,0.5,1.01,60,1.0,0.38333333333333336,0.6166666666666667
total_harm_calibration_bucket,train_only_map_agent_prior,0.0,0.05,0,inf,inf,
total_harm_calibration_bucket,train_only_map_agent_prior,0.05,0.1,0,inf,inf,
total_harm_calibration_bucket,train_only_map_agent_prior,0.1,0.2,0,inf,inf,
total_harm_calibration_bucket,train_only_map_agent_prior,0.2,0.5,0,inf,inf,
total_harm_calibration_bucket,train_only_map_agent_prior,0.5,1.01,60,1.0,0.5,0.5
