normalized_context_key,map,agents,seed,map_agent_group,map_family,oracle_new_candidate,new_candidate_best_gap_vs_old14,selection_reason,probe_plan_role,observed_ids_only,ids_166_205_untouched
maze-32-32-4|a50|s153|it0|14650fb0739d0383,maze-32-32-4,50,153,maze-32-32-4|a50,maze,repair5g518_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,-0.0230318258,fallback_static_old14_ranker_threshold,target_context,True,True
random-32-32-20|a50|s152|it0|14650fb0739d0383,random-32-32-20,50,152,random-32-32-20|a50,random,repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,-0.01606086222,selected_old14_ranker,target_context,True,True
maze-32-32-4|a50|s152|it0|14650fb0739d0383,maze-32-32-4,50,152,maze-32-32-4|a50,maze,repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,-0.01197916667,fallback_static_old14_ranker_threshold,target_context,True,True
random-32-32-20|a50|s148|it0|14650fb0739d0383,random-32-32-20,50,148,random-32-32-20|a50,random,repair5g518_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,-0.01170117011,fallback_static_old14_ranker_threshold,target_context,True,True
maze-32-32-4|a50|s151|it0|14650fb0739d0383,maze-32-32-4,50,151,maze-32-32-4|a50,maze,repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,-0.01127626858,fallback_static_old14_ranker_threshold,target_context,True,True
random-32-32-20|a100|s147|it0|14650fb0739d0383,random-32-32-20,100,147,random-32-32-20|a100,random,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,-0.00760966875,fallback_static_old14_ranker_threshold,target_context,True,True
random-32-32-20|a50|s146|it0|14650fb0739d0383,random-32-32-20,50,146,random-32-32-20|a50,random,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,-0.00389483933,selected_old14_ranker,target_context,True,True
random-32-32-20|a100|s155|it0|14650fb0739d0383,random-32-32-20,100,155,random-32-32-20|a100,random,repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,-0.00364132909,fallback_static_old14_ranker_threshold,target_context,True,True
random-32-32-20|a50|s149|it0|14650fb0739d0383,random-32-32-20,50,149,random-32-32-20|a50,random,repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,-0.00190476191,fallback_static_old14_ranker_threshold,target_context,True,True
random-32-32-20|a100|s149|it0|14650fb0739d0383,random-32-32-20,100,149,random-32-32-20|a100,random,repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,-0.00186480186,fallback_static_old14_ranker_threshold,target_context,True,True
maze-32-32-4|a50|s150|it0|14650fb0739d0383,maze-32-32-4,50,150,maze-32-32-4|a50,maze,repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,-0.00114285715,fallback_static_old14_ranker_threshold,target_context,True,True
random-32-32-20|a50|s155|it0|14650fb0739d0383,random-32-32-20,50,155,random-32-32-20|a50,random,repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,-0.00091407678,fallback_static_old14_ranker_threshold,target_context,True,True
maze-32-32-4|a100|s146|it0|14650fb0739d0383,maze-32-32-4,100,146,maze-32-32-4|a100,maze,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,0.0,fallback_static_old14_ranker_threshold,target_context,True,True
maze-32-32-4|a100|s151|it0|14650fb0739d0383,maze-32-32-4,100,151,maze-32-32-4|a100,maze,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,0.0,fallback_static_old14_ranker_threshold,target_context,True,True
maze-32-32-4|a50|s155|it0|14650fb0739d0383,maze-32-32-4,50,155,maze-32-32-4|a50,maze,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,0.0,fallback_static_old14_ranker_threshold,target_context,True,True
random-32-32-20|a100|s153|it0|14650fb0739d0383,random-32-32-20,100,153,random-32-32-20|a100,random,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,0.0,fallback_static_old14_ranker_threshold,target_context,True,True
