normalized_context_key,short_budget_ms,target_bandit_action_class,target_bandit_selected_region,feature_policy_prior_fallback_rate,feature_policy_prior_safe_positive_rate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze-32-32-4|a100|s146|it0|14650fb0739d0383,1000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a100|s146|it0|14650fb0739d0383,2000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a100|s147|it0|14650fb0739d0383,1000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a100|s147|it0|14650fb0739d0383,2000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a100|s148|it0|14650fb0739d0383,1000,old14_g518_fallback,old14,,,False,False,False,False,False
maze-32-32-4|a100|s148|it0|14650fb0739d0383,2000,old14_g518_fallback,old14,,,False,False,False,False,False
maze-32-32-4|a100|s149|it0|14650fb0739d0383,1000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a100|s149|it0|14650fb0739d0383,2000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a100|s150|it0|14650fb0739d0383,1000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a100|s150|it0|14650fb0739d0383,2000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a100|s151|it0|14650fb0739d0383,1000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a100|s151|it0|14650fb0739d0383,2000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a100|s152|it0|14650fb0739d0383,1000,old14_g518_fallback,old14,,,False,False,False,False,False
maze-32-32-4|a100|s152|it0|14650fb0739d0383,2000,old14_g518_fallback,old14,,,False,False,False,False,False
maze-32-32-4|a100|s153|it0|14650fb0739d0383,1000,old14_g518_fallback,old14,,,False,False,False,False,False
maze-32-32-4|a100|s153|it0|14650fb0739d0383,2000,old14_g518_fallback,old14,,,False,False,False,False,False
maze-32-32-4|a100|s154|it0|14650fb0739d0383,1000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a100|s154|it0|14650fb0739d0383,2000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a100|s155|it0|14650fb0739d0383,1000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a100|s155|it0|14650fb0739d0383,2000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a50|s146|it0|14650fb0739d0383,1000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a50|s146|it0|14650fb0739d0383,2000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a50|s147|it0|14650fb0739d0383,1000,old14_g518_fallback,old14,,,False,False,False,False,False
maze-32-32-4|a50|s147|it0|14650fb0739d0383,2000,old14_g518_fallback,old14,,,False,False,False,False,False
maze-32-32-4|a50|s148|it0|14650fb0739d0383,1000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a50|s148|it0|14650fb0739d0383,2000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a50|s149|it0|14650fb0739d0383,1000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a50|s149|it0|14650fb0739d0383,2000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a50|s150|it0|14650fb0739d0383,1000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a50|s150|it0|14650fb0739d0383,2000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a50|s151|it0|14650fb0739d0383,1000,old14_g518_fallback,g518_retained,,,False,False,False,False,False
maze-32-32-4|a50|s151|it0|14650fb0739d0383,2000,old14_g518_fallback,g518_retained,,,False,False,False,False,False
maze-32-32-4|a50|s152|it0|14650fb0739d0383,1000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a50|s152|it0|14650fb0739d0383,2000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
maze-32-32-4|a50|s153|it0|14650fb0739d0383,1000,old14_g518_fallback,g518_retained,,,False,False,False,False,False
maze-32-32-4|a50|s153|it0|14650fb0739d0383,2000,old14_g518_fallback,g518_retained,,,False,False,False,False,False
maze-32-32-4|a50|s154|it0|14650fb0739d0383,1000,old14_g518_fallback,old14,,,False,False,False,False,False
maze-32-32-4|a50|s154|it0|14650fb0739d0383,2000,old14_g518_fallback,old14,,,False,False,False,False,False
maze-32-32-4|a50|s155|it0|14650fb0739d0383,1000,old14_g518_fallback,g518_retained,,,False,False,False,False,False
maze-32-32-4|a50|s155|it0|14650fb0739d0383,2000,old14_g518_fallback,g518_retained,,,False,False,False,False,False
random-32-32-20|a100|s146|it0|14650fb0739d0383,1000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
random-32-32-20|a100|s146|it0|14650fb0739d0383,2000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
random-32-32-20|a100|s147|it0|14650fb0739d0383,1000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
random-32-32-20|a100|s147|it0|14650fb0739d0383,2000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
random-32-32-20|a100|s148|it0|14650fb0739d0383,1000,old14_g518_fallback,old14,,,False,False,False,False,False
random-32-32-20|a100|s148|it0|14650fb0739d0383,2000,old14_g518_fallback,old14,,,False,False,False,False,False
random-32-32-20|a100|s149|it0|14650fb0739d0383,1000,old14_g518_fallback,g518_retained,,,False,False,False,False,False
random-32-32-20|a100|s149|it0|14650fb0739d0383,2000,old14_g518_fallback,g518_retained,,,False,False,False,False,False
random-32-32-20|a100|s150|it0|14650fb0739d0383,1000,old14_g518_fallback,old14,,,False,False,False,False,False
random-32-32-20|a100|s150|it0|14650fb0739d0383,2000,old14_g518_fallback,old14,,,False,False,False,False,False
random-32-32-20|a100|s151|it0|14650fb0739d0383,1000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
random-32-32-20|a100|s151|it0|14650fb0739d0383,2000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
random-32-32-20|a100|s152|it0|14650fb0739d0383,1000,old14_g518_fallback,old14,,,False,False,False,False,False
random-32-32-20|a100|s152|it0|14650fb0739d0383,2000,old14_g518_fallback,old14,,,False,False,False,False,False
random-32-32-20|a100|s153|it0|14650fb0739d0383,1000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
random-32-32-20|a100|s153|it0|14650fb0739d0383,2000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
random-32-32-20|a100|s154|it0|14650fb0739d0383,1000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
random-32-32-20|a100|s154|it0|14650fb0739d0383,2000,safe_g522_select,D_fractional_coverage,,,False,False,False,False,False
random-32-32-20|a100|s155|it0|14650fb0739d0383,1000,old14_g518_fallback,g518_retained,,,False,False,False,False,False
