model,metric,value,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
bandit_teacher_region_classifier,candidate_induced_failure_ECE,0.510944285099,False,False,False,False,False
bandit_teacher_region_classifier,budget_sensitive_failure_ECE,0.495422094746,False,False,False,False,False
bandit_teacher_region_classifier,safe_positive_ECE,0.27605166382,False,False,False,False,False
bandit_teacher_region_classifier,utility_calibration_error,0.002109329498,False,False,False,False,False
bandit_teacher_region_classifier,abstention_calibration_error,0.577610951765,False,False,False,False,False
bandit_teacher_action_class_classifier,candidate_induced_failure_ECE,0.519262081484,False,False,False,False,False
bandit_teacher_action_class_classifier,budget_sensitive_failure_ECE,0.470409665187,False,False,False,False,False
bandit_teacher_action_class_classifier,safe_positive_ECE,0.473856705686,False,False,False,False,False
bandit_teacher_action_class_classifier,utility_calibration_error,0.002135772909,False,False,False,False,False
bandit_teacher_action_class_classifier,abstention_calibration_error,0.577595414817,False,False,False,False,False
bandit_teacher_candidate_ranker,candidate_induced_failure_ECE,0.510938499601,False,False,False,False,False
bandit_teacher_candidate_ranker,budget_sensitive_failure_ECE,0.478750799681,False,False,False,False,False
bandit_teacher_candidate_ranker,safe_positive_ECE,0.432745956324,False,False,False,False,False
bandit_teacher_candidate_ranker,utility_calibration_error,0.002110617907,False,False,False,False,False
bandit_teacher_candidate_ranker,abstention_calibration_error,0.577605166267,False,False,False,False,False
bandit_teacher_pairwise_candidate_ranker,candidate_induced_failure_ECE,0.510938499601,False,False,False,False,False
bandit_teacher_pairwise_candidate_ranker,budget_sensitive_failure_ECE,0.478750799681,False,False,False,False,False
bandit_teacher_pairwise_candidate_ranker,safe_positive_ECE,0.432745956324,False,False,False,False,False
bandit_teacher_pairwise_candidate_ranker,utility_calibration_error,0.002110617907,False,False,False,False,False
bandit_teacher_pairwise_candidate_ranker,abstention_calibration_error,0.577605166267,False,False,False,False,False
bandit_teacher_two_head_utility_risk,candidate_induced_failure_ECE,0.510938499601,False,False,False,False,False
bandit_teacher_two_head_utility_risk,budget_sensitive_failure_ECE,0.478750799681,False,False,False,False,False
bandit_teacher_two_head_utility_risk,safe_positive_ECE,0.432745956324,False,False,False,False,False
bandit_teacher_two_head_utility_risk,utility_calibration_error,0.002110617907,False,False,False,False,False
bandit_teacher_two_head_utility_risk,abstention_calibration_error,0.577605166267,False,False,False,False,False
bandit_teacher_topk_reranker,candidate_induced_failure_ECE,0.510940319107,False,False,False,False,False
bandit_teacher_topk_reranker,budget_sensitive_failure_ECE,0.478752255286,False,False,False,False,False
bandit_teacher_topk_reranker,safe_positive_ECE,0.432495238018,False,False,False,False,False
bandit_teacher_topk_reranker,utility_calibration_error,0.002110617907,False,False,False,False,False
bandit_teacher_topk_reranker,abstention_calibration_error,0.577606985774,False,False,False,False,False
bandit_teacher_fallback_classifier,candidate_induced_failure_ECE,0.510938499601,False,False,False,False,False
bandit_teacher_fallback_classifier,budget_sensitive_failure_ECE,0.478750799681,False,False,False,False,False
bandit_teacher_fallback_classifier,safe_positive_ECE,0.432745956324,False,False,False,False,False
bandit_teacher_fallback_classifier,utility_calibration_error,0.002110617907,False,False,False,False,False
bandit_teacher_fallback_classifier,abstention_calibration_error,0.577605166267,False,False,False,False,False
bandit_teacher_static_recovery_specialist,candidate_induced_failure_ECE,0.510842800204,False,False,False,False,False
bandit_teacher_static_recovery_specialist,budget_sensitive_failure_ECE,0.462007573497,False,False,False,False,False
bandit_teacher_static_recovery_specialist,safe_positive_ECE,0.359093669804,False,False,False,False,False
bandit_teacher_static_recovery_specialist,utility_calibration_error,0.002106414057,False,False,False,False,False
bandit_teacher_static_recovery_specialist,abstention_calibration_error,0.577509466871,False,False,False,False,False
bandit_teacher_induced_failure_guard,candidate_induced_failure_ECE,0.510938499601,False,False,False,False,False
bandit_teacher_induced_failure_guard,budget_sensitive_failure_ECE,0.478750799681,False,False,False,False,False
bandit_teacher_induced_failure_guard,safe_positive_ECE,0.432745956324,False,False,False,False,False
bandit_teacher_induced_failure_guard,utility_calibration_error,0.002110617907,False,False,False,False,False
bandit_teacher_induced_failure_guard,abstention_calibration_error,0.577605166267,False,False,False,False,False
region_prior_baseline,candidate_induced_failure_ECE,0.510944285099,False,False,False,False,False
region_prior_baseline,budget_sensitive_failure_ECE,0.495422094746,False,False,False,False,False
region_prior_baseline,safe_positive_ECE,0.27605166382,False,False,False,False,False
region_prior_baseline,utility_calibration_error,0.002109329498,False,False,False,False,False
region_prior_baseline,abstention_calibration_error,0.577610951765,False,False,False,False,False
agent_density_baseline,candidate_induced_failure_ECE,0.510938499601,False,False,False,False,False
agent_density_baseline,budget_sensitive_failure_ECE,0.478750799681,False,False,False,False,False
agent_density_baseline,safe_positive_ECE,0.432745956324,False,False,False,False,False
agent_density_baseline,utility_calibration_error,0.002110617907,False,False,False,False,False
