model,metric,value,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
calibrated_bandit_distilled_policy,candidate_induced_failure_ECE,0.510938499601,False,False,False,False,False
calibrated_bandit_distilled_policy,budget_sensitive_failure_ECE,0.478750799681,False,False,False,False,False
calibrated_bandit_distilled_policy,safe_positive_ECE,0.432745956324,False,False,False,False,False
calibrated_bandit_distilled_policy,utility_calibration_error,0.002110617907,False,False,False,False,False
calibrated_bandit_distilled_policy,abstention_calibration_error,0.577605166267,False,False,False,False,False
isotonic_risk_calibrated_selector,candidate_induced_failure_ECE,0.510938499601,False,False,False,False,False
isotonic_risk_calibrated_selector,budget_sensitive_failure_ECE,0.478750799681,False,False,False,False,False
isotonic_risk_calibrated_selector,safe_positive_ECE,0.432745956324,False,False,False,False,False
isotonic_risk_calibrated_selector,utility_calibration_error,0.002110617907,False,False,False,False,False
isotonic_risk_calibrated_selector,abstention_calibration_error,0.577605166267,False,False,False,False,False
platt_risk_calibrated_selector,candidate_induced_failure_ECE,0.510938499601,False,False,False,False,False
platt_risk_calibrated_selector,budget_sensitive_failure_ECE,0.478750799681,False,False,False,False,False
platt_risk_calibrated_selector,safe_positive_ECE,0.432745956324,False,False,False,False,False
platt_risk_calibrated_selector,utility_calibration_error,0.002110617907,False,False,False,False,False
platt_risk_calibrated_selector,abstention_calibration_error,0.577605166267,False,False,False,False,False
conformal_risk_abstention_selector,candidate_induced_failure_ECE,0.510938499601,False,False,False,False,False
conformal_risk_abstention_selector,budget_sensitive_failure_ECE,0.478750799681,False,False,False,False,False
conformal_risk_abstention_selector,safe_positive_ECE,0.432745956324,False,False,False,False,False
conformal_risk_abstention_selector,utility_calibration_error,0.002110617907,False,False,False,False,False
conformal_risk_abstention_selector,abstention_calibration_error,0.577605166267,False,False,False,False,False
quantile_utility_lower_bound_selector,candidate_induced_failure_ECE,0.510938499601,False,False,False,False,False
quantile_utility_lower_bound_selector,budget_sensitive_failure_ECE,0.478750799681,False,False,False,False,False
quantile_utility_lower_bound_selector,safe_positive_ECE,0.432745956324,False,False,False,False,False
quantile_utility_lower_bound_selector,utility_calibration_error,0.002110617907,False,False,False,False,False
quantile_utility_lower_bound_selector,abstention_calibration_error,0.577605166267,False,False,False,False,False
risk_first_then_utility_selector,candidate_induced_failure_ECE,0.535819028414,False,False,False,False,False
risk_first_then_utility_selector,budget_sensitive_failure_ECE,0.478655222732,False,False,False,False,False
risk_first_then_utility_selector,safe_positive_ECE,0.306725350486,False,False,False,False,False
risk_first_then_utility_selector,utility_calibration_error,0.002185336551,False,False,False,False,False
risk_first_then_utility_selector,abstention_calibration_error,0.577485695081,False,False,False,False,False
utility_first_then_risk_selector,candidate_induced_failure_ECE,0.510938499601,False,False,False,False,False
utility_first_then_risk_selector,budget_sensitive_failure_ECE,0.478750799681,False,False,False,False,False
utility_first_then_risk_selector,safe_positive_ECE,0.432745956324,False,False,False,False,False
utility_first_then_risk_selector,utility_calibration_error,0.002110617907,False,False,False,False,False
utility_first_then_risk_selector,abstention_calibration_error,0.577605166267,False,False,False,False,False
budget_sensitive_failure_guard,candidate_induced_failure_ECE,0.510938499601,False,False,False,False,False
budget_sensitive_failure_guard,budget_sensitive_failure_ECE,0.478750799681,False,False,False,False,False
budget_sensitive_failure_guard,safe_positive_ECE,0.432745956324,False,False,False,False,False
budget_sensitive_failure_guard,utility_calibration_error,0.002110617907,False,False,False,False,False
budget_sensitive_failure_guard,abstention_calibration_error,0.577605166267,False,False,False,False,False
candidate_induced_failure_guard,candidate_induced_failure_ECE,0.510938499601,False,False,False,False,False
candidate_induced_failure_guard,budget_sensitive_failure_ECE,0.478750799681,False,False,False,False,False
candidate_induced_failure_guard,safe_positive_ECE,0.432745956324,False,False,False,False,False
candidate_induced_failure_guard,utility_calibration_error,0.002110617907,False,False,False,False,False
candidate_induced_failure_guard,abstention_calibration_error,0.577605166267,False,False,False,False,False
static_recovery_priority_selector,candidate_induced_failure_ECE,0.510938499601,False,False,False,False,False
static_recovery_priority_selector,budget_sensitive_failure_ECE,0.478750799681,False,False,False,False,False
static_recovery_priority_selector,safe_positive_ECE,0.432745956324,False,False,False,False,False
static_recovery_priority_selector,utility_calibration_error,0.002110617907,False,False,False,False,False
static_recovery_priority_selector,abstention_calibration_error,0.577605166267,False,False,False,False,False
fallback_heavy_safe_selector,candidate_induced_failure_ECE,0.519263003548,False,False,False,False,False
fallback_heavy_safe_selector,budget_sensitive_failure_ECE,0.495410402839,False,False,False,False,False
fallback_heavy_safe_selector,safe_positive_ECE,0.143672903699,False,False,False,False,False
fallback_heavy_safe_selector,utility_calibration_error,0.002137031475,False,False,False,False,False
fallback_heavy_safe_selector,abstention_calibration_error,0.422403663118,False,False,False,False,False
fallback_light_aggressive_selector,candidate_induced_failure_ECE,0.510938499601,False,False,False,False,False
fallback_light_aggressive_selector,budget_sensitive_failure_ECE,0.478750799681,False,False,False,False,False
fallback_light_aggressive_selector,safe_positive_ECE,0.432745956324,False,False,False,False,False
fallback_light_aggressive_selector,utility_calibration_error,0.002110617907,False,False,False,False,False
fallback_light_aggressive_selector,abstention_calibration_error,0.577605166267,False,False,False,False,False
old14_g518_fallback_selector,candidate_induced_failure_ECE,0.5776118382,False,False,False,False,False
old14_g518_fallback_selector,budget_sensitive_failure_ECE,0.46208947056,False,False,False,False,False
old14_g518_fallback_selector,safe_positive_ECE,0.182474870108,False,False,False,False,False
old14_g518_fallback_selector,utility_calibration_error,0.002316781426,False,False,False,False,False
old14_g518_fallback_selector,abstention_calibration_error,0.4223881618,False,False,False,False,False
static_fallback_selector,candidate_induced_failure_ECE,0.519263003548,False,False,False,False,False
static_fallback_selector,budget_sensitive_failure_ECE,0.495410402839,False,False,False,False,False
static_fallback_selector,safe_positive_ECE,0.143672903699,False,False,False,False,False
static_fallback_selector,utility_calibration_error,0.002137031475,False,False,False,False,False
static_fallback_selector,abstention_calibration_error,0.422403663118,False,False,False,False,False
bandit_teacher_oracle_diagnostic_not_for_promotion,candidate_induced_failure_ECE,0.577578865744,False,False,False,False,False
bandit_teacher_oracle_diagnostic_not_for_promotion,budget_sensitive_failure_ECE,0.437063092595,False,False,False,False,False
bandit_teacher_oracle_diagnostic_not_for_promotion,safe_positive_ECE,0.163209346008,False,False,False,False,False
bandit_teacher_oracle_diagnostic_not_for_promotion,utility_calibration_error,0.002315638896,False,False,False,False,False
bandit_teacher_oracle_diagnostic_not_for_promotion,abstention_calibration_error,0.235912199077,False,False,False,False,False
