normalized_context_key,short_budget_ms,teacher_region,teacher_region_selected,region_candidate_rows,region_safe_positive_candidates,region_unsafe_candidates,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze-32-32-4|a100|s146|it0|14650fb0739d0383,1000,A_g518_winner_neighborhood,False,3,0,0,False,False,False,False,False
maze-32-32-4|a100|s146|it0|14650fb0739d0383,1000,B_static_recovery_feasibility,False,7,2,0,False,False,False,False,False
maze-32-32-4|a100|s146|it0|14650fb0739d0383,1000,C_risk_boundary,False,3,3,0,False,False,False,False,False
maze-32-32-4|a100|s146|it0|14650fb0739d0383,1000,D_fractional_coverage,True,9,3,1,False,False,False,False,False
maze-32-32-4|a100|s146|it0|14650fb0739d0383,1000,g518_retained,False,8,0,0,False,False,False,False,False
maze-32-32-4|a100|s146|it0|14650fb0739d0383,1000,old14,False,14,0,0,False,False,False,False,False
maze-32-32-4|a100|s146|it0|14650fb0739d0383,2000,A_g518_winner_neighborhood,False,3,0,0,False,False,False,False,False
maze-32-32-4|a100|s146|it0|14650fb0739d0383,2000,B_static_recovery_feasibility,False,7,2,0,False,False,False,False,False
maze-32-32-4|a100|s146|it0|14650fb0739d0383,2000,C_risk_boundary,False,3,3,0,False,False,False,False,False
maze-32-32-4|a100|s146|it0|14650fb0739d0383,2000,D_fractional_coverage,True,9,3,0,False,False,False,False,False
maze-32-32-4|a100|s146|it0|14650fb0739d0383,2000,g518_retained,False,8,0,0,False,False,False,False,False
maze-32-32-4|a100|s146|it0|14650fb0739d0383,2000,old14,False,14,0,0,False,False,False,False,False
maze-32-32-4|a100|s147|it0|14650fb0739d0383,1000,A_g518_winner_neighborhood,False,3,0,1,False,False,False,False,False
maze-32-32-4|a100|s147|it0|14650fb0739d0383,1000,B_static_recovery_feasibility,False,7,1,2,False,False,False,False,False
maze-32-32-4|a100|s147|it0|14650fb0739d0383,1000,C_risk_boundary,False,3,3,0,False,False,False,False,False
maze-32-32-4|a100|s147|it0|14650fb0739d0383,1000,D_fractional_coverage,True,9,4,1,False,False,False,False,False
