dimension,value,context_budget_labels,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
action_class,abstain_due_risk,9,False,False,False,False,False
action_class,old14_g518_fallback,36,False,False,False,False,False
action_class,old14_select,35,False,False,False,False,False
action_class,safe_g522_select,40,False,False,False,False,False
map_family,maze,40,False,False,False,False,False
map_family,random,40,False,False,False,False,False
map_family,warehouse,40,False,False,False,False,False
map_agent_group,maze-32-32-4|a100,20,False,False,False,False,False
map_agent_group,maze-32-32-4|a50,20,False,False,False,False,False
map_agent_group,random-32-32-20|a100,20,False,False,False,False,False
map_agent_group,random-32-32-20|a50,20,False,False,False,False,False
map_agent_group,warehouse-10-20-10-2-1|a100,20,False,False,False,False,False
map_agent_group,warehouse-10-20-10-2-1|a50,20,False,False,False,False,False
budget,1000,60,False,False,False,False,False
budget,2000,60,False,False,False,False,False
teacher_selected_region,A_g518_winner_neighborhood,2,False,False,False,False,False
teacher_selected_region,D_fractional_coverage,77,False,False,False,False,False
teacher_selected_region,g518_retained,18,False,False,False,False,False
teacher_selected_region,old14,23,False,False,False,False,False
teacher_selected_candidate,repair5g518_grid_c0p90_b1p40_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,2,False,False,False,False,False
teacher_selected_candidate,repair5g518_grid_c0p90_b1p50_f1p00_w0p45_dc0p95_df1p00_beta0p45_max0p75_c0,5,False,False,False,False,False
teacher_selected_candidate,repair5g518_grid_c0p90_b1p65_f1p00_w0p45_dc0p95_df1p00_beta0p35_max0p75_c0,3,False,False,False,False,False
teacher_selected_candidate,repair5g518_grid_c1p20_b1p15_f1p00_w0p70_dc0p95_df1p00_beta0p55_max0p75_c0,2,False,False,False,False,False
teacher_selected_candidate,repair5g518_grid_c1p20_b1p35_f1p00_w0p70_dc0p95_df1p00_beta0p60_max0p75_c0,2,False,False,False,False,False
teacher_selected_candidate,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p30_max0p75_c0,2,False,False,False,False,False
teacher_selected_candidate,repair5g518_grid_c1p25_b1p25_f1p00_w0p50_dc0p95_df1p00_beta0p35_max0p75_c0,2,False,False,False,False,False
teacher_selected_candidate,repair5g522_grid_c0p83_b1p50_f1p04_w0p64_dc0p97_df1p00_beta0p68_max1p00_c0,44,False,False,False,False,False
teacher_selected_candidate,repair5g522_grid_c0p85_b1p24_f0p87_w0p48_dc0p95_df0p98_beta0p65_max0p99_c0,5,False,False,False,False,False
teacher_selected_candidate,repair5g522_grid_c0p87_b1p57_f1p13_w0p79_dc0p91_df0p95_beta0p54_max0p89_c0,8,False,False,False,False,False
teacher_selected_candidate,repair5g522_grid_c0p90_b1p30_f1p00_w0p40_dc0p95_df1p00_beta0p30_max0p75_c0,2,False,False,False,False,False
teacher_selected_candidate,repair5g522_grid_c1p29_b1p74_f1p18_w0p77_dc0p99_df1p01_beta0p62_max0p91_c0,20,False,False,False,False,False
teacher_selected_candidate,repair5g59_additive_fallback,2,False,False,False,False,False
teacher_selected_candidate,repair5g59_block_heavy_flow_guard,2,False,False,False,False,False
teacher_selected_candidate,repair5g59_high_beta_cap_safe,4,False,False,False,False,False
teacher_selected_candidate,repair5g59_light_cong_light_flow,2,False,False,False,False,False
teacher_selected_candidate,repair5g59_low_beta_high_cap,6,False,False,False,False,False
teacher_selected_candidate,repair5g59_slow_decay_high_shield,4,False,False,False,False,False
teacher_selected_candidate,repair5g59_wait_aggressive,3,False,False,False,False,False
