normalized_context_key,short_budget_ms,teacher_action_class,teacher_region,teacher_param_vector,teacher_param_residual_vs_additive,teacher_param_residual_vs_g518,teacher_congestion_component,teacher_flow_component,teacher_bottleneck_adjustment,teacher_failure_reason_adjustment,teacher_warehouse_safety_adjustment,edge_update_teacher_proxy_only,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze-32-32-4|a100|s146|it0|14650fb0739d0383,1000,safe_g522_select,D_fractional_coverage,"{""alpha_cong_blocked"": 1.74, ""alpha_cong_committed"": 1.29, ""alpha_flow_progress"": 1.18, ""alpha_flow_wait_or_nonprogress"": 0.77, ""flow_shield_beta"": 0.62, ""max_flow_shield"": 0.91, ""rho_cong"": 0.99, ""rho_flow"": 1.01}",0.24,0,0.006796875,0.0024484281234656295,0.00390625,0.5623351446188083,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s146|it0|14650fb0739d0383,2000,safe_g522_select,D_fractional_coverage,"{""alpha_cong_blocked"": 1.74, ""alpha_cong_committed"": 1.29, ""alpha_flow_progress"": 1.18, ""alpha_flow_wait_or_nonprogress"": 0.77, ""flow_shield_beta"": 0.62, ""max_flow_shield"": 0.91, ""rho_cong"": 0.99, ""rho_flow"": 1.01}",0.24,0,0.006796875,0.0024484281234656295,0.00390625,0.5623351446188083,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s147|it0|14650fb0739d0383,1000,safe_g522_select,D_fractional_coverage,"{""alpha_cong_blocked"": 1.57, ""alpha_cong_committed"": 0.87, ""alpha_flow_progress"": 1.13, ""alpha_flow_wait_or_nonprogress"": 0.79, ""flow_shield_beta"": 0.54, ""max_flow_shield"": 0.89, ""rho_cong"": 0.91, ""rho_flow"": 0.95}",0.07,0,0.0061328125,0.0013035526127796616,0.00390625,0.5623351446188083,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s147|it0|14650fb0739d0383,2000,safe_g522_select,D_fractional_coverage,"{""alpha_cong_blocked"": 1.57, ""alpha_cong_committed"": 0.87, ""alpha_flow_progress"": 1.13, ""alpha_flow_wait_or_nonprogress"": 0.79, ""flow_shield_beta"": 0.54, ""max_flow_shield"": 0.89, ""rho_cong"": 0.91, ""rho_flow"": 0.95}",0.07,0,0.0061328125,0.0013035526127796616,0.00390625,0.5623351446188083,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s148|it0|14650fb0739d0383,1000,old14_g518_fallback,old14,"{""alpha_cong_blocked"": 1.5, ""alpha_cong_committed"": 1.0, ""alpha_flow_progress"": 1.0, ""alpha_flow_wait_or_nonprogress"": 0.5, ""flow_shield_beta"": 0.35, ""max_flow_shield"": 0.75, ""rho_cong"": 0.95, ""rho_flow"": 1.0}",0.25,0,0.005859375,0.003847289239382282,0.00390625,0.5623351446188083,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s148|it0|14650fb0739d0383,2000,old14_g518_fallback,old14,"{""alpha_cong_blocked"": 1.5, ""alpha_cong_committed"": 1.0, ""alpha_flow_progress"": 1.0, ""alpha_flow_wait_or_nonprogress"": 0.5, ""flow_shield_beta"": 0.35, ""max_flow_shield"": 0.75, ""rho_cong"": 0.95, ""rho_flow"": 1.0}",0.25,0,0.005859375,0.003847289239382282,0.00390625,0.5623351446188083,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s149|it0|14650fb0739d0383,1000,safe_g522_select,D_fractional_coverage,"{""alpha_cong_blocked"": 1.74, ""alpha_cong_committed"": 1.29, ""alpha_flow_progress"": 1.18, ""alpha_flow_wait_or_nonprogress"": 0.77, ""flow_shield_beta"": 0.62, ""max_flow_shield"": 0.91, ""rho_cong"": 0.99, ""rho_flow"": 1.01}",0.24,0,0.006796875,0.00045189255057234825,0.00390625,0.5623351446188083,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s149|it0|14650fb0739d0383,2000,safe_g522_select,D_fractional_coverage,"{""alpha_cong_blocked"": 1.74, ""alpha_cong_committed"": 1.29, ""alpha_flow_progress"": 1.18, ""alpha_flow_wait_or_nonprogress"": 0.77, ""flow_shield_beta"": 0.62, ""max_flow_shield"": 0.91, ""rho_cong"": 0.99, ""rho_flow"": 1.01}",0.24,0,0.006796875,0.00045189255057234825,0.00390625,0.5623351446188083,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s150|it0|14650fb0739d0383,1000,safe_g522_select,D_fractional_coverage,"{""alpha_cong_blocked"": 1.57, ""alpha_cong_committed"": 0.87, ""alpha_flow_progress"": 1.13, ""alpha_flow_wait_or_nonprogress"": 0.79, ""flow_shield_beta"": 0.54, ""max_flow_shield"": 0.89, ""rho_cong"": 0.91, ""rho_flow"": 0.95}",0.07,0,0.0061328125,0.003236270564625806,0.00390625,0.5623351446188083,0.0,True,False,False,False,False,False
maze-32-32-4|a100|s150|it0|14650fb0739d0383,2000,safe_g522_select,D_fractional_coverage,"{""alpha_cong_blocked"": 1.57, ""alpha_cong_committed"": 0.87, ""alpha_flow_progress"": 1.13, ""alpha_flow_wait_or_nonprogress"": 0.79, ""flow_shield_beta"": 0.54, ""max_flow_shield"": 0.89, ""rho_cong"": 0.91, ""rho_flow"": 0.95}",0.07,0,0.0061328125,0.003236270564625806,0.00390625,0.5623351446188083,0.0,True,False,False,False,False,False
