method_name,canonical_candidate_id,component,enable_dual_channel,alpha_cong_commit_progress,alpha_cong_commit_nonprogress,alpha_cong_block,alpha_cong_wait_progress,alpha_cong_wait_nonprogress,alpha_flow_commit_progress,alpha_flow_wait_progress,rho_cong_decay,rho_flow_decay,lambda_cong,lambda_flow,min_edge_cost,max_edge_cost,goal_projection_mode,flow_shield_beta,max_flow_shield,fallback_behavior,is_alias,alias_target,updateparams_hash
additive_ltm,additive_ltm,control,False,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,canonical_additive_ltm,False,,9c2122a6b5d2b1f12f9d3a893c6d103d14e05d21d4f8266a4eb4e73477e3d097
always_additive_defer,always_additive_defer,control,False,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,canonical_additive_ltm,False,,9c2122a6b5d2b1f12f9d3a893c6d103d14e05d21d4f8266a4eb4e73477e3d097
laur_disable,laur_disable,control,False,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,canonical_additive_ltm,False,,9c2122a6b5d2b1f12f9d3a893c6d103d14e05d21d4f8266a4eb4e73477e3d097
laur_force_additive_direct,laur_force_additive_direct,control,False,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,canonical_additive_ltm,False,,9c2122a6b5d2b1f12f9d3a893c6d103d14e05d21d4f8266a4eb4e73477e3d097
repair5f_candidate_additive_ltm,repair5f_candidate_additive_ltm,control,False,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.25,11.0,none,0.0,0.0,canonical_additive_ltm,False,,9c2122a6b5d2b1f12f9d3a893c6d103d14e05d21d4f8266a4eb4e73477e3d097
repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p25,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p25,flow_shield,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.05,0.25,,False,,a012f2dc1ee6d75addb19b318e71f4d2ed79b9ce545e26a4449672c7c07223b9
repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p5,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p5,flow_shield,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.05,0.5,,False,,1fdec72dc8e5d39194cb7ff3e9d17c9325f7579c93f83c4cdaa17e4a598b760b
repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p75,repair5g1_shield_c100_b100_w075_d095_beta0p05_max0p75,flow_shield,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.05,0.75,,False,,9420b32df1c7a30fb244dd5179c7b052df9d5060d80bc134230ccf2d92013969
repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p25,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p25,flow_shield,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.1,0.25,,False,,faaeb2a776b8963a202ae84e2558b74786fe6808b92f9777b3ba1de8de6f307f
repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p5,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p5,flow_shield,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.1,0.5,,False,,4b28cfee11f4ff519edc0f53904b01b15ccd86b2bf0a6fd453652b230db53fa9
repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p75,repair5g1_shield_c100_b100_w075_d095_beta0p1_max0p75,flow_shield,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.1,0.75,,False,,7455f4c8c6a7ef305f1421ee35c5f95c244620b444fcdaee9f75b47d12923bad
repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p25,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p25,flow_shield,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.2,0.25,,False,,340f7fc6f00070899be1b2c99ebb09302a124a896dfba01f8820dc96c2f843c9
repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p5,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p5,flow_shield,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.2,0.5,,False,,051c9f850db9db588a9e1fa5a9001651b213bcd5297f8214e4ce29d5fbe3d519
repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p75,repair5g1_shield_c100_b100_w075_d095_beta0p2_max0p75,flow_shield,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.2,0.75,,False,,d4f9b3e95df51daa88a3fb697596adac9bddf59028f668d84d4fc8e807c9d8ae
repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p25,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p25,flow_shield,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.35,0.25,,False,,aa7009b9e26a530e15fb03c22ce855648a27538194c3e09a64fb8856e9b6bc70
repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p5,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p5,flow_shield,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.35,0.5,,False,,be6c2fc19c97763574edf94688dc0cc1f87827f9f2df792a8ffe1675036b767f
repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p75,repair5g1_shield_c100_b100_w075_d095_beta0p35_max0p75,flow_shield,True,1.0,1.0,1.0,0.75,0.75,1.0,0.0,0.95,1.0,1.0,0.0,1.0,11.0,flow_shield,0.35,0.75,,False,,99378bbdc3f1b26f49b68ae20304e96c897312dd92ef1b7f08a6c572195c6111
repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p25,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p25,flow_shield,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.05,0.25,,False,,b9273743331e48404ad10dee078919c5489feeea492ae51eacebc632fc08a5c0
repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p5,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p5,flow_shield,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.05,0.5,,False,,830752c45cb783a3e030eb9630954fc2f00aa51631efb1b81a1af0e487536dc7
repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p75,repair5g1_shield_c100_b125_w075_d100_beta0p05_max0p75,flow_shield,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.05,0.75,,False,,ea3673c1e0ff522639bd3dd742595da16eed6e2479eedcef4bbf433fea33edd6
repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p25,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p25,flow_shield,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.1,0.25,,False,,c25e9e7eeacfe63df805d553c3fcb12a6dcd251a934e99c4fbde40ade5ac7f24
repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p5,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p5,flow_shield,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.1,0.5,,False,,663247f9e411a95c69c57f5af293697a50d95ba7d012104c1c4a1e4717da9d06
repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p75,repair5g1_shield_c100_b125_w075_d100_beta0p1_max0p75,flow_shield,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.1,0.75,,False,,714893a43b3c1aa2744eb1e69f436ceae9eed2fb465bc1af837bca2680a62ea0
repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p25,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p25,flow_shield,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.2,0.25,,False,,44f85d0b8131fdd226dce263c01960861ec5ec7f863b67e09378d355b6eaaedf
repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p5,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p5,flow_shield,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.2,0.5,,False,,7cf1570fca02ab2a1cf252a14f4737e486fad0b7e3c0f4088a21616f521750cc
repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,repair5g1_shield_c100_b125_w075_d100_beta0p2_max0p75,flow_shield,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.2,0.75,,False,,9eb8616d4340f819505b7f22355f54802be249e3379f8db0a899bac6870f0ef4
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p25,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p25,flow_shield,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.35,0.25,,False,,9b3f88eb4fb5db87c38dab497c1fdd0881c3933751960b84744edf5bf0a965de
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p5,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p5,flow_shield,True,1.0,1.0,1.25,0.75,0.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11.0,flow_shield,0.35,0.5,,False,,595acfcb70b64c4bd3593b8dd1c06c175644050d19c76e07fe4729871ccfa37e
