agents,classification,left_method,left_ratio,left_runtime_ms,left_success,map,mismatched_fields,right_method,right_ratio,right_runtime_ms,right_success,scen,seed,time_limit_ms
100,time_budget_sensitivity,repair5g52_runtime_always_static_exact,1.26052765094,3050.7432,True,maze-32-32-4,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g2_best_frozen_static_candidate,1.2128361238,2689.2241,True,maze-32-32-4-random-146.scen,146,3000.0
100,time_budget_sensitivity,repair5g52_runtime_always_map_agent_exact,1.22932521563,3017.6247,True,maze-32-32-4,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g2_frozen_static_or_selector,1.20192795535,2712.4644,True,maze-32-32-4-random-146.scen,146,3000.0
100,time_budget_sensitivity,repair5g52_runtime_selector_shadow_static,1.26052765094,3279.1296,True,maze-32-32-4,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g2_best_frozen_static_candidate,1.2128361238,2689.2241,True,maze-32-32-4-random-146.scen,146,3000.0
100,time_budget_sensitivity,repair5g52_runtime_always_static_exact,1.33613838242,3347.6252,True,maze-32-32-4,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g2_best_frozen_static_candidate,1.33520336606,2755.2044,True,maze-32-32-4-random-148.scen,148,3000.0
100,time_budget_sensitivity,repair5g52_runtime_selector_shadow_static,1.33613838242,3333.3547,True,maze-32-32-4,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g2_best_frozen_static_candidate,1.33520336606,2755.2044,True,maze-32-32-4-random-148.scen,148,3000.0
100,time_budget_sensitivity,repair5g52_runtime_always_static_exact,1.28754623921,3447.7775,True,maze-32-32-4,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g2_best_frozen_static_candidate,1.25104808878,2779.9827,True,maze-32-32-4-random-149.scen,149,3000.0
100,time_budget_sensitivity,repair5g52_runtime_always_map_agent_exact,1.28705302096,3365.141,True,maze-32-32-4,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g2_frozen_static_or_selector,1.22170160296,2788.9635,True,maze-32-32-4-random-149.scen,149,3000.0
100,time_budget_sensitivity,repair5g52_runtime_selector_shadow_static,1.28754623921,3368.5523,True,maze-32-32-4,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g2_best_frozen_static_candidate,1.25104808878,2779.9827,True,maze-32-32-4-random-149.scen,149,3000.0
100,time_budget_sensitivity,repair5g52_runtime_always_map_agent_exact,1.36514731806,3316.7587,True,maze-32-32-4,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g2_frozen_static_or_selector,1.31352304205,2800.0665,True,maze-32-32-4-random-150.scen,150,3000.0
100,time_budget_sensitivity,repair5g52_runtime_always_static_exact,1.24694189602,3524.4996,True,maze-32-32-4,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g2_best_frozen_static_candidate,1.24643221203,2671.788,True,maze-32-32-4-random-151.scen,151,3000.0
100,time_budget_sensitivity,repair5g52_runtime_always_map_agent_exact,1.26503567788,3515.4266,True,maze-32-32-4,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g2_frozen_static_or_selector,1.24362895005,2722.9889,True,maze-32-32-4-random-151.scen,151,3000.0
100,time_budget_sensitivity,repair5g52_runtime_selector_shadow_static,1.24694189602,3344.161,True,maze-32-32-4,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g2_best_frozen_static_candidate,1.24643221203,2671.788,True,maze-32-32-4-random-151.scen,151,3000.0
100,time_budget_sensitivity,repair5g52_runtime_always_static_exact,1.32618801653,3531.3568,True,maze-32-32-4,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g2_best_frozen_static_candidate,1.29003099174,2845.5815,True,maze-32-32-4-random-152.scen,152,3000.0
100,time_budget_sensitivity,repair5g52_runtime_always_map_agent_exact,1.32412190083,3529.7504,True,maze-32-32-4,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g2_frozen_static_or_selector,1.26988636364,2683.62,True,maze-32-32-4-random-152.scen,152,3000.0
100,time_budget_sensitivity,repair5g52_runtime_selector_shadow_static,1.32618801653,3508.556,True,maze-32-32-4,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g2_best_frozen_static_candidate,1.29003099174,2845.5815,True,maze-32-32-4-random-152.scen,152,3000.0
100,time_budget_sensitivity,repair5g52_runtime_selector_shadow_static,1.48993916706,3730.7873,True,maze-32-32-4,"sum_of_loss,sum_of_loss_ratio,makespan",repair5g2_best_frozen_static_candidate,1.48642957417,2994.2234,True,maze-32-32-4-random-153.scen,153,3000.0
