slice_id,normalized_context_key,budget_ms,solver_config,agent_id,from_id,candidate_count,failed_reason_histogram,failed_rank_histogram,reason_entropy,rank_entropy,dependency_chain_proxy,first_failed_reason,last_failed_reason,exact_priority_block_subreason,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g531_slice_00000,maze-32-32-4|a100|s146|it0|14650fb0739d0383,1000,static_flow_shield,9,775,6,"{""backtrack_or_inheritance"": 2, ""edge_swap"": 1, ""priority_block"": 4, ""unknown"": 0, ""vertex_conflict"": 1}","{""1"": 5, ""2"": 1, ""3"": 5, ""4"": 3, ""5"": 1}",1.21300756598,1.41536913508,1.02442771672,priority_block,priority_block,recursive_pibt_child_return_false,False,False,False,False,False
g531_slice_00001,maze-32-32-4|a100|s146|it0|14650fb0739d0383,1000,additive_ltm,42,41,7,"{""backtrack_or_inheritance"": 4, ""edge_swap"": 2, ""priority_block"": 4, ""unknown"": 0, ""vertex_conflict"": 3}","{""1"": 5, ""2"": 3, ""3"": 5, ""4"": 3, ""5"": 2}",1.35168119469,1.5530191347,1.02442771672,priority_block,priority_block,recursive_pibt_child_return_false,False,False,False,False,False
g531_slice_00002,maze-32-32-4|a100|s146|it0|14650fb0739d0383,1000,old14_representative,32,683,5,"{""backtrack_or_inheritance"": 5, ""edge_swap"": 0, ""priority_block"": 4, ""unknown"": 0, ""vertex_conflict"": 5}","{""1"": 5, ""2"": 1, ""3"": 1, ""4"": 3, ""5"": 1}",1.09337471756,1.36671105206,1.02442771672,vertex_conflict,priority_block,recursive_pibt_child_return_false,False,False,False,False,False
g531_slice_00003,maze-32-32-4|a100|s146|it0|14650fb0739d0383,1000,g522_teacher_representative_or_top_region,6,417,6,"{""backtrack_or_inheritance"": 5, ""edge_swap"": 1, ""priority_block"": 4, ""unknown"": 0, ""vertex_conflict"": 7}","{""1"": 4, ""2"": 5, ""3"": 2, ""4"": 1, ""5"": 3}",1.23240522347,1.48975031885,1.02442771672,vertex_conflict,priority_block,recursive_pibt_child_return_false,False,False,False,False,False
g531_slice_00004,maze-32-32-4|a100|s146|it0|14650fb0739d0383,1000,g523_conservative_teacher_proxy,23,1386,5,"{""backtrack_or_inheritance"": 4, ""edge_swap"": 3, ""priority_block"": 4, ""unknown"": 0, ""vertex_conflict"": 2}","{""1"": 4, ""2"": 4, ""3"": 2, ""4"": 4, ""5"": 1}",1.35168119469,1.50659508813,1.02442771672,priority_block,priority_block,recursive_pibt_child_return_false,False,False,False,False,False
g531_slice_00005,maze-32-32-4|a100|s146|it0|14650fb0739d0383,2000,static_flow_shield,52,1644,5,"{""backtrack_or_inheritance"": 2, ""edge_swap"": 1, ""priority_block"": 3, ""unknown"": 0, ""vertex_conflict"": 1}","{""1"": 5, ""2"": 1, ""3"": 5, ""4"": 3, ""5"": 1}",1.27703425947,1.41536913508,0.664979395062,priority_block,vertex_conflict,none,False,False,False,False,False
g531_slice_00006,maze-32-32-4|a100|s146|it0|14650fb0739d0383,2000,additive_ltm,16,1263,6,"{""backtrack_or_inheritance"": 4, ""edge_swap"": 2, ""priority_block"": 3, ""unknown"": 0, ""vertex_conflict"": 3}","{""1"": 5, ""2"": 3, ""3"": 5, ""4"": 3, ""5"": 2}",1.35797785499,1.5530191347,0.664979395062,backtrack_or_inheritance,vertex_conflict,none,False,False,False,False,False
g531_slice_00007,maze-32-32-4|a100|s146|it0|14650fb0739d0383,2000,old14_representative,29,1854,4,"{""backtrack_or_inheritance"": 5, ""edge_swap"": 0, ""priority_block"": 3, ""unknown"": 0, ""vertex_conflict"": 5}","{""1"": 5, ""2"": 1, ""3"": 1, ""4"": 3, ""5"": 1}",1.07339428128,1.36671105206,0.664979395062,vertex_conflict,vertex_conflict,none,False,False,False,False,False
g531_slice_00008,maze-32-32-4|a100|s146|it0|14650fb0739d0383,2000,g522_teacher_representative_or_top_region,39,1023,5,"{""backtrack_or_inheritance"": 5, ""edge_swap"": 1, ""priority_block"": 3, ""unknown"": 0, ""vertex_conflict"": 7}","{""1"": 4, ""2"": 5, ""3"": 2, ""4"": 1, ""5"": 3}",1.21231388027,1.48975031885,0.664979395062,vertex_conflict,vertex_conflict,none,False,False,False,False,False
g531_slice_00009,maze-32-32-4|a100|s146|it0|14650fb0739d0383,2000,g523_conservative_teacher_proxy,54,153,4,"{""backtrack_or_inheritance"": 4, ""edge_swap"": 3, ""priority_block"": 3, ""unknown"": 0, ""vertex_conflict"": 2}","{""1"": 4, ""2"": 4, ""3"": 2, ""4"": 4, ""5"": 1}",1.35797785499,1.50659508813,0.664979395062,backtrack_or_inheritance,vertex_conflict,none,False,False,False,False,False
