label_id,slice_granularity,slice_id,normalized_context_key,budget_ms,map_family,solver_config,target_context_high_risk,target_context_should_fallback,target_future_failure_density_bucket,target_future_blocked_reason_distribution,target_edge_future_congestion_increase,target_edge_future_flow_reuse,target_failure_dependency_chain_proxy_bucket,evidence_strength,gold_validation_only,gold_validation_labels_not_features,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g531_risk_context_000000,context,g531_slice_00000,maze-32-32-4|a100|s146|it0|14650fb0739d0383,1000,maze,static_flow_shield,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000001,context,g531_slice_00001,maze-32-32-4|a100|s146|it0|14650fb0739d0383,1000,maze,additive_ltm,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000002,context,g531_slice_00002,maze-32-32-4|a100|s146|it0|14650fb0739d0383,1000,maze,old14_representative,True,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000003,context,g531_slice_00003,maze-32-32-4|a100|s146|it0|14650fb0739d0383,1000,maze,g522_teacher_representative_or_top_region,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000004,context,g531_slice_00004,maze-32-32-4|a100|s146|it0|14650fb0739d0383,1000,maze,g523_conservative_teacher_proxy,True,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000005,context,g531_slice_00005,maze-32-32-4|a100|s146|it0|14650fb0739d0383,2000,maze,static_flow_shield,True,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000006,context,g531_slice_00006,maze-32-32-4|a100|s146|it0|14650fb0739d0383,2000,maze,additive_ltm,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000007,context,g531_slice_00007,maze-32-32-4|a100|s146|it0|14650fb0739d0383,2000,maze,old14_representative,False,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000008,context,g531_slice_00008,maze-32-32-4|a100|s146|it0|14650fb0739d0383,2000,maze,g522_teacher_representative_or_top_region,True,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000009,context,g531_slice_00009,maze-32-32-4|a100|s146|it0|14650fb0739d0383,2000,maze,g523_conservative_teacher_proxy,False,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000010,context,g531_slice_00010,maze-32-32-4|a100|s147|it0|14650fb0739d0383,1000,maze,static_flow_shield,True,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000011,context,g531_slice_00011,maze-32-32-4|a100|s147|it0|14650fb0739d0383,1000,maze,additive_ltm,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000012,context,g531_slice_00012,maze-32-32-4|a100|s147|it0|14650fb0739d0383,1000,maze,old14_representative,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000013,context,g531_slice_00013,maze-32-32-4|a100|s147|it0|14650fb0739d0383,1000,maze,g522_teacher_representative_or_top_region,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000014,context,g531_slice_00014,maze-32-32-4|a100|s147|it0|14650fb0739d0383,1000,maze,g523_conservative_teacher_proxy,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000015,context,g531_slice_00015,maze-32-32-4|a100|s147|it0|14650fb0739d0383,2000,maze,static_flow_shield,True,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000016,context,g531_slice_00016,maze-32-32-4|a100|s147|it0|14650fb0739d0383,2000,maze,additive_ltm,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000017,context,g531_slice_00017,maze-32-32-4|a100|s147|it0|14650fb0739d0383,2000,maze,old14_representative,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000018,context,g531_slice_00018,maze-32-32-4|a100|s147|it0|14650fb0739d0383,2000,maze,g522_teacher_representative_or_top_region,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000019,context,g531_slice_00019,maze-32-32-4|a100|s147|it0|14650fb0739d0383,2000,maze,g523_conservative_teacher_proxy,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000020,context,g531_slice_00020,maze-32-32-4|a100|s148|it0|14650fb0739d0383,1000,maze,static_flow_shield,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000021,context,g531_slice_00021,maze-32-32-4|a100|s148|it0|14650fb0739d0383,1000,maze,additive_ltm,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000022,context,g531_slice_00022,maze-32-32-4|a100|s148|it0|14650fb0739d0383,1000,maze,old14_representative,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000023,context,g531_slice_00023,maze-32-32-4|a100|s148|it0|14650fb0739d0383,1000,maze,g522_teacher_representative_or_top_region,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000024,context,g531_slice_00024,maze-32-32-4|a100|s148|it0|14650fb0739d0383,1000,maze,g523_conservative_teacher_proxy,False,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000025,context,g531_slice_00025,maze-32-32-4|a100|s148|it0|14650fb0739d0383,2000,maze,static_flow_shield,True,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000026,context,g531_slice_00026,maze-32-32-4|a100|s148|it0|14650fb0739d0383,2000,maze,additive_ltm,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000027,context,g531_slice_00027,maze-32-32-4|a100|s148|it0|14650fb0739d0383,2000,maze,old14_representative,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000028,context,g531_slice_00028,maze-32-32-4|a100|s148|it0|14650fb0739d0383,2000,maze,g522_teacher_representative_or_top_region,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000029,context,g531_slice_00029,maze-32-32-4|a100|s148|it0|14650fb0739d0383,2000,maze,g523_conservative_teacher_proxy,False,False,low,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000030,context,g531_slice_00030,maze-32-32-4|a100|s149|it0|14650fb0739d0383,1000,maze,static_flow_shield,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000031,context,g531_slice_00031,maze-32-32-4|a100|s149|it0|14650fb0739d0383,1000,maze,additive_ltm,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000032,context,g531_slice_00032,maze-32-32-4|a100|s149|it0|14650fb0739d0383,1000,maze,old14_representative,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000033,context,g531_slice_00033,maze-32-32-4|a100|s149|it0|14650fb0739d0383,1000,maze,g522_teacher_representative_or_top_region,False,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000034,context,g531_slice_00034,maze-32-32-4|a100|s149|it0|14650fb0739d0383,1000,maze,g523_conservative_teacher_proxy,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000035,context,g531_slice_00035,maze-32-32-4|a100|s149|it0|14650fb0739d0383,2000,maze,static_flow_shield,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000036,context,g531_slice_00036,maze-32-32-4|a100|s149|it0|14650fb0739d0383,2000,maze,additive_ltm,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000037,context,g531_slice_00037,maze-32-32-4|a100|s149|it0|14650fb0739d0383,2000,maze,old14_representative,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000038,context,g531_slice_00038,maze-32-32-4|a100|s149|it0|14650fb0739d0383,2000,maze,g522_teacher_representative_or_top_region,False,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000039,context,g531_slice_00039,maze-32-32-4|a100|s149|it0|14650fb0739d0383,2000,maze,g523_conservative_teacher_proxy,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000040,context,g531_slice_00040,maze-32-32-4|a100|s150|it0|14650fb0739d0383,1000,maze,static_flow_shield,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000041,context,g531_slice_00041,maze-32-32-4|a100|s150|it0|14650fb0739d0383,1000,maze,additive_ltm,False,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000042,context,g531_slice_00042,maze-32-32-4|a100|s150|it0|14650fb0739d0383,1000,maze,old14_representative,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000043,context,g531_slice_00043,maze-32-32-4|a100|s150|it0|14650fb0739d0383,1000,maze,g522_teacher_representative_or_top_region,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000044,context,g531_slice_00044,maze-32-32-4|a100|s150|it0|14650fb0739d0383,1000,maze,g523_conservative_teacher_proxy,True,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000045,context,g531_slice_00045,maze-32-32-4|a100|s150|it0|14650fb0739d0383,2000,maze,static_flow_shield,True,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000046,context,g531_slice_00046,maze-32-32-4|a100|s150|it0|14650fb0739d0383,2000,maze,additive_ltm,False,False,low,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000047,context,g531_slice_00047,maze-32-32-4|a100|s150|it0|14650fb0739d0383,2000,maze,old14_representative,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000048,context,g531_slice_00048,maze-32-32-4|a100|s150|it0|14650fb0739d0383,2000,maze,g522_teacher_representative_or_top_region,True,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000049,context,g531_slice_00049,maze-32-32-4|a100|s150|it0|14650fb0739d0383,2000,maze,g523_conservative_teacher_proxy,False,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000050,context,g531_slice_00050,maze-32-32-4|a100|s151|it0|14650fb0739d0383,1000,maze,static_flow_shield,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000051,context,g531_slice_00051,maze-32-32-4|a100|s151|it0|14650fb0739d0383,1000,maze,additive_ltm,True,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000052,context,g531_slice_00052,maze-32-32-4|a100|s151|it0|14650fb0739d0383,1000,maze,old14_representative,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000053,context,g531_slice_00053,maze-32-32-4|a100|s151|it0|14650fb0739d0383,1000,maze,g522_teacher_representative_or_top_region,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000054,context,g531_slice_00054,maze-32-32-4|a100|s151|it0|14650fb0739d0383,1000,maze,g523_conservative_teacher_proxy,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000055,context,g531_slice_00055,maze-32-32-4|a100|s151|it0|14650fb0739d0383,2000,maze,static_flow_shield,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000056,context,g531_slice_00056,maze-32-32-4|a100|s151|it0|14650fb0739d0383,2000,maze,additive_ltm,False,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000057,context,g531_slice_00057,maze-32-32-4|a100|s151|it0|14650fb0739d0383,2000,maze,old14_representative,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000058,context,g531_slice_00058,maze-32-32-4|a100|s151|it0|14650fb0739d0383,2000,maze,g522_teacher_representative_or_top_region,True,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000059,context,g531_slice_00059,maze-32-32-4|a100|s151|it0|14650fb0739d0383,2000,maze,g523_conservative_teacher_proxy,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000060,context,g531_slice_00060,maze-32-32-4|a100|s152|it0|14650fb0739d0383,1000,maze,static_flow_shield,True,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000061,context,g531_slice_00061,maze-32-32-4|a100|s152|it0|14650fb0739d0383,1000,maze,additive_ltm,True,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000062,context,g531_slice_00062,maze-32-32-4|a100|s152|it0|14650fb0739d0383,1000,maze,old14_representative,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000063,context,g531_slice_00063,maze-32-32-4|a100|s152|it0|14650fb0739d0383,1000,maze,g522_teacher_representative_or_top_region,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000064,context,g531_slice_00064,maze-32-32-4|a100|s152|it0|14650fb0739d0383,1000,maze,g523_conservative_teacher_proxy,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000065,context,g531_slice_00065,maze-32-32-4|a100|s152|it0|14650fb0739d0383,2000,maze,static_flow_shield,False,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000066,context,g531_slice_00066,maze-32-32-4|a100|s152|it0|14650fb0739d0383,2000,maze,additive_ltm,False,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000067,context,g531_slice_00067,maze-32-32-4|a100|s152|it0|14650fb0739d0383,2000,maze,old14_representative,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000068,context,g531_slice_00068,maze-32-32-4|a100|s152|it0|14650fb0739d0383,2000,maze,g522_teacher_representative_or_top_region,True,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000069,context,g531_slice_00069,maze-32-32-4|a100|s152|it0|14650fb0739d0383,2000,maze,g523_conservative_teacher_proxy,True,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000070,context,g531_slice_00070,maze-32-32-4|a100|s153|it0|14650fb0739d0383,1000,maze,static_flow_shield,False,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000071,context,g531_slice_00071,maze-32-32-4|a100|s153|it0|14650fb0739d0383,1000,maze,additive_ltm,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000072,context,g531_slice_00072,maze-32-32-4|a100|s153|it0|14650fb0739d0383,1000,maze,old14_representative,True,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000073,context,g531_slice_00073,maze-32-32-4|a100|s153|it0|14650fb0739d0383,1000,maze,g522_teacher_representative_or_top_region,True,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000074,context,g531_slice_00074,maze-32-32-4|a100|s153|it0|14650fb0739d0383,1000,maze,g523_conservative_teacher_proxy,False,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000075,context,g531_slice_00075,maze-32-32-4|a100|s153|it0|14650fb0739d0383,2000,maze,static_flow_shield,False,False,low,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000076,context,g531_slice_00076,maze-32-32-4|a100|s153|it0|14650fb0739d0383,2000,maze,additive_ltm,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000077,context,g531_slice_00077,maze-32-32-4|a100|s153|it0|14650fb0739d0383,2000,maze,old14_representative,False,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000078,context,g531_slice_00078,maze-32-32-4|a100|s153|it0|14650fb0739d0383,2000,maze,g522_teacher_representative_or_top_region,False,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000079,context,g531_slice_00079,maze-32-32-4|a100|s153|it0|14650fb0739d0383,2000,maze,g523_conservative_teacher_proxy,False,False,low,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000080,context,g531_slice_00080,maze-32-32-4|a100|s154|it0|14650fb0739d0383,1000,maze,static_flow_shield,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000081,context,g531_slice_00081,maze-32-32-4|a100|s154|it0|14650fb0739d0383,1000,maze,additive_ltm,False,False,low,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000082,context,g531_slice_00082,maze-32-32-4|a100|s154|it0|14650fb0739d0383,1000,maze,old14_representative,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000083,context,g531_slice_00083,maze-32-32-4|a100|s154|it0|14650fb0739d0383,1000,maze,g522_teacher_representative_or_top_region,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000084,context,g531_slice_00084,maze-32-32-4|a100|s154|it0|14650fb0739d0383,1000,maze,g523_conservative_teacher_proxy,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000085,context,g531_slice_00085,maze-32-32-4|a100|s154|it0|14650fb0739d0383,2000,maze,static_flow_shield,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000086,context,g531_slice_00086,maze-32-32-4|a100|s154|it0|14650fb0739d0383,2000,maze,additive_ltm,False,False,low,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000087,context,g531_slice_00087,maze-32-32-4|a100|s154|it0|14650fb0739d0383,2000,maze,old14_representative,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000088,context,g531_slice_00088,maze-32-32-4|a100|s154|it0|14650fb0739d0383,2000,maze,g522_teacher_representative_or_top_region,True,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000089,context,g531_slice_00089,maze-32-32-4|a100|s154|it0|14650fb0739d0383,2000,maze,g523_conservative_teacher_proxy,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000090,context,g531_slice_00090,maze-32-32-4|a100|s155|it0|14650fb0739d0383,1000,maze,static_flow_shield,True,True,high,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
g531_risk_context_000091,context,g531_slice_00091,maze-32-32-4|a100|s155|it0|14650fb0739d0383,1000,maze,additive_ltm,False,False,medium,,,,,local_checkpoint_replay,False,True,False,False,False,False,False
