utility_id,context_budget_iteration_key,map,map_family,agents,seed,budget_ms,iteration,candidate_id,selected_best_candidate,selected_best_goal_aware_candidate,selected_best_dual_channel_candidate,candidate_delta_vs_additive,candidate_delta_vs_static_flow_shield,solver_facing_utility,candidate_harmful,candidate_safe_positive,candidate_high_margin,fallback_to_additive_recommended,goal_aware_opportunity,dual_channel_opportunity,warehouse_guard_needed,budget_sensitive_failure,ttfs_term_available,expanded_nodes_term_available,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g533_utility_0000000,maze-32-32-4|50|146|500|0,maze-32-32-4,maze,50,146,500,0,repair5g59_additive_fallback,repair5g59_additive_fallback,repair5g59_static_flow_shield,repair5g59_static_flow_shield,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
g533_utility_0000001,maze-32-32-4|50|146|500|0,maze-32-32-4,maze,50,146,500,0,repair5g59_static_flow_shield,repair5g59_additive_fallback,repair5g59_static_flow_shield,repair5g59_static_flow_shield,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
g533_utility_0000002,maze-32-32-4|50|146|500|0,maze-32-32-4,maze,50,146,500,0,repair5g59_c_only_f_disabled,repair5g59_additive_fallback,repair5g59_static_flow_shield,repair5g59_static_flow_shield,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
g533_utility_0000003,maze-32-32-4|50|146|500|0,maze-32-32-4,maze,50,146,500,0,repair5g59_light_cong_light_flow,repair5g59_additive_fallback,repair5g59_static_flow_shield,repair5g59_static_flow_shield,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
g533_utility_0000004,maze-32-32-4|50|146|500|0,maze-32-32-4,maze,50,146,500,0,repair5g59_block_heavy_flow_guard,repair5g59_additive_fallback,repair5g59_static_flow_shield,repair5g59_static_flow_shield,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
g533_utility_0000005,maze-32-32-4|50|146|500|0,maze-32-32-4,maze,50,146,500,0,repair5g59_commit_heavy_flow_guard,repair5g59_additive_fallback,repair5g59_static_flow_shield,repair5g59_static_flow_shield,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
g533_utility_0000006,maze-32-32-4|50|146|500|0,maze-32-32-4,maze,50,146,500,0,repair5g59_wait_conservative,repair5g59_additive_fallback,repair5g59_static_flow_shield,repair5g59_static_flow_shield,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
g533_utility_0000007,maze-32-32-4|50|146|500|0,maze-32-32-4,maze,50,146,500,0,repair5g59_wait_aggressive,repair5g59_additive_fallback,repair5g59_static_flow_shield,repair5g59_static_flow_shield,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
g533_utility_0000008,maze-32-32-4|50|146|500|0,maze-32-32-4,maze,50,146,500,0,repair5g59_flow_decay,repair5g59_additive_fallback,repair5g59_static_flow_shield,repair5g59_static_flow_shield,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
g533_utility_0000009,maze-32-32-4|50|146|500|0,maze-32-32-4,maze,50,146,500,0,repair5g59_high_beta_cap_safe,repair5g59_additive_fallback,repair5g59_static_flow_shield,repair5g59_static_flow_shield,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
