context_feature_id,slice_id,normalized_context_key,map,map_family,agents,seed,budget_ms,iteration,solver_config,trace_event_count,pibt_failure_audit_count,solution_found,sum_of_loss_ratio,failed_candidate_count,failed_reason_entropy,pre_update_features_allowed,post_update_diagnostic_features_allowed_for_training,solver_outcome_features_allowed_for_training,gold_validation_only_features_allowed_for_training,forbidden_or_leaky_features,feature_strength,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g533_context_000000,g532_slice_000000,maze-32-32-4|a50|s146|it0|c7dae4a48422,maze-32-32-4,maze,50,146,1000,0,static_flow_shield,4594,5,True,1.16480162767,18,0.654669564529,True,False,False,False,"solution_found,sum_of_loss_ratio,failed_candidate_count are diagnostic labels, not model features",bounded_committed_slice_only,False,False,False,False,False
g533_context_000001,g532_slice_000001,maze-32-32-4|a50|s146|it0|c7dae4a48422,maze-32-32-4,maze,50,146,1000,0,additive_ltm,4594,5,True,1.16480162767,18,0.654669564529,True,False,False,False,"solution_found,sum_of_loss_ratio,failed_candidate_count are diagnostic labels, not model features",bounded_committed_slice_only,False,False,False,False,False
g533_context_000002,g532_slice_000002,maze-32-32-4|a50|s146|it0|c7dae4a48422,maze-32-32-4,maze,50,146,1000,0,old14_representative,4594,5,True,1.16480162767,18,0.654669564529,True,False,False,False,"solution_found,sum_of_loss_ratio,failed_candidate_count are diagnostic labels, not model features",bounded_committed_slice_only,False,False,False,False,False
g533_context_000003,g532_slice_000003,maze-32-32-4|a50|s147|it0|074c749363dd,maze-32-32-4,maze,50,147,1000,0,static_flow_shield,4999,0,True,1.15077910174,207,0,True,False,False,False,"solution_found,sum_of_loss_ratio,failed_candidate_count are diagnostic labels, not model features",bounded_committed_slice_only,False,False,False,False,False
g533_context_000004,g532_slice_000004,maze-32-32-4|a50|s147|it0|074c749363dd,maze-32-32-4,maze,50,147,1000,0,additive_ltm,4999,0,True,1.15077910174,0,0,True,False,False,False,"solution_found,sum_of_loss_ratio,failed_candidate_count are diagnostic labels, not model features",bounded_committed_slice_only,False,False,False,False,False
g533_context_000005,g532_slice_000005,maze-32-32-4|a50|s147|it0|074c749363dd,maze-32-32-4,maze,50,147,1000,0,old14_representative,4999,0,True,1.15077910174,207,0,True,False,False,False,"solution_found,sum_of_loss_ratio,failed_candidate_count are diagnostic labels, not model features",bounded_committed_slice_only,False,False,False,False,False
g533_context_000006,g532_slice_000006,maze-32-32-4|a50|s148|it0|aaeca5d81436,maze-32-32-4,maze,50,148,1000,0,static_flow_shield,5128,0,True,1.22870418172,290,0,True,False,False,False,"solution_found,sum_of_loss_ratio,failed_candidate_count are diagnostic labels, not model features",bounded_committed_slice_only,False,False,False,False,False
g533_context_000007,g532_slice_000007,maze-32-32-4|a50|s148|it0|aaeca5d81436,maze-32-32-4,maze,50,148,1000,0,additive_ltm,5128,0,True,1.22870418172,0,0,True,False,False,False,"solution_found,sum_of_loss_ratio,failed_candidate_count are diagnostic labels, not model features",bounded_committed_slice_only,False,False,False,False,False
g533_context_000008,g532_slice_000008,maze-32-32-4|a50|s148|it0|aaeca5d81436,maze-32-32-4,maze,50,148,1000,0,old14_representative,5128,0,True,1.22870418172,290,0,True,False,False,False,"solution_found,sum_of_loss_ratio,failed_candidate_count are diagnostic labels, not model features",bounded_committed_slice_only,False,False,False,False,False
g533_context_000009,g532_slice_000009,maze-32-32-4|a50|s149|it0|58cc592ada66,maze-32-32-4,maze,50,149,1000,0,static_flow_shield,5592,0,True,1.16271721959,215,0,True,False,False,False,"solution_found,sum_of_loss_ratio,failed_candidate_count are diagnostic labels, not model features",bounded_committed_slice_only,False,False,False,False,False
g533_context_000010,g532_slice_000010,maze-32-32-4|a50|s149|it0|58cc592ada66,maze-32-32-4,maze,50,149,1000,0,additive_ltm,5592,0,True,1.16271721959,0,0,True,False,False,False,"solution_found,sum_of_loss_ratio,failed_candidate_count are diagnostic labels, not model features",bounded_committed_slice_only,False,False,False,False,False
g533_context_000011,g532_slice_000011,maze-32-32-4|a50|s149|it0|58cc592ada66,maze-32-32-4,maze,50,149,1000,0,old14_representative,5592,0,True,1.16271721959,215,0,True,False,False,False,"solution_found,sum_of_loss_ratio,failed_candidate_count are diagnostic labels, not model features",bounded_committed_slice_only,False,False,False,False,False
g533_context_000012,g532_slice_000012,maze-32-32-4|a50|s150|it0|79258cd40d93,maze-32-32-4,maze,50,150,1000,0,static_flow_shield,5449,0,True,1.20628571429,204,0,True,False,False,False,"solution_found,sum_of_loss_ratio,failed_candidate_count are diagnostic labels, not model features",bounded_committed_slice_only,False,False,False,False,False
g533_context_000013,g532_slice_000013,maze-32-32-4|a50|s150|it0|79258cd40d93,maze-32-32-4,maze,50,150,1000,0,additive_ltm,5449,0,True,1.20628571429,0,0,True,False,False,False,"solution_found,sum_of_loss_ratio,failed_candidate_count are diagnostic labels, not model features",bounded_committed_slice_only,False,False,False,False,False
