edge_feature_id,slice_id,normalized_context_key,budget_ms,solver_config,map,map_family,agents,edge_id,from_id,to_id,c_before,f_before,c_after,f_after,c_delta,f_delta,c_to_f_ratio,dual_channel_active_proxy,edge_update_magnitude,edge_update_sign,edge_seen_in_context_count,edge_seen_in_failure_count,edge_seen_in_committed_count,edge_seen_in_blocked_count,goal_progress_event_count,goal_regress_event_count,lateral_event_count,goal_wait_ignored_count,non_goal_wait_count,committed_progress_count,committed_nonprogress_count,blocked_progress_edge_count,blocked_regress_edge_count,blocked_lateral_edge_count,progress_weighted_flow_demand,nonprogress_congestion_pressure,contraflow_pressure_proxy,degree_from,degree_to,is_dead_end,is_corridor,is_junction,is_bridge_or_cut_proxy,local_obstacle_density,local_degree_entropy,local_alternative_count,edge_reverse_seen,feature_group,forbidden_or_leaky_features,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g533_edge_0000000,g532_slice_000000,maze-32-32-4|a50|s146|it0|c7dae4a48422,1000,static_flow_shield,maze-32-32-4,maze,50,e0000,6,7,0,0,0.36496350365,0.714285714286,0.36496350365,0.714285714286,0,True,1.07924921794,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,165,213,False,False,True,False,,5.1059454739,164,1,pre_update_features,False,False,False,False,False,False
g533_edge_0000001,g532_slice_000000,maze-32-32-4|a50|s146|it0|c7dae4a48422,1000,static_flow_shield,maze-32-32-4,maze,50,e0001,7,8,0,0,0.36496350365,0.714285714286,0.36496350365,0.714285714286,0,True,1.07924921794,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,219,267,False,False,True,False,,5.38907172982,218,1,pre_update_features,False,False,False,False,False,False
g533_edge_0000002,g532_slice_000000,maze-32-32-4|a50|s146|it0|c7dae4a48422,1000,static_flow_shield,maze-32-32-4,maze,50,e0002,8,9,0,0,0.36496350365,0.714285714286,0.36496350365,0.714285714286,0,True,1.07924921794,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,252,189,False,False,True,False,,5.52942908751,251,1,pre_update_features,False,False,False,False,False,False
g533_edge_0000003,g532_slice_000000,maze-32-32-4|a50|s146|it0|c7dae4a48422,1000,static_flow_shield,maze-32-32-4,maze,50,e0003,9,10,0,0,0.36496350365,0.714285714286,0.36496350365,0.714285714286,0,True,1.07924921794,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,180,162,False,False,True,False,,5.19295685089,179,1,pre_update_features,False,False,False,False,False,False
g533_edge_0000004,g532_slice_000000,maze-32-32-4|a50|s146|it0|c7dae4a48422,1000,static_flow_shield,maze-32-32-4,maze,50,e0004,10,11,0,0,0.36496350365,0.714285714286,0.36496350365,0.714285714286,0,True,1.07924921794,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123,120,False,False,True,False,,4.81218435537,122,1,pre_update_features,False,False,False,False,False,False
g533_edge_0000005,g532_slice_000000,maze-32-32-4|a50|s146|it0|c7dae4a48422,1000,static_flow_shield,maze-32-32-4,maze,50,e0005,11,12,0,0,0.36496350365,0.714285714286,0.36496350365,0.714285714286,0,True,1.07924921794,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,138,156,False,False,True,False,,4.92725368516,137,1,pre_update_features,False,False,False,False,False,False
g533_edge_0000006,g532_slice_000000,maze-32-32-4|a50|s146|it0|c7dae4a48422,1000,static_flow_shield,maze-32-32-4,maze,50,e0006,12,13,0,0,0.36496350365,0.714285714286,0.36496350365,0.714285714286,0,True,1.07924921794,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,171,129,False,False,True,False,,5.1416635565,170,1,pre_update_features,False,False,False,False,False,False
g533_edge_0000007,g532_slice_000000,maze-32-32-4|a50|s146|it0|c7dae4a48422,1000,static_flow_shield,maze-32-32-4,maze,50,e0007,13,14,0,0,0.36496350365,0.714285714286,0.36496350365,0.714285714286,0,True,1.07924921794,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,147,117,False,False,True,False,,4.99043258678,146,1,pre_update_features,False,False,False,False,False,False
g533_edge_0000008,g532_slice_000000,maze-32-32-4|a50|s146|it0|c7dae4a48422,1000,static_flow_shield,maze-32-32-4,maze,50,e0008,14,15,0,0,0.36496350365,0.714285714286,0.36496350365,0.714285714286,0,True,1.07924921794,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,135,102,False,False,True,False,,4.90527477844,134,1,pre_update_features,False,False,False,False,False,False
g533_edge_0000009,g532_slice_000000,maze-32-32-4|a50|s146|it0|c7dae4a48422,1000,static_flow_shield,maze-32-32-4,maze,50,e0009,15,16,0,0,0.36496350365,0.714285714286,0.36496350365,0.714285714286,0,True,1.07924921794,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,108,126,False,False,True,False,,4.68213122712,107,1,pre_update_features,False,False,False,False,False,False
