g535_replay_row_id,context_budget_iteration_key,role,planned_candidate_id,materialized_candidate_id,materialization_source,probe_row_id,source_round,source_loop,commit,branch,dirty_state,binary_path,method,method_alias,candidate_id,update_params_fingerprint,map,map_family,agents,seed,budget_ms,ltm_max_iterations,iteration,solution_found,sum_of_loss_ratio,time_to_first_solution,expanded_nodes,high_level_expansions,low_level_pibt_calls,trace_event_count,pibt_failure_audit_count,traffic_before_hash,traffic_after_hash,raw_log_pointer,trace_backend,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g535_no_reg_replay_00000000,maze-32-32-4|100|212|1000|0,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,committed_g534_real_solver_replay,g534_probe_00000005,g534_prospective_real_solver,prospective_selected_replay,,,,build/phase1a-batch/phase1a_batch.exe,repair5g59_additive_fallback,repair5g59_additive_fallback__b1000__i2,repair5g59_additive_fallback,alpha_commit=1|alpha_block=1|alpha_wait_spillover=1|rho_decay=1|force_additive=1|enable_dual_channel=0|alpha_cong_commit_progress=0|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=1|alpha_cong_wait_nonprogress=1|alpha_flow_commit_progress=0|alpha_flow_wait_progress=0|rho_cong_decay=1|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=0.25|max_edge_cost=11|goal_projection_mode=none|flow_shield_beta=0|max_flow_shield=0,maze-32-32-4,maze,100,212,1000,2,0,True,1.38877705083,,125,130,12891,14701,11,14650fb0739d0383,b01429cd71cb344b,outputs/logs/phase5p5_repair5g534_prospective_selected_replay/phase5p5_repair5g534_prospective_checkpoints.jsonl#b1000:5,real_solver_trace,False,False,False,False,False
g535_no_reg_replay_00000001,maze-32-32-4|100|212|1000|final,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,committed_g534_real_solver_replay,g534_probe_00000755,g534_solver_run_row_no_checkpoint,prospective_selected_replay,cae93fe,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_additive_fallback,repair5g59_additive_fallback__b1000__i2,repair5g59_additive_fallback,,maze-32-32-4,maze,100,212,1000,2,final,True,1.38877705083,645,125,130,12891,14701,,,,,real_solver_trace,False,False,False,False,False
g535_no_reg_replay_00000002,maze-32-32-4|100|212|1000|final,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,committed_g534_real_solver_replay,g534_probe_00000756,g534_solver_run_row_no_checkpoint,prospective_selected_replay,cae93fe,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_static_flow_shield,repair5g59_static_flow_shield__b1000__i2,repair5g59_static_flow_shield,,maze-32-32-4,maze,100,212,1000,2,final,True,1.38877705083,636,125,130,12891,14701,,,,,real_solver_trace,False,False,False,False,False
g535_no_reg_replay_00000003,maze-32-32-4|100|212|1000|final,best_fixed_static_candidate,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,committed_g534_real_solver_replay,g534_probe_00000757,g534_solver_run_row_no_checkpoint,prospective_selected_replay,cae93fe,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe__b1000__i2,repair5g59_high_beta_cap_safe,,maze-32-32-4,maze,100,212,1000,2,final,True,1.38877705083,653,125,130,12891,14701,,,,,real_solver_trace,False,False,False,False,False
g535_no_reg_replay_00000004,maze-32-32-4|100|212|1000|final,best_family_static_candidate,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,committed_g534_real_solver_replay,g534_probe_00000758,g534_solver_run_row_no_checkpoint,prospective_selected_replay,cae93fe,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap__b1000__i2,repair5g59_low_beta_high_cap,,maze-32-32-4,maze,100,212,1000,2,final,True,1.38877705083,629,125,130,12891,14701,,,,,real_solver_trace,False,False,False,False,False
g535_no_reg_replay_00000005,maze-32-32-4|100|212|1000|final,G5.34_model_selected_candidate,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,committed_g534_real_solver_replay,g534_probe_00000757,g534_solver_run_row_no_checkpoint,prospective_selected_replay,cae93fe,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe__b1000__i2,repair5g59_high_beta_cap_safe,,maze-32-32-4,maze,100,212,1000,2,final,True,1.38877705083,653,125,130,12891,14701,,,,,real_solver_trace,False,False,False,False,False
g535_no_reg_replay_00000006,maze-32-32-4|100|212|1000|0,G5.35_constrained_selected_candidate,repair5g59_additive_fallback,repair5g59_additive_fallback,committed_g534_real_solver_replay,g534_probe_00000005,g534_prospective_real_solver,prospective_selected_replay,,,,build/phase1a-batch/phase1a_batch.exe,repair5g59_additive_fallback,repair5g59_additive_fallback__b1000__i2,repair5g59_additive_fallback,alpha_commit=1|alpha_block=1|alpha_wait_spillover=1|rho_decay=1|force_additive=1|enable_dual_channel=0|alpha_cong_commit_progress=0|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=1|alpha_cong_wait_nonprogress=1|alpha_flow_commit_progress=0|alpha_flow_wait_progress=0|rho_cong_decay=1|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=0.25|max_edge_cost=11|goal_projection_mode=none|flow_shield_beta=0|max_flow_shield=0,maze-32-32-4,maze,100,212,1000,2,0,True,1.38877705083,,125,130,12891,14701,11,14650fb0739d0383,b01429cd71cb344b,outputs/logs/phase5p5_repair5g534_prospective_selected_replay/phase5p5_repair5g534_prospective_checkpoints.jsonl#b1000:5,real_solver_trace,False,False,False,False,False
g535_no_reg_replay_00000007,maze-32-32-4|100|212|1000|final,G5.35_constrained_selected_candidate,repair5g59_additive_fallback,repair5g59_additive_fallback,committed_g534_real_solver_replay,g534_probe_00000755,g534_solver_run_row_no_checkpoint,prospective_selected_replay,cae93fe,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_additive_fallback,repair5g59_additive_fallback__b1000__i2,repair5g59_additive_fallback,,maze-32-32-4,maze,100,212,1000,2,final,True,1.38877705083,645,125,130,12891,14701,,,,,real_solver_trace,False,False,False,False,False
g535_no_reg_replay_00000008,maze-32-32-4|100|212|1000|0,G5.35_constrained_ultra_conservative_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,committed_g534_real_solver_replay,g534_probe_00000005,g534_prospective_real_solver,prospective_selected_replay,,,,build/phase1a-batch/phase1a_batch.exe,repair5g59_additive_fallback,repair5g59_additive_fallback__b1000__i2,repair5g59_additive_fallback,alpha_commit=1|alpha_block=1|alpha_wait_spillover=1|rho_decay=1|force_additive=1|enable_dual_channel=0|alpha_cong_commit_progress=0|alpha_cong_commit_nonprogress=1|alpha_cong_block=1|alpha_cong_wait_progress=1|alpha_cong_wait_nonprogress=1|alpha_flow_commit_progress=0|alpha_flow_wait_progress=0|rho_cong_decay=1|rho_flow_decay=1|lambda_cong=1|lambda_flow=0|min_edge_cost=0.25|max_edge_cost=11|goal_projection_mode=none|flow_shield_beta=0|max_flow_shield=0,maze-32-32-4,maze,100,212,1000,2,0,True,1.38877705083,,125,130,12891,14701,11,14650fb0739d0383,b01429cd71cb344b,outputs/logs/phase5p5_repair5g534_prospective_selected_replay/phase5p5_repair5g534_prospective_checkpoints.jsonl#b1000:5,real_solver_trace,False,False,False,False,False
g535_no_reg_replay_00000009,maze-32-32-4|100|212|1000|final,G5.35_constrained_ultra_conservative_fallback,repair5g59_additive_fallback,repair5g59_additive_fallback,committed_g534_real_solver_replay,g534_probe_00000755,g534_solver_run_row_no_checkpoint,prospective_selected_replay,cae93fe,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_additive_fallback,repair5g59_additive_fallback__b1000__i2,repair5g59_additive_fallback,,maze-32-32-4,maze,100,212,1000,2,final,True,1.38877705083,645,125,130,12891,14701,,,,,real_solver_trace,False,False,False,False,False
