label_id,context_budget_iteration_key,candidate_id,target_success_regression,candidate_family,map_family,agents,budget_ms,iteration,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g535_lex_00000000,maze-32-32-4|50|146|500|0,repair5g59_additive_fallback,False,additive,maze,50,500,0,False,False,False,False,False
g535_lex_00000001,maze-32-32-4|50|146|500|0,repair5g59_static_flow_shield,False,static_flow_shield,maze,50,500,0,False,False,False,False,False
g535_lex_00000002,maze-32-32-4|50|146|500|0,repair5g59_c_only_f_disabled,False,c_only,maze,50,500,0,False,False,False,False,False
g535_lex_00000003,maze-32-32-4|50|146|500|0,repair5g59_light_cong_light_flow,False,other_flow,maze,50,500,0,False,False,False,False,False
g535_lex_00000004,maze-32-32-4|50|146|500|0,repair5g59_block_heavy_flow_guard,False,block_heavy,maze,50,500,0,False,False,False,False,False
g535_lex_00000005,maze-32-32-4|50|146|500|0,repair5g59_commit_heavy_flow_guard,False,commit_heavy,maze,50,500,0,False,False,False,False,False
g535_lex_00000006,maze-32-32-4|50|146|500|0,repair5g59_wait_conservative,False,wait_conservative,maze,50,500,0,False,False,False,False,False
g535_lex_00000007,maze-32-32-4|50|146|500|0,repair5g59_wait_aggressive,False,wait_aggressive,maze,50,500,0,False,False,False,False,False
g535_lex_00000008,maze-32-32-4|50|146|500|0,repair5g59_flow_decay,False,flow_decay,maze,50,500,0,False,False,False,False,False
g535_lex_00000009,maze-32-32-4|50|146|500|0,repair5g59_high_beta_cap_safe,False,high_beta,maze,50,500,0,False,False,False,False,False
g535_lex_00000010,maze-32-32-4|50|146|500|0,repair5g59_low_beta_high_cap,False,low_beta,maze,50,500,0,False,False,False,False,False
g535_lex_00000011,maze-32-32-4|50|147|500|0,repair5g59_additive_fallback,False,additive,maze,50,500,0,False,False,False,False,False
g535_lex_00000012,maze-32-32-4|50|147|500|0,repair5g59_static_flow_shield,False,static_flow_shield,maze,50,500,0,False,False,False,False,False
g535_lex_00000013,maze-32-32-4|50|147|500|0,repair5g59_c_only_f_disabled,False,c_only,maze,50,500,0,False,False,False,False,False
g535_lex_00000014,maze-32-32-4|50|147|500|0,repair5g59_light_cong_light_flow,False,other_flow,maze,50,500,0,False,False,False,False,False
g535_lex_00000015,maze-32-32-4|50|147|500|0,repair5g59_block_heavy_flow_guard,False,block_heavy,maze,50,500,0,False,False,False,False,False
g535_lex_00000016,maze-32-32-4|50|147|500|0,repair5g59_commit_heavy_flow_guard,False,commit_heavy,maze,50,500,0,False,False,False,False,False
g535_lex_00000017,maze-32-32-4|50|147|500|0,repair5g59_wait_conservative,False,wait_conservative,maze,50,500,0,False,False,False,False,False
g535_lex_00000018,maze-32-32-4|50|147|500|0,repair5g59_wait_aggressive,False,wait_aggressive,maze,50,500,0,False,False,False,False,False
g535_lex_00000019,maze-32-32-4|50|147|500|0,repair5g59_flow_decay,False,flow_decay,maze,50,500,0,False,False,False,False,False
g535_lex_00000020,maze-32-32-4|50|147|500|0,repair5g59_high_beta_cap_safe,False,high_beta,maze,50,500,0,False,False,False,False,False
g535_lex_00000021,maze-32-32-4|50|147|500|0,repair5g59_low_beta_high_cap,False,low_beta,maze,50,500,0,False,False,False,False,False
g535_lex_00000022,maze-32-32-4|50|148|500|0,repair5g59_additive_fallback,False,additive,maze,50,500,0,False,False,False,False,False
g535_lex_00000023,maze-32-32-4|50|148|500|0,repair5g59_static_flow_shield,False,static_flow_shield,maze,50,500,0,False,False,False,False,False
g535_lex_00000024,maze-32-32-4|50|148|500|0,repair5g59_c_only_f_disabled,False,c_only,maze,50,500,0,False,False,False,False,False
g535_lex_00000025,maze-32-32-4|50|148|500|0,repair5g59_light_cong_light_flow,False,other_flow,maze,50,500,0,False,False,False,False,False
g535_lex_00000026,maze-32-32-4|50|148|500|0,repair5g59_block_heavy_flow_guard,False,block_heavy,maze,50,500,0,False,False,False,False,False
g535_lex_00000027,maze-32-32-4|50|148|500|0,repair5g59_commit_heavy_flow_guard,False,commit_heavy,maze,50,500,0,False,False,False,False,False
g535_lex_00000028,maze-32-32-4|50|148|500|0,repair5g59_wait_conservative,False,wait_conservative,maze,50,500,0,False,False,False,False,False
g535_lex_00000029,maze-32-32-4|50|148|500|0,repair5g59_wait_aggressive,False,wait_aggressive,maze,50,500,0,False,False,False,False,False
g535_lex_00000030,maze-32-32-4|50|148|500|0,repair5g59_flow_decay,False,flow_decay,maze,50,500,0,False,False,False,False,False
g535_lex_00000031,maze-32-32-4|50|148|500|0,repair5g59_high_beta_cap_safe,False,high_beta,maze,50,500,0,False,False,False,False,False
g535_lex_00000032,maze-32-32-4|50|148|500|0,repair5g59_low_beta_high_cap,False,low_beta,maze,50,500,0,False,False,False,False,False
g535_lex_00000033,maze-32-32-4|50|149|500|0,repair5g59_additive_fallback,False,additive,maze,50,500,0,False,False,False,False,False
g535_lex_00000034,maze-32-32-4|50|149|500|0,repair5g59_static_flow_shield,False,static_flow_shield,maze,50,500,0,False,False,False,False,False
