case_id,candidate_id,candidate_family,sum_of_loss_ratio,fallback_would_prevent_regression,is_static_flow_shield,is_additive,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g535_success_regression_000,repair5g59_additive_fallback,additive,1.06237270876,True,False,True,False,False,False,False,False
g535_success_regression_000,repair5g59_c_only_f_disabled,c_only,1.06237270876,True,False,False,False,False,False,False,False
g535_success_regression_000,repair5g59_high_beta_cap_safe,high_beta,1.06237270876,True,False,False,False,False,False,False,False
g535_success_regression_001,repair5g59_additive_fallback,additive,1.06237270876,True,False,True,False,False,False,False,False
g535_success_regression_001,repair5g59_c_only_f_disabled,c_only,1.06237270876,True,False,False,False,False,False,False,False
g535_success_regression_001,repair5g59_high_beta_cap_safe,high_beta,1.06237270876,True,False,False,False,False,False,False,False
g535_success_regression_001,repair5g59_wait_aggressive,wait_aggressive,1.06237270876,True,False,False,False,False,False,False,False
g535_success_regression_002,repair5g59_additive_fallback,additive,1.06722689076,True,False,True,False,False,False,False,False
g535_success_regression_002,repair5g59_c_only_f_disabled,c_only,1.06722689076,True,False,False,False,False,False,False,False
g535_success_regression_002,repair5g59_high_beta_cap_safe,high_beta,1.06722689076,True,False,False,False,False,False,False,False
g535_success_regression_002,repair5g59_static_flow_shield,static_flow_shield,1.06722689076,True,True,False,False,False,False,False,False
g535_success_regression_002,repair5g59_wait_aggressive,wait_aggressive,1.06722689076,True,False,False,False,False,False,False,False
g535_success_regression_003,repair5g59_additive_fallback,additive,1.08360655738,True,False,True,False,False,False,False,False
g535_success_regression_003,repair5g59_c_only_f_disabled,c_only,1.08360655738,True,False,False,False,False,False,False,False
g535_success_regression_003,repair5g59_flow_decay,flow_decay,1.08360655738,True,False,False,False,False,False,False,False
g535_success_regression_003,repair5g59_high_beta_cap_safe,high_beta,1.08360655738,True,False,False,False,False,False,False,False
g535_success_regression_003,repair5g59_low_beta_high_cap,low_beta,1.08360655738,True,False,False,False,False,False,False,False
g535_success_regression_003,repair5g59_static_flow_shield,static_flow_shield,1.08360655738,True,True,False,False,False,False,False,False
g535_success_regression_003,repair5g59_wait_aggressive,wait_aggressive,1.08360655738,True,False,False,False,False,False,False,False
