candidate_id,candidate_family,map_family,budget_ms,observed_rows,observed_success_regression_count,safe_high_margin_count,safe_gain_count,safe_equal_count,safe_worse_count,both_fail_count,quality_only_mean_delta,quality_only_median_delta,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,maze,1000,24,0,0,0,24,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,maze,2000,12,0,0,0,12,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,maze,500,24,0,0,0,12,0,12,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,random,1000,25,0,0,0,24,0,1,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,random,2000,13,0,0,0,12,0,1,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,random,500,24,2,0,2,20,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,warehouse,1000,24,0,0,0,0,0,24,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,warehouse,2000,12,1,0,2,3,0,6,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,warehouse,500,24,0,0,0,0,0,24,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,maze,1000,24,0,0,0,24,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,maze,2000,12,0,0,0,12,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,maze,500,24,0,0,0,12,0,12,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,random,1000,28,0,0,0,24,0,4,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,random,2000,13,0,0,1,12,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,random,500,24,3,0,2,19,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,warehouse,1000,24,0,0,0,0,0,24,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,warehouse,2000,12,1,0,1,3,0,7,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,warehouse,500,24,0,0,0,0,0,24,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,maze,1000,24,0,0,0,24,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,maze,2000,12,0,1,1,11,0,0,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,maze,500,24,0,0,0,12,0,12,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,random,1000,29,0,0,0,24,0,5,0,0,False,False,False,False,False
