candidate_id,candidate_family,map_family,budget_ms,observed_rows,observed_success_regression_count,safe_high_margin_count,safe_gain_count,safe_equal_count,safe_worse_count,both_fail_count,quality_only_mean_delta,quality_only_median_delta,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,whitelist_rule_id,rule_condition,whitelist_reason
repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,maze,1000,24,0,0,0,24,0,0,0,0,False,False,False,False,False,g536_whitelist_0000,candidate_id=repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1;map_family=maze;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,maze,500,24,0,0,0,12,0,12,0,0,False,False,False,False,False,g536_whitelist_0001,candidate_id=repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1;map_family=maze;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,random,1000,25,0,0,0,24,0,1,0,0,False,False,False,False,False,g536_whitelist_0002,candidate_id=repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1;map_family=random;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,warehouse,1000,24,0,0,0,0,0,24,0,0,False,False,False,False,False,g536_whitelist_0003,candidate_id=repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1;map_family=warehouse;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,warehouse,500,24,0,0,0,0,0,24,0,0,False,False,False,False,False,g536_whitelist_0004,candidate_id=repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1;map_family=warehouse;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,maze,1000,24,0,0,0,24,0,0,0,0,False,False,False,False,False,g536_whitelist_0005,candidate_id=repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1;map_family=maze;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,maze,500,24,0,0,0,12,0,12,0,0,False,False,False,False,False,g536_whitelist_0006,candidate_id=repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1;map_family=maze;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,random,1000,28,0,0,0,24,0,4,0,0,False,False,False,False,False,g536_whitelist_0007,candidate_id=repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1;map_family=random;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,warehouse,1000,24,0,0,0,0,0,24,0,0,False,False,False,False,False,g536_whitelist_0008,candidate_id=repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1;map_family=warehouse;budget_ms=1000,zero_observed_success_regression_with_safe_support_or_high_margin
repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,warehouse,500,24,0,0,0,0,0,24,0,0,False,False,False,False,False,g536_whitelist_0009,candidate_id=repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1;map_family=warehouse;budget_ms=500,zero_observed_success_regression_with_safe_support_or_high_margin
