candidate_id,candidate_family,agents,iteration,observed_rows,observed_success_regression_count,safe_high_margin_count,safe_gain_count,safe_equal_count,safe_worse_count,both_fail_count,quality_only_mean_delta,quality_only_median_delta,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,100,0,90,2,0,2,44,0,42,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,100,1,1,0,0,0,0,0,1,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,50,0,90,1,0,2,63,0,24,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,50,1,1,0,0,0,0,0,1,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,100,0,90,3,0,2,43,0,42,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,50,0,90,1,0,1,63,0,25,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,c_only,50,1,5,0,0,1,0,0,4,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,100,0,90,1,0,2,45,0,42,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,100,1,1,0,0,0,0,0,1,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,50,0,90,1,2,4,61,0,24,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,wait_conservative,50,1,8,0,0,3,0,0,5,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,wait_aggressive,100,0,90,1,0,2,45,0,42,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,wait_aggressive,100,1,1,0,0,0,0,0,1,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,wait_aggressive,50,0,90,0,2,4,62,0,24,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,wait_aggressive,50,1,3,0,0,0,0,0,3,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,flow_decay,100,0,90,1,0,2,45,0,42,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,flow_decay,100,1,1,0,0,0,0,0,1,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,flow_decay,50,0,90,0,2,4,61,0,25,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,flow_decay,50,1,4,0,0,1,0,0,3,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,other_flow,100,0,90,1,0,2,45,0,42,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,other_flow,100,1,1,0,0,0,0,0,1,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,other_flow,50,0,90,1,3,5,59,0,25,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,other_flow,50,1,4,0,0,1,0,0,3,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,high_beta,100,0,90,0,0,2,46,0,42,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,high_beta,100,1,4,0,0,0,0,0,4,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,high_beta,50,0,90,1,3,4,60,0,25,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,high_beta,50,1,5,0,0,3,0,0,2,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0,high_beta,100,0,90,2,0,2,44,0,42,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0,high_beta,100,1,2,0,0,0,0,0,2,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0,high_beta,50,0,90,1,2,5,60,0,24,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0,high_beta,50,1,6,0,0,2,0,0,4,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0,high_beta,100,0,90,0,0,2,46,0,42,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0,high_beta,100,1,3,0,0,0,0,0,3,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0,high_beta,50,0,90,0,5,7,59,0,24,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0,high_beta,50,1,4,0,0,1,0,0,3,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,high_beta,100,0,90,0,0,2,46,0,42,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,high_beta,100,1,4,0,0,0,0,0,4,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,high_beta,50,0,90,1,3,5,60,0,24,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,high_beta,50,1,6,0,0,1,0,0,5,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,100,0,258,5,0,8,174,0,71,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,100,1,12,0,0,0,0,0,12,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,50,0,265,0,28,32,203,2,28,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,50,1,20,0,0,9,0,0,11,0,0,False,False,False,False,False
repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,high_beta,50,2,1,1,0,0,0,0,0,0,0,False,False,False,False,False
repair5g59_additive_fallback,additive,100,0,320,0,0,0,227,0,93,0,0,False,False,False,False,False
repair5g59_additive_fallback,additive,100,1,21,0,0,0,7,0,14,0,0,False,False,False,False,False
repair5g59_additive_fallback,additive,50,0,351,0,0,0,304,0,47,0,0,False,False,False,False,False
repair5g59_additive_fallback,additive,50,1,56,0,0,0,32,0,24,0,0,False,False,False,False,False
repair5g59_additive_fallback,additive,50,2,1,0,0,0,1,0,0,0,0,False,False,False,False,False
repair5g59_block_heavy_flow_guard,block_heavy,100,0,152,0,0,1,94,0,57,0,0,False,False,False,False,False
repair5g59_block_heavy_flow_guard,block_heavy,100,1,11,7,0,0,0,0,4,0,0,False,False,False,False,False
repair5g59_block_heavy_flow_guard,block_heavy,50,0,175,2,1,4,129,0,40,0,0,False,False,False,False,False
repair5g59_block_heavy_flow_guard,block_heavy,50,1,35,8,18,20,0,1,6,0,0,False,False,False,False,False
repair5g59_c_only_f_disabled,c_only,100,0,152,2,0,1,92,0,57,0,0,False,False,False,False,False
repair5g59_c_only_f_disabled,c_only,100,1,11,4,1,2,0,1,4,0,0,False,False,False,False,False
repair5g59_c_only_f_disabled,c_only,50,0,175,2,0,3,130,0,40,0,0,False,False,False,False,False
repair5g59_c_only_f_disabled,c_only,50,1,34,5,14,17,2,5,5,0,0,False,False,False,False,False
repair5g59_commit_heavy_flow_guard,commit_heavy,100,0,152,3,0,2,91,0,56,0,0,False,False,False,False,False
repair5g59_commit_heavy_flow_guard,commit_heavy,100,1,8,6,0,0,0,0,2,0,0,False,False,False,False,False
repair5g59_commit_heavy_flow_guard,commit_heavy,50,0,175,1,2,5,129,0,40,0,0,False,False,False,False,False
repair5g59_commit_heavy_flow_guard,commit_heavy,50,1,31,9,18,18,0,0,4,0,0,False,False,False,False,False
repair5g59_flow_decay,flow_decay,100,0,320,5,0,6,222,0,87,0,0,False,False,False,False,False
repair5g59_flow_decay,flow_decay,100,1,18,6,0,0,0,0,12,0,0,False,False,False,False,False
repair5g59_flow_decay,flow_decay,50,0,349,0,23,27,278,2,42,0,0,False,False,False,False,False
