plan_row_id,context_key,map,map_family,agents,seed,budget_ms,ltm_max_iterations,role,candidate_id,method,context_source,execution_mode,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g536_real_replay_plan_000000,maze-32-32-4|100|254|1000,maze-32-32-4,maze,100,254,1000,2,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000001,maze-32-32-4|100|254|1000,maze-32-32-4,maze,100,254,1000,2,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000002,maze-32-32-4|100|254|1000,maze-32-32-4,maze,100,254,1000,2,best_fixed_static_candidate,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000003,maze-32-32-4|100|254|1000,maze-32-32-4,maze,100,254,1000,2,G5.34_selected_candidate,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000004,maze-32-32-4|100|254|1000,maze-32-32-4,maze,100,254,1000,2,G5.35_conservative_candidate,repair5g59_additive_fallback,repair5g59_additive_fallback,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000005,maze-32-32-4|100|254|1000,maze-32-32-4,maze,100,254,1000,2,G5.36_opportunity_recovery_candidate,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000006,maze-32-32-4|100|254|1000,maze-32-32-4,maze,100,254,1000,2,G5.36_opportunity_recovery_with_ultra_safety,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000007,maze-32-32-4|100|254|1000,maze-32-32-4,maze,100,254,1000,2,safe_static_bridge_candidate,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000008,maze-32-32-4|100|255|2000,maze-32-32-4,maze,100,255,2000,2,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000009,maze-32-32-4|100|255|2000,maze-32-32-4,maze,100,255,2000,2,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000010,maze-32-32-4|100|255|2000,maze-32-32-4,maze,100,255,2000,2,best_fixed_static_candidate,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000011,maze-32-32-4|100|255|2000,maze-32-32-4,maze,100,255,2000,2,G5.34_selected_candidate,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000012,maze-32-32-4|100|255|2000,maze-32-32-4,maze,100,255,2000,2,G5.35_conservative_candidate,repair5g59_additive_fallback,repair5g59_additive_fallback,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000013,maze-32-32-4|100|255|2000,maze-32-32-4,maze,100,255,2000,2,G5.36_opportunity_recovery_candidate,repair5g59_flow_decay,repair5g59_flow_decay,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000014,maze-32-32-4|100|255|2000,maze-32-32-4,maze,100,255,2000,2,G5.36_opportunity_recovery_with_ultra_safety,repair5g59_flow_decay,repair5g59_flow_decay,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000015,maze-32-32-4|100|255|2000,maze-32-32-4,maze,100,255,2000,2,safe_static_bridge_candidate,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000016,maze-32-32-4|100|256|1000,maze-32-32-4,maze,100,256,1000,2,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000017,maze-32-32-4|100|256|1000,maze-32-32-4,maze,100,256,1000,2,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000018,maze-32-32-4|100|256|1000,maze-32-32-4,maze,100,256,1000,2,best_fixed_static_candidate,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000019,maze-32-32-4|100|256|1000,maze-32-32-4,maze,100,256,1000,2,G5.34_selected_candidate,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000020,maze-32-32-4|100|256|1000,maze-32-32-4,maze,100,256,1000,2,G5.35_conservative_candidate,repair5g59_additive_fallback,repair5g59_additive_fallback,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000021,maze-32-32-4|100|256|1000,maze-32-32-4,maze,100,256,1000,2,G5.36_opportunity_recovery_candidate,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000022,maze-32-32-4|100|256|1000,maze-32-32-4,maze,100,256,1000,2,G5.36_opportunity_recovery_with_ultra_safety,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000023,maze-32-32-4|100|256|1000,maze-32-32-4,maze,100,256,1000,2,safe_static_bridge_candidate,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000024,maze-32-32-4|100|257|2000,maze-32-32-4,maze,100,257,2000,2,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000025,maze-32-32-4|100|257|2000,maze-32-32-4,maze,100,257,2000,2,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000026,maze-32-32-4|100|257|2000,maze-32-32-4,maze,100,257,2000,2,best_fixed_static_candidate,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000027,maze-32-32-4|100|257|2000,maze-32-32-4,maze,100,257,2000,2,G5.34_selected_candidate,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000028,maze-32-32-4|100|257|2000,maze-32-32-4,maze,100,257,2000,2,G5.35_conservative_candidate,repair5g59_additive_fallback,repair5g59_additive_fallback,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
g536_real_replay_plan_000029,maze-32-32-4|100|257|2000,maze-32-32-4,maze,100,257,2000,2,G5.36_opportunity_recovery_candidate,repair5g59_flow_decay,repair5g59_flow_decay,new_heldout_seed_254_285_balanced,real_solver_execution_required,False,False,False,False,False
