policy_role,paired_against_role,context_budget_iteration_key,context_key,map,map_family,agents,seed,budget_ms,iteration,selected_candidate,baseline_candidate,baseline_ratio,selected_ratio,corrected_delta_ratio_for_mean,quality_delta_ratio,success_regression,success_gain,both_fail,both_success,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
G5.37_static_relative_selector_with_safety,additive_ltm,maze-32-32-4|50|286|1000|0,maze-32-32-4|50|286|1000,maze-32-32-4,maze,50,286,1000,0,repair5g59_low_beta_high_cap,repair5g59_additive_fallback,1.17498764212,1.17498764212,0,0,False,False,False,True,False,False,False,False,False
G5.37_static_relative_selector_with_safety,additive_ltm,maze-32-32-4|50|286|1000|final,maze-32-32-4|50|286|1000,maze-32-32-4,maze,50,286,1000,final,repair5g59_low_beta_high_cap,repair5g59_additive_fallback,1.17498764212,1.17498764212,0,0,False,False,False,True,False,False,False,False,False
G5.37_static_relative_selector_with_safety,additive_ltm,random-32-32-20|50|286|2000|0,random-32-32-20|50|286|2000,random-32-32-20,random,50,286,2000,0,repair5g59_static_flow_shield,repair5g59_additive_fallback,1.08803165183,1.08803165183,0,0,False,False,False,True,False,False,False,False,False
G5.37_static_relative_selector_with_safety,additive_ltm,random-32-32-20|50|286|2000|1,random-32-32-20|50|286|2000,random-32-32-20,random,50,286,2000,1,repair5g59_static_flow_shield,repair5g59_additive_fallback,1.25222551929,1.17408506429,-0.078140455,-0.078140455,False,False,False,True,False,False,False,False,False
G5.37_static_relative_selector_with_safety,additive_ltm,random-32-32-20|50|286|2000|final,random-32-32-20|50|286|2000,random-32-32-20,random,50,286,2000,final,repair5g59_static_flow_shield,repair5g59_additive_fallback,1.08803165183,1.08803165183,0,0,False,False,False,True,False,False,False,False,False
G5.37_static_relative_selector_with_safety,additive_ltm,warehouse-10-20-10-2-1|100|286|500|0,warehouse-10-20-10-2-1|100|286|500,warehouse-10-20-10-2-1,warehouse,100,286,500,0,repair5g59_additive_fallback,repair5g59_additive_fallback,0,0,0,,False,False,True,False,False,False,False,False,False
G5.37_static_relative_selector_with_safety,additive_ltm,warehouse-10-20-10-2-1|100|286|500|final,warehouse-10-20-10-2-1|100|286|500,warehouse-10-20-10-2-1,warehouse,100,286,500,final,repair5g59_additive_fallback,repair5g59_additive_fallback,0,0,0,,False,False,True,False,False,False,False,False,False
G5.37_static_relative_selector_with_safety,additive_ltm,maze-32-32-4|50|287|500|0,maze-32-32-4|50|287|500,maze-32-32-4,maze,50,287,500,0,repair5g59_static_flow_shield,repair5g59_additive_fallback,1.14258823529,1.14258823529,0,0,False,False,False,True,False,False,False,False,False
G5.37_static_relative_selector_with_safety,additive_ltm,maze-32-32-4|50|287|500|final,maze-32-32-4|50|287|500,maze-32-32-4,maze,50,287,500,final,repair5g59_static_flow_shield,repair5g59_additive_fallback,1.14258823529,1.14258823529,0,0,False,False,False,True,False,False,False,False,False
G5.37_static_relative_selector_with_safety,additive_ltm,maze-32-32-4|50|287|2000|0,maze-32-32-4|50|287|2000,maze-32-32-4,maze,50,287,2000,0,repair5g59_low_beta_high_cap,repair5g59_additive_fallback,1.14258823529,1.14258823529,0,0,False,False,False,True,False,False,False,False,False
G5.37_static_relative_selector_with_safety,additive_ltm,maze-32-32-4|50|287|2000|1,maze-32-32-4|50|287|2000,maze-32-32-4,maze,50,287,2000,1,repair5g59_low_beta_high_cap,repair5g59_additive_fallback,1.27388235294,1.25647058824,-0.0174117647,-0.0174117647,False,False,False,True,False,False,False,False,False
G5.37_static_relative_selector_with_safety,additive_ltm,maze-32-32-4|50|287|2000|final,maze-32-32-4|50|287|2000,maze-32-32-4,maze,50,287,2000,final,repair5g59_low_beta_high_cap,repair5g59_additive_fallback,1.14258823529,1.14258823529,0,0,False,False,False,True,False,False,False,False,False
G5.37_static_relative_selector_with_safety,additive_ltm,maze-32-32-4|100|287|1000|0,maze-32-32-4|100|287|1000,maze-32-32-4,maze,100,287,1000,0,repair5g59_low_beta_high_cap,repair5g59_additive_fallback,1.23622954598,1.23622954598,0,0,False,False,False,True,False,False,False,False,False
G5.37_static_relative_selector_with_safety,additive_ltm,maze-32-32-4|100|287|1000|final,maze-32-32-4|100|287|1000,maze-32-32-4,maze,100,287,1000,final,repair5g59_low_beta_high_cap,repair5g59_additive_fallback,1.23622954598,1.23622954598,0,0,False,False,False,True,False,False,False,False,False
G5.37_static_relative_selector_with_safety,additive_ltm,maze-32-32-4|100|287|2000|0,maze-32-32-4|100|287|2000,maze-32-32-4,maze,100,287,2000,0,repair5g59_low_beta_high_cap,repair5g59_additive_fallback,1.23622954598,1.23622954598,0,0,False,False,False,True,False,False,False,False,False
