direct_group_key,context_budget_iteration_key,context_key,source_round,map,map_family,agents,seed,budget_ms,iteration,candidate_id,candidate_family,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,additive_success_regression,additive_success_gain,additive_safe_high_margin_gain,additive_safe_low_margin_gain,additive_equal_vs_baseline,additive_safe_worse,additive_quality_delta_ratio,static_flow_shield_success_regression,static_flow_shield_success_gain,static_flow_shield_safe_high_margin_gain,static_flow_shield_safe_low_margin_gain,static_flow_shield_equal_vs_baseline,static_flow_shield_safe_worse,static_flow_shield_quality_delta_ratio,best_fixed_static_success_regression,best_fixed_static_success_gain,best_fixed_static_safe_high_margin_gain,best_fixed_static_safe_low_margin_gain,best_fixed_static_equal_vs_baseline,best_fixed_static_safe_worse,best_fixed_static_quality_delta_ratio,frozen_family_static_success_regression,frozen_family_static_success_gain,frozen_family_static_safe_high_margin_gain,frozen_family_static_safe_low_margin_gain,frozen_family_static_equal_vs_baseline,frozen_family_static_safe_worse,frozen_family_static_quality_delta_ratio,frozen_family_budget_static_success_regression,frozen_family_budget_static_success_gain,frozen_family_budget_static_safe_high_margin_gain,frozen_family_budget_static_safe_low_margin_gain,frozen_family_budget_static_equal_vs_baseline,frozen_family_budget_static_safe_worse,frozen_family_budget_static_quality_delta_ratio,target_improve_over_deployable_static
G5.34_broad_probe|maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000,G5.34_broad_probe,maze-32-32-4,maze,100,146,1000,0,repair5g59_additive_fallback,static_anchor,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000,G5.34_broad_probe,maze-32-32-4,maze,100,146,1000,0,repair5g59_block_heavy_flow_guard,base,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000,G5.34_broad_probe,maze-32-32-4,maze,100,146,1000,0,repair5g59_c_only_f_disabled,base,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000,G5.34_broad_probe,maze-32-32-4,maze,100,146,1000,0,repair5g59_commit_heavy_flow_guard,base,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000,G5.34_broad_probe,maze-32-32-4,maze,100,146,1000,0,repair5g59_flow_decay,base,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000,G5.34_broad_probe,maze-32-32-4,maze,100,146,1000,0,repair5g59_high_beta_cap_safe,static_anchor,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000,G5.34_broad_probe,maze-32-32-4,maze,100,146,1000,0,repair5g59_light_cong_light_flow,base,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000,G5.34_broad_probe,maze-32-32-4,maze,100,146,1000,0,repair5g59_low_beta_high_cap,static_anchor,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000,G5.34_broad_probe,maze-32-32-4,maze,100,146,1000,0,repair5g59_static_flow_shield,static_anchor,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000,G5.34_broad_probe,maze-32-32-4,maze,100,146,1000,0,repair5g59_wait_aggressive,static_anchor,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000|0,maze-32-32-4|100|146|1000,G5.34_broad_probe,maze-32-32-4,maze,100,146,1000,0,repair5g59_wait_conservative,base,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000,G5.34_broad_probe,maze-32-32-4,maze,100,146,2000,0,repair5g59_additive_fallback,static_anchor,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000,G5.34_broad_probe,maze-32-32-4,maze,100,146,2000,0,repair5g59_block_heavy_flow_guard,base,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000,G5.34_broad_probe,maze-32-32-4,maze,100,146,2000,0,repair5g59_c_only_f_disabled,base,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000,G5.34_broad_probe,maze-32-32-4,maze,100,146,2000,0,repair5g59_commit_heavy_flow_guard,base,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000,G5.34_broad_probe,maze-32-32-4,maze,100,146,2000,0,repair5g59_flow_decay,base,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000,G5.34_broad_probe,maze-32-32-4,maze,100,146,2000,0,repair5g59_high_beta_cap_safe,static_anchor,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000,G5.34_broad_probe,maze-32-32-4,maze,100,146,2000,0,repair5g59_light_cong_light_flow,base,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000,G5.34_broad_probe,maze-32-32-4,maze,100,146,2000,0,repair5g59_low_beta_high_cap,static_anchor,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000,G5.34_broad_probe,maze-32-32-4,maze,100,146,2000,0,repair5g59_static_flow_shield,static_anchor,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000,G5.34_broad_probe,maze-32-32-4,maze,100,146,2000,0,repair5g59_wait_aggressive,static_anchor,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000|0,maze-32-32-4|100|146|2000,G5.34_broad_probe,maze-32-32-4,maze,100,146,2000,0,repair5g59_wait_conservative,base,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500,G5.34_broad_probe,maze-32-32-4,maze,100,146,500,0,repair5g59_additive_fallback,static_anchor,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False
G5.34_broad_probe|maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500,G5.34_broad_probe,maze-32-32-4,maze,100,146,500,0,repair5g59_block_heavy_flow_guard,base,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False
G5.34_broad_probe|maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500,G5.34_broad_probe,maze-32-32-4,maze,100,146,500,0,repair5g59_c_only_f_disabled,base,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False
G5.34_broad_probe|maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500,G5.34_broad_probe,maze-32-32-4,maze,100,146,500,0,repair5g59_commit_heavy_flow_guard,base,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False
G5.34_broad_probe|maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500,G5.34_broad_probe,maze-32-32-4,maze,100,146,500,0,repair5g59_flow_decay,base,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False
G5.34_broad_probe|maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500,G5.34_broad_probe,maze-32-32-4,maze,100,146,500,0,repair5g59_high_beta_cap_safe,static_anchor,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False
G5.34_broad_probe|maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500,G5.34_broad_probe,maze-32-32-4,maze,100,146,500,0,repair5g59_light_cong_light_flow,base,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False
G5.34_broad_probe|maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500,G5.34_broad_probe,maze-32-32-4,maze,100,146,500,0,repair5g59_low_beta_high_cap,static_anchor,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False
G5.34_broad_probe|maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500,G5.34_broad_probe,maze-32-32-4,maze,100,146,500,0,repair5g59_static_flow_shield,static_anchor,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False
G5.34_broad_probe|maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500,G5.34_broad_probe,maze-32-32-4,maze,100,146,500,0,repair5g59_wait_aggressive,static_anchor,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False
G5.34_broad_probe|maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500|0,maze-32-32-4|100|146|500,G5.34_broad_probe,maze-32-32-4,maze,100,146,500,0,repair5g59_wait_conservative,base,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,,False
G5.34_broad_probe|maze-32-32-4|100|147|1000|0,maze-32-32-4|100|147|1000|0,maze-32-32-4|100|147|1000,G5.34_broad_probe,maze-32-32-4,maze,100,147,1000,0,repair5g59_additive_fallback,static_anchor,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|147|1000|0,maze-32-32-4|100|147|1000|0,maze-32-32-4|100|147|1000,G5.34_broad_probe,maze-32-32-4,maze,100,147,1000,0,repair5g59_block_heavy_flow_guard,base,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|147|1000|0,maze-32-32-4|100|147|1000|0,maze-32-32-4|100|147|1000,G5.34_broad_probe,maze-32-32-4,maze,100,147,1000,0,repair5g59_c_only_f_disabled,base,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|147|1000|0,maze-32-32-4|100|147|1000|0,maze-32-32-4|100|147|1000,G5.34_broad_probe,maze-32-32-4,maze,100,147,1000,0,repair5g59_commit_heavy_flow_guard,base,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|147|1000|0,maze-32-32-4|100|147|1000|0,maze-32-32-4|100|147|1000,G5.34_broad_probe,maze-32-32-4,maze,100,147,1000,0,repair5g59_flow_decay,base,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|147|1000|0,maze-32-32-4|100|147|1000|0,maze-32-32-4|100|147|1000,G5.34_broad_probe,maze-32-32-4,maze,100,147,1000,0,repair5g59_high_beta_cap_safe,static_anchor,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|147|1000|0,maze-32-32-4|100|147|1000|0,maze-32-32-4|100|147|1000,G5.34_broad_probe,maze-32-32-4,maze,100,147,1000,0,repair5g59_light_cong_light_flow,base,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|147|1000|0,maze-32-32-4|100|147|1000|0,maze-32-32-4|100|147|1000,G5.34_broad_probe,maze-32-32-4,maze,100,147,1000,0,repair5g59_low_beta_high_cap,static_anchor,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|147|1000|0,maze-32-32-4|100|147|1000|0,maze-32-32-4|100|147|1000,G5.34_broad_probe,maze-32-32-4,maze,100,147,1000,0,repair5g59_static_flow_shield,static_anchor,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
G5.34_broad_probe|maze-32-32-4|100|147|1000|0,maze-32-32-4|100|147|1000|0,maze-32-32-4|100|147|1000,G5.34_broad_probe,maze-32-32-4,maze,100,147,1000,0,repair5g59_wait_aggressive,static_anchor,False,False,False,False,False,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False,False,False,False,True,False,0,False
