artifact,path,exists,row_count,materialization_status,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
decision_summary,outputs/reports/phase5p5_repair5g537_decision_summary.json,True,1,present,False,False,False,False,False
static_relative_blind_evidence_summary,outputs/reports/phase5p5_repair5g537_static_relative_blind_evidence_summary.json,True,1,present,False,False,False,False,False
static_relative_blind_replay_summary,outputs/reports/phase5p5_repair5g537_static_relative_blind_replay_summary.json,True,1,present,False,False,False,False,False
static_baseline_ladder_summary,outputs/reports/phase5p5_repair5g537_static_baseline_ladder_summary.json,True,1,present,False,False,False,False,False
static_relative_labels_summary,outputs/reports/phase5p5_repair5g537_static_relative_labels_summary.json,True,1,present,False,False,False,False,False
static_flow_gap_summary,outputs/reports/phase5p5_repair5g537_static_flow_gap_summary.json,True,1,present,False,False,False,False,False
static_relative_selector_summary,outputs/reports/phase5p5_repair5g537_static_relative_selector_summary.json,True,1,present,False,False,False,False,False
static_flow_residual_model_summary,outputs/reports/phase5p5_repair5g537_static_flow_residual_model_summary.json,True,1,present,False,False,False,False,False
failure_and_static_gap_autopsy_summary,outputs/reports/phase5p5_repair5g537_failure_and_static_gap_autopsy_summary.json,True,1,present,False,False,False,False,False
selector_manifest,artifacts/models/laur_ltm/repair5g537_static_relative_selector_manifest.json,True,1,present,False,False,False,False,False
static_relative_blind_replay_results,outputs/tables/phase5p5_repair5g537_static_relative_blind_replay_results.csv,True,8918,present,False,False,False,False,False
blind_selected_vs_primary_static,outputs/tables/phase5p5_repair5g537_blind_selected_vs_primary_static.csv,True,1113,present,False,False,False,False,False
static_gap_failure_cases,outputs/tables/phase5p5_repair5g537_static_gap_failure_cases.csv,True,51,present,False,False,False,False,False
static_relative_context_candidate_utility,outputs/tables/phase5p5_repair5g537_static_relative_context_candidate_utility.csv,True,8298,present,False,False,False,False,False
repair5g537_common,scripts/repair5g537_common.py,True,1,present,False,False,False,False,False
