plan_row_id,context_key,map,map_family,agents,seed,budget_ms,ltm_max_iterations,role,candidate_id,method,context_source,blind_replay,execution_mode,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g538_blind_plan_000000,maze-32-32-4|50|406|500,maze-32-32-4,maze,50,406,500,2,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,fresh_blind_seed_406_485,True,real_solver_execution_required,False,False,False,False,False
g538_blind_plan_000001,maze-32-32-4|50|406|500,maze-32-32-4,maze,50,406,500,2,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,fresh_blind_seed_406_485,True,real_solver_execution_required,False,False,False,False,False
g538_blind_plan_000002,maze-32-32-4|50|406|500,maze-32-32-4,maze,50,406,500,2,best_fixed_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,fresh_blind_seed_406_485,True,real_solver_execution_required,False,False,False,False,False
g538_blind_plan_000003,maze-32-32-4|50|406|500,maze-32-32-4,maze,50,406,500,2,family_static_goal_aware,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,fresh_blind_seed_406_485,True,real_solver_execution_required,False,False,False,False,False
g538_blind_plan_000004,maze-32-32-4|50|406|500,maze-32-32-4,maze,50,406,500,2,best_residual_candidate,repair5g538_random_bridge_c_light,repair5g518_grid_c1p00_b1p25_f1p00_w0p65_dc0p95_df0p98_beta0p3_max0p75_c0,fresh_blind_seed_406_485,True,real_solver_execution_required,False,False,False,False,False
g538_blind_plan_000005,maze-32-32-4|50|406|500,maze-32-32-4,maze,50,406,500,2,ultra_safe_static_fallback,repair5g59_static_flow_shield,repair5g59_static_flow_shield,fresh_blind_seed_406_485,True,real_solver_execution_required,False,False,False,False,False
g538_blind_plan_000006,maze-32-32-4|50|406|500,maze-32-32-4,maze,50,406,500,2,residual_selector,repair5g538_random_bridge_c_light,repair5g518_grid_c1p00_b1p25_f1p00_w0p65_dc0p95_df0p98_beta0p3_max0p75_c0,fresh_blind_seed_406_485,True,real_solver_execution_required,False,False,False,False,False
g538_blind_plan_000007,maze-32-32-4|50|406|1000,maze-32-32-4,maze,50,406,1000,2,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,fresh_blind_seed_406_485,True,real_solver_execution_required,False,False,False,False,False
g538_blind_plan_000008,maze-32-32-4|50|406|1000,maze-32-32-4,maze,50,406,1000,2,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,fresh_blind_seed_406_485,True,real_solver_execution_required,False,False,False,False,False
g538_blind_plan_000009,maze-32-32-4|50|406|1000,maze-32-32-4,maze,50,406,1000,2,best_fixed_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,fresh_blind_seed_406_485,True,real_solver_execution_required,False,False,False,False,False
g538_blind_plan_000010,maze-32-32-4|50|406|1000,maze-32-32-4,maze,50,406,1000,2,family_static_goal_aware,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,fresh_blind_seed_406_485,True,real_solver_execution_required,False,False,False,False,False
g538_blind_plan_000011,maze-32-32-4|50|406|1000,maze-32-32-4,maze,50,406,1000,2,best_residual_candidate,repair5g538_random_bridge_c_light,repair5g518_grid_c1p00_b1p25_f1p00_w0p65_dc0p95_df0p98_beta0p3_max0p75_c0,fresh_blind_seed_406_485,True,real_solver_execution_required,False,False,False,False,False
g538_blind_plan_000012,maze-32-32-4|50|406|1000,maze-32-32-4,maze,50,406,1000,2,ultra_safe_static_fallback,repair5g59_static_flow_shield,repair5g59_static_flow_shield,fresh_blind_seed_406_485,True,real_solver_execution_required,False,False,False,False,False
g538_blind_plan_000013,maze-32-32-4|50|406|1000,maze-32-32-4,maze,50,406,1000,2,residual_selector,repair5g538_random_bridge_c_light,repair5g518_grid_c1p00_b1p25_f1p00_w0p65_dc0p95_df0p98_beta0p3_max0p75_c0,fresh_blind_seed_406_485,True,real_solver_execution_required,False,False,False,False,False
g538_blind_plan_000014,maze-32-32-4|50|406|2000,maze-32-32-4,maze,50,406,2000,2,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,fresh_blind_seed_406_485,True,real_solver_execution_required,False,False,False,False,False
g538_blind_plan_000015,maze-32-32-4|50|406|2000,maze-32-32-4,maze,50,406,2000,2,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,fresh_blind_seed_406_485,True,real_solver_execution_required,False,False,False,False,False
g538_blind_plan_000016,maze-32-32-4|50|406|2000,maze-32-32-4,maze,50,406,2000,2,best_fixed_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,fresh_blind_seed_406_485,True,real_solver_execution_required,False,False,False,False,False
g538_blind_plan_000017,maze-32-32-4|50|406|2000,maze-32-32-4,maze,50,406,2000,2,family_static_goal_aware,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,fresh_blind_seed_406_485,True,real_solver_execution_required,False,False,False,False,False
