plan_row_id,context_key,map,map_family,agents,seed,budget_ms,ltm_max_iterations,role,candidate_id,method,context_source,execution_mode,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g538_probe_plan_000000,maze-32-32-4|50|366|500,maze-32-32-4,maze,50,366,500,2,additive_ltm,repair5g59_additive_fallback,repair5g59_additive_fallback,screening_seed_366_405,real_solver_execution_required,False,False,False,False,False
g538_probe_plan_000001,maze-32-32-4|50|366|500,maze-32-32-4,maze,50,366,500,2,static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,screening_seed_366_405,real_solver_execution_required,False,False,False,False,False
g538_probe_plan_000002,maze-32-32-4|50|366|500,maze-32-32-4,maze,50,366,500,2,best_fixed_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,screening_seed_366_405,real_solver_execution_required,False,False,False,False,False
g538_probe_plan_000003,maze-32-32-4|50|366|500,maze-32-32-4,maze,50,366,500,2,frozen_family_static_goal_aware,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,screening_seed_366_405,real_solver_execution_required,False,False,False,False,False
g538_probe_plan_000004,maze-32-32-4|50|366|500,maze-32-32-4,maze,50,366,500,2,residual::repair5g538_low_beta_b015_cap040,repair5g538_low_beta_b015_cap040,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p15_max0p4_c0,screening_seed_366_405,real_solver_execution_required,False,False,False,False,False
g538_probe_plan_000005,maze-32-32-4|50|366|500,maze-32-32-4,maze,50,366,500,2,residual::repair5g538_low_beta_b020_cap045,repair5g538_low_beta_b020_cap045,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p2_max0p45_c0,screening_seed_366_405,real_solver_execution_required,False,False,False,False,False
g538_probe_plan_000006,maze-32-32-4|50|366|500,maze-32-32-4,maze,50,366,500,2,residual::repair5g538_low_beta_b025_cap050,repair5g538_low_beta_b025_cap050,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p25_max0p5_c0,screening_seed_366_405,real_solver_execution_required,False,False,False,False,False
g538_probe_plan_000007,maze-32-32-4|50|366|500,maze-32-32-4,maze,50,366,500,2,residual::repair5g538_low_beta_b030_cap075,repair5g538_low_beta_b030_cap075,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p3_max0p75_c0,screening_seed_366_405,real_solver_execution_required,False,False,False,False,False
g538_probe_plan_000008,maze-32-32-4|50|366|500,maze-32-32-4,maze,50,366,500,2,residual::repair5g538_flow_decay_df090,repair5g538_flow_decay_df090,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,screening_seed_366_405,real_solver_execution_required,False,False,False,False,False
g538_probe_plan_000009,maze-32-32-4|50|366|500,maze-32-32-4,maze,50,366,500,2,residual::repair5g538_flow_decay_df095,repair5g538_flow_decay_df095,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p95_beta0p35_max0p75_c0,screening_seed_366_405,real_solver_execution_required,False,False,False,False,False
g538_probe_plan_000010,maze-32-32-4|50|366|500,maze-32-32-4,maze,50,366,500,2,residual::repair5g538_flow_decay_df098,repair5g538_flow_decay_df098,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p98_beta0p35_max0p75_c0,screening_seed_366_405,real_solver_execution_required,False,False,False,False,False
