agents,hook_mode,map,method,repair5g53_alias_resolve_ms,repair5g53_alias_resolve_per_update_ms,repair5g53_candidate_select_ms,repair5g53_candidate_select_per_update_ms,repair5g53_cost_audit_ms,repair5g53_cost_audit_per_update_ms,repair5g53_feature_build_ms,repair5g53_feature_build_per_update_ms,repair5g53_json_write_ms,repair5g53_json_write_per_update_ms,repair5g53_params_hash_ms,repair5g53_params_hash_per_update_ms,repair5g53_traffic_hash_ms,repair5g53_traffic_hash_per_update_ms,repair5g53_update_apply_ms,repair5g53_update_apply_per_update_ms,repair5g53_update_policy_total_ms,repair5g53_update_policy_total_per_update_ms,runtime_audit_mode,seed,update_policy_calls
100,runtime_always_static_minimal_hook,warehouse-10-20-10-2-1,repair5g53_runtime_always_static_minimal_hook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.6793,121.22643333333333,0.0063,0.0021,perf,146,3
100,runtime_always_map_agent_minimal_hook,warehouse-10-20-10-2-1,repair5g53_runtime_always_map_agent_minimal_hook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.8358,17.611933333333333,0.0062,0.0020666666666666667,perf,146,3
100,runtime_static_shadow_noop_minimal,warehouse-10-20-10-2-1,repair5g53_runtime_static_shadow_noop_minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.1331,133.71103333333335,0.0094,0.0031333333333333335,perf,146,3
100,static_hook_minimal,warehouse-10-20-10-2-1,repair5g53_static_hook_minimal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.8218,134.60726666666667,0.0077,0.0025666666666666667,perf,146,3
100,static_hook_memory_counter,warehouse-10-20-10-2-1,repair5g53_static_hook_memory_counter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.3618,124.45393333333334,0.0255,0.008499999999999999,perf,146,3
100,static_hook_jsonl_log_only,warehouse-10-20-10-2-1,repair5g53_static_hook_jsonl_log_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4437,2.4812333333333334,0.0,0.0,0.0,0.0,341.7562,113.91873333333332,7.4617,2.4872333333333336,perf,146,3
100,static_hook_params_hash_only,warehouse-10-20-10-2-1,repair5g53_static_hook_params_hash_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.22666666666666668,0.0,0.0,413.4396,137.8132,0.6892,0.22973333333333334,perf,146,3
100,static_hook_traffic_hash_only,warehouse-10-20-10-2-1,repair5g53_static_hook_traffic_hash_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.7234,262.2411333333333,363.0117,121.0039,786.7366,262.2455333333333,perf,146,3
100,static_hook_cost_audit_only,warehouse-10-20-10-2-1,repair5g53_static_hook_cost_audit_only,0.0,0.0,0.0,0.0,5812.9068,2906.4534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.4602,103.7301,5812.9146,2906.4573,audit,146,2
100,static_hook_features_no_cost_audit,warehouse-10-20-10-2-1,repair5g53_static_hook_features_no_cost_audit,0.0,0.0,0.0,0.0,0.0,0.0,0.4078,0.13593333333333332,0.0,0.0,0.0,0.0,0.0,0.0,331.1459,110.38196666666666,0.4166,0.13886666666666667,audit,146,3
