agents,baseline_method,baseline_ratio,baseline_success,better_vs_ltm,candidate_id,component,contender_method,delta_ratio_vs_ltm,equal_vs_ltm,map,repair5g2_selected_source_method,repair5g3_synthetic_source_method,scen,seed,success,sum_of_loss_ratio,worse_vs_ltm
100,lacam_star_ltm,1.16525044723,True,False,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,flow_shield,repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-146.scen,146,True,1.16525044723,False
100,lacam_star_ltm,1.16525044723,True,False,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,flow_shield,repair5g1_shield_c125_b125_w075_d095_beta0p2_max0p5,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-146.scen,146,True,1.16525044723,False
100,lacam_star_ltm,1.16525044723,True,False,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,flow_shield,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-146.scen,146,True,1.16525044723,False
100,lacam_star_ltm,1.16525044723,True,False,repair5g2_best_frozen_static_candidate,frozen_static,repair5g2_best_frozen_static_candidate,0.0,True,warehouse-10-20-10-2-1,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,,warehouse-10-20-10-2-1-random-146.scen,146,True,1.16525044723,False
100,lacam_star_ltm,1.16525044723,True,False,repair5g2_c_equiv_best_frozen_baseline,c_equiv_baseline,repair5g2_c_equiv_best_frozen_baseline,0.0,True,warehouse-10-20-10-2-1,repair5g_dual_c_equiv_c100_b100_w075_d100,,warehouse-10-20-10-2-1-random-146.scen,146,True,1.16525044723,False
100,lacam_star_ltm,1.16525044723,True,False,repair5g2_frozen_static_or_selector,frozen_selector,repair5g2_frozen_static_or_selector,0.0,True,warehouse-10-20-10-2-1,repair5g_dual_c_equiv_additive,,warehouse-10-20-10-2-1-random-146.scen,146,True,1.16525044723,False
100,lacam_star_ltm,1.16525044723,True,False,repair5g2_g1_top_diagnostic_candidate,flow_shield,repair5g2_g1_top_diagnostic_candidate,0.0,True,warehouse-10-20-10-2-1,repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,,warehouse-10-20-10-2-1-random-146.scen,146,True,1.16525044723,False
100,lacam_star_ltm,1.16525044723,True,False,repair5g53_runtime_always_map_agent_minimal_hook,diagnostic,repair5g53_runtime_always_map_agent_minimal_hook,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-146.scen,146,True,1.16525044723,False
100,lacam_star_ltm,1.16525044723,True,False,repair5g53_runtime_always_static_minimal_hook,diagnostic,repair5g53_runtime_always_static_minimal_hook,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-146.scen,146,True,1.16525044723,False
100,lacam_star_ltm,1.16525044723,True,False,repair5g53_runtime_static_shadow_noop_minimal,diagnostic,repair5g53_runtime_static_shadow_noop_minimal,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-146.scen,146,True,1.16525044723,False
