candidate_id,planned,observed,pair_support_vs_static_flow,seed_block_support,stratum_support,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g539_s1_000,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_001,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_002,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_003,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_004,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_005,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_006,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_007,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_008,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_009,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_010,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_011,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_012,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_013,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_014,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_015,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_016,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_017,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_018,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_019,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_020,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_021,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_022,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_023,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_024,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_025,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_026,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_027,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_028,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_029,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_030,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_031,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_032,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_033,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_034,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_035,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_036,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_037,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_038,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_039,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_040,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_041,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_042,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_043,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_044,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_045,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_046,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_047,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_048,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_049,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_050,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_051,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_052,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_053,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_054,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_055,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_056,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_057,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_058,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_059,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_060,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_061,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_062,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_063,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_064,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_065,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_066,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_067,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_068,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_069,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_070,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_071,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_072,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_073,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_074,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_075,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_076,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_077,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_078,True,True,24,1,8,False,False,False,False,False
repair5g539_s1_079,True,True,24,1,8,False,False,False,False,False
repair5g539_s2_080,True,True,24,1,8,False,False,False,False,False
repair5g539_s2_081,True,True,24,1,8,False,False,False,False,False
repair5g539_s2_082,True,True,24,1,8,False,False,False,False,False
repair5g539_s2_083,True,True,24,1,8,False,False,False,False,False
repair5g539_s2_084,True,True,24,1,8,False,False,False,False,False
repair5g539_s2_085,True,True,24,1,8,False,False,False,False,False
repair5g539_s2_086,True,True,24,1,8,False,False,False,False,False
