candidate_id,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_safe_low_margin_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,search_stage,stage_code,source_candidate_id,alpha_cong_committed,alpha_cong_blocked,alpha_flow_progress,alpha_wait_or_nonprogress,rho_cong,rho_flow,flow_shield_beta,max_flow_shield,c_only,goal_projection_mode,method,vs_family_static_pairs,vs_family_static_success_regression_count,vs_family_static_success_gain_count,vs_family_static_both_fail_count,vs_family_static_quality_only_pairs,vs_family_static_quality_only_mean_delta,vs_family_static_quality_only_median_delta,vs_family_static_quality_ci_low,vs_family_static_quality_ci_high,vs_family_static_mean_corrected_delta,vs_family_static_better_count,vs_family_static_equal_count,vs_family_static_worse_count,vs_family_static_safe_high_margin_count,vs_family_static_safe_low_margin_count
repair5g539_s1_026,24,0,1,6,17,0.000854526685353,0,0.000854526685353,0.000854526685353,-0.00981137693121,2,13,2,3,0,False,False,False,False,False,Stage 1 stratified coarse search,s1,,1.4,1.25,1.25,0.75,1.0,1.0,0.6,0.75,False,flow_shield,repair5g518_grid_c1p4_b1p25_f1p25_w0p75_dc1p00_df1p00_beta0p6_max0p75_c0,24,0,0,6,18,-0.00422530746461,0,-0.00422530746461,-0.00422530746461,-0.00316898059846,3,14,1,3,0
repair5g539_s2_102,24,0,1,6,17,0.00122341235053,0,0.00122341235053,0.00122341235053,-0.00955008291838,1,15,1,2,1,False,False,False,False,False,Stage 2 local safe-winner refinement,s2,,1.0,1.25,1.0,0.25,0.95,0.98,0.45,0.75,False,flow_shield,repair5g518_grid_c1p00_b1p25_f1p00_w0p25_dc0p95_df0p98_beta0p45_max0p75_c0,24,0,0,6,18,-0.0038769154475,0,-0.0038769154475,-0.0038769154475,-0.00290768658562,2,15,1,2,0
repair5g539_s2_110,24,0,1,6,17,0.00239459060053,0,0.00239459060053,0.00239459060053,-0.00872049832463,0,15,2,1,1,False,False,False,False,False,Stage 2 local safe-winner refinement,s2,,1.1,1.4,1.0,0.35,0.95,0.98,0.6,0.75,False,flow_shield,repair5g518_grid_c1p1_b1p4_f1p00_w0p35_dc0p95_df0p98_beta0p6_max0p75_c0,24,0,0,6,18,-0.00277080265583,0,-0.00277080265583,-0.00277080265583,-0.00207810199187,3,15,0,3,1
repair5g539_s2_089,24,0,1,6,17,0.00274373904947,0,0.00274373904947,0.00274373904947,-0.00847318483996,1,14,2,2,0,False,False,False,False,False,Stage 2 local safe-winner refinement,s2,,1.4,1.6,1.0,0.65,0.95,0.9,0.3,0.75,False,flow_shield,repair5g518_grid_c1p4_b1p6_f1p00_w0p65_dc0p95_df0p9_beta0p3_max0p75_c0,24,0,0,6,18,-0.00244105134294,0,-0.00244105134294,-0.00244105134294,-0.00183078850721,3,14,1,3,0
repair5g539_s2_104,24,0,1,6,17,0.00284929318147,0,0.00284929318147,0.00284929318147,-0.00839841732979,1,13,3,2,0,False,False,False,False,False,Stage 2 local safe-winner refinement,s2,,1.0,1.0,1.0,0.35,0.95,0.98,0.6,0.75,False,flow_shield,repair5g518_grid_c1p00_b1p00_f1p00_w0p35_dc0p95_df0p98_beta0p6_max0p75_c0,24,0,0,6,18,-0.00234136132939,0,-0.00234136132939,-0.00234136132939,-0.00175602099704,3,14,1,3,0
repair5g539_s2_088,24,0,1,6,17,0.00295921062212,0,0.00295921062212,0.00295921062212,-0.00832055914267,0,15,2,1,0,False,False,False,False,False,Stage 2 local safe-winner refinement,s2,,1.25,1.4,1.0,0.75,0.95,0.98,0.35,0.75,False,flow_shield,repair5g518_grid_c1p25_b1p4_f1p00_w0p75_dc0p95_df0p98_beta0p35_max0p75_c0,24,0,0,6,18,-0.00223755041322,0,-0.00223755041322,-0.00223755041322,-0.00167816280992,2,16,0,2,0
repair5g539_s2_103,24,0,1,6,17,0.00332642658018,0,0.00332642658018,0.00332642658018,-0.00806044783904,0,14,3,1,1,False,False,False,False,False,Stage 2 local safe-winner refinement,s2,,1.4,1.0,1.0,0.35,0.95,0.98,0.45,0.75,False,flow_shield,repair5g518_grid_c1p4_b1p00_f1p00_w0p35_dc0p95_df0p98_beta0p45_max0p75_c0,24,0,0,6,18,-0.00189073534172,0,-0.00189073534172,-0.00189073534172,-0.00141805150629,2,15,1,2,1
repair5g539_s1_061,24,0,1,6,17,0.00336056040188,0,0.00336056040188,0.00336056040188,-0.00803626971533,0,14,3,1,2,False,False,False,False,False,Stage 1 stratified coarse search,s1,,1.0,1.25,0.5,0.75,0.98,0.98,0.6,0.75,False,flow_shield,repair5g518_grid_c1p00_b1p25_f0p5_w0p75_dc0p98_df0p98_beta0p6_max0p75_c0,24,0,0,6,18,-0.00185849784344,0,-0.00185849784344,-0.00185849784344,-0.00139387338258,1,16,1,1,3
repair5g539_s2_087,24,0,1,6,17,0.00336129727794,0,0.00336129727794,0.00336129727794,-0.00803574776146,1,13,3,2,0,False,False,False,False,False,Stage 2 local safe-winner refinement,s2,,1.1,1.4,1.0,0.75,0.95,0.98,0.3,0.75,False,flow_shield,repair5g518_grid_c1p1_b1p4_f1p00_w0p75_dc0p95_df0p98_beta0p3_max0p75_c0,24,0,0,6,18,-0.00185780190494,0,-0.00185780190494,-0.00185780190494,-0.00139335142871,2,15,1,2,0
repair5g539_s3_117,24,0,1,6,17,0.00353082927459,0,0.00353082927459,0.00353082927459,-0.00791566259717,1,13,3,2,0,False,False,False,False,False,Stage 3 safety-boundary stress,s3,,1.0,1.0,1.0,0.5,0.98,0.95,0.3,0.75,False,flow_shield,repair5g518_grid_c1p00_b1p00_f1p00_w0p5_dc0p98_df0p95_beta0p3_max0p75_c0,24,0,0,6,18,-0.00169768835256,0,-0.00169768835256,-0.00169768835256,-0.00127326626442,2,16,0,2,1
