deployable_region_key,map_family,map,agents,budget_ms,iteration_bucket,best_candidate_id,best_region_id,best_region_status,candidate_region_count,zero_regression_candidate_count,useful_signal_candidate_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
maze|100|1000|final,maze,maze-32-32-4,100,1000,final,repair5g539_s1_000,repair5g539_s1_000|maze|100|1000|final,boundary_underpowered_or_quality_weak,32,32,32,False,False,False,False,False
maze|100|2000|final,maze,maze-32-32-4,100,2000,final,repair5g539_s2_110,repair5g539_s2_110|maze|100|2000|final,boundary_underpowered_or_quality_weak,32,32,6,False,False,False,False,False
maze|100|500|final,maze,maze-32-32-4,100,500,final,repair5g539_s1_000,repair5g539_s1_000|maze|100|500|final,boundary_underpowered_or_quality_weak,32,32,32,False,False,False,False,False
maze|50|1000|final,maze,maze-32-32-4,50,1000,final,repair5g539_s1_026,repair5g539_s1_026|maze|50|1000|final,boundary_underpowered_or_quality_weak,32,32,17,False,False,False,False,False
maze|50|2000|final,maze,maze-32-32-4,50,2000,final,repair5g539_s1_026,repair5g539_s1_026|maze|50|2000|final,boundary_underpowered_or_quality_weak,32,32,17,False,False,False,False,False
maze|50|500|final,maze,maze-32-32-4,50,500,final,repair5g539_s1_000,repair5g539_s1_000|maze|50|500|final,boundary_underpowered_or_quality_weak,32,32,32,False,False,False,False,False
random|100|1000|final,random,random-32-32-20,100,1000,final,repair5g539_s1_000,repair5g539_s1_000|random|100|1000|final,boundary_underpowered_or_quality_weak,32,32,32,False,False,False,False,False
random|100|2000|final,random,random-32-32-20,100,2000,final,repair5g539_s1_026,repair5g539_s1_026|random|100|2000|final,boundary_underpowered_or_quality_weak,32,32,17,False,False,False,False,False
random|100|500|final,random,random-32-32-20,100,500,final,repair5g539_s1_000,repair5g539_s1_000|random|100|500|final,boundary_underpowered_or_quality_weak,32,9,9,False,False,False,False,False
random|50|1000|final,random,random-32-32-20,50,1000,final,repair5g539_s1_000,repair5g539_s1_000|random|50|1000|final,boundary_underpowered_or_quality_weak,32,32,23,False,False,False,False,False
random|50|2000|final,random,random-32-32-20,50,2000,final,repair5g539_s1_000,repair5g539_s1_000|random|50|2000|final,boundary_underpowered_or_quality_weak,32,32,23,False,False,False,False,False
random|50|500|final,random,random-32-32-20,50,500,final,repair5g539_s1_000,repair5g539_s1_000|random|50|500|final,boundary_underpowered_or_quality_weak,32,32,32,False,False,False,False,False
warehouse|100|1000|final,warehouse,warehouse-10-20-10-2-1,100,1000,final,repair5g539_s1_000,repair5g539_s1_000|warehouse|100|1000|final,boundary_underpowered_or_quality_weak,32,32,32,False,False,False,False,False
warehouse|100|2000|final,warehouse,warehouse-10-20-10-2-1,100,2000,final,repair5g539_s1_000,repair5g539_s1_000|warehouse|100|2000|final,boundary_underpowered_or_quality_weak,32,32,32,False,False,False,False,False
warehouse|100|500|final,warehouse,warehouse-10-20-10-2-1,100,500,final,repair5g539_s1_000,repair5g539_s1_000|warehouse|100|500|final,boundary_underpowered_or_quality_weak,32,32,32,False,False,False,False,False
warehouse|50|1000|final,warehouse,warehouse-10-20-10-2-1,50,1000,final,repair5g539_s1_000,repair5g539_s1_000|warehouse|50|1000|final,boundary_underpowered_or_quality_weak,32,32,32,False,False,False,False,False
warehouse|50|2000|final,warehouse,warehouse-10-20-10-2-1,50,2000,final,repair5g539_s1_000,repair5g539_s1_000|warehouse|50|2000|final,boundary_underpowered_or_quality_weak,32,11,11,False,False,False,False,False
warehouse|50|500|final,warehouse,warehouse-10-20-10-2-1,50,500,final,repair5g539_s1_000,repair5g539_s1_000|warehouse|50|500|final,boundary_underpowered_or_quality_weak,32,32,32,False,False,False,False,False
